ID	原类别	原优先级	producer	文件	行	标题	旧位置字段	旧证据字段	旧条款字段	fix_state	verified_state
V19-N-08	G_GOV_GATE	P1	V19-b	问题扫描/findings/G_GOV_GATE/p1/V19-b.md	15	（P1）dirty_ignore_prefixes 被用来遮蔽非豁免门无条件覆写 5 份**受跟踪** ISA 测量 CSV 并读回当判据（工作树现见 3 条 M）				OPEN	
V2-N-02	G_GOV_GATE	P1	V2	问题扫描/findings/G_GOV_GATE/p0/V2.md	14	已删函数仍以 VERIFIED 留在 API 合同表而新公共函数未登记 ⇒ CON-API-CONTRACTS 在干净检出必红	371`（仍以 **VERIFIED** 登记已删除的 `estimate_mag_lim_by_density`）、`api_inventory.csv:376` 同；新公共函数 `estimate_mag_lim_iterative` **未登记**。	`headers 60 / symbols 439 / rows 422 → missing 恰 1 条 = 该符号` ⇒ 非豁免门 **CON-API-CONTRACTS**（`fast` + `linux-main` + `windows-main` 三 profile）在干净检出上**必红**。		OPEN	
V2-N-09	G_GOV_GATE	P1	V2-D2	问题扫描/findings/G_GOV_GATE/p0/V2-D2.md	11	"`psf_mode` 是无条件字面量 `""fast""` ⇒ 走精确路径也标 fast，锁只查键名不查值"	"1737`（产物）与 `:1750`（manifest）写死 `""fast""`；而精确路径 `:1778` **共用同一实现** ⇒ `psf.max_stars=0`（文档义「0=不截断=全量精确」）与直调钩子**都仍标 fast**；锁 `p1001_real_nodes_test.cpp:2199` 只 `contains(""psf_mode"")` **不查值** ⇒ 挡不住。**与 `FD-F-001/F-002`（子串断言守卫）同机制**、与 `V2-N-08` 同因。"			OPEN	FIXED
V2-N-10	G_GOV_GATE	P1	V2-D2	问题扫描/findings/G_GOV_GATE/p0/V2-D2.md	16	极限星等迭代：不收敛为 fail-open、`capped` 靠 `fmod` 猜、`converged`/`query_failed` 不落交付面				OPEN	FIXED
V4-N-04	G_GOV_GATE	P1	V4	问题扫描/findings/G_GOV_GATE/p1/V4.md	3	我把 M8-F-001 自降为 PARTIAL：新采集 R11 无任何 CI 执行面				OPEN	
V6-N-01	G_GOV_GATE	P1	V6	问题扫描/findings/G_GOV_GATE/p1/V6.md	3	「追溯锚订正」实际删掉 TRACEABILITY.csv 四行，直接砍断两条 FROZEN SCI 的追溯端点并使 CON-TRACEABILITY 变红	26-67`（门 `CON-TRACEABILITY`，`fast`+`linux-main`+`windows-main` 三 profile、**非豁免**）；被砍端点的权威面 `docs/science/{PSF,REJECTION,INTEGRATION,ACR_EQUIVALENCE}.md`（HEAD 仍 FROZEN T101/T107/T108/T109，ID 在 HEAD 仍被引用 31/83/86/10 处，`docs/contracts/INDEX.yaml` 仍列 downstream）	:<path>` 的 blob）：`REV=ccc7a933 rows=67 status=PASS exit=0` → `REV=c3452d48 rows=63 status=FAIL exit=1`（`TRACE-CORE-MISSING PSF`、`TRACE-CORE-		OPEN	
V6-N-02	G_GOV_GATE	P1	V6	问题扫描/findings/G_GOV_GATE/p1/V6.md	12	给 MATRIX 的 CSV 注入 UTF-8 BOM 令整条同构校验提前 return，且只改视图未改被自己声明为权威的 JSON	":_check_csv_parity:380-390`（以 `encoding=""utf-8""` 打开、**不剥 BOM**）；门 `TRACEABILITY-MATRIX`（`fast`+三 profile、**非豁免**）；权威面 `docs/TRACEABILITY_MATRIX.json`"	b'module_id,mo'`；`c3452d48: b'\xef\xbb\xbfmodule_id'`；HEAD 同。**BOM 是本批引入**。⇒ `header[0] = '\ufeffmodule_id' != 'module_id'` → `SCHEMA_VIOLATION` 并 **return**，**从此 JSON↔CSV 同构校验整条不再执行**（门确定 FAIL）。V6 剥 		OPEN	MOVED
V6-N-04	G_GOV_GATE	P1	V6-evid	问题扫描/findings/G_GOV_GATE/p1/V6-evid.md	3	冻结 SCI 文档的推导权威指向 gitignored 目录 ⇒ 干净检出无法复核任何一条新科学锚			宪章 §12.3（注释/锚须可机器核验）、§17.2 追溯完整、§16.2 清单可判别；AGENTS.md 目录规范（`run/*` 是工作区，**不是权威源**）。	OPEN	
V6-N-05	G_GOV_GATE	P1	V6-evid	问题扫描/findings/G_GOV_GATE/p1/V6-evid.md	12	README 自述与**同一提交**的 diff 直接矛盾：声明「未改仓库树 lib/core」，实际该提交给 `module_adapters.cpp` 加了 162 行		54-58` 写「`lib/core/src/module_adapters.cpp`（P7 独占）。本批**未改仓库树中的 lib/core**，改动以补丁交付：`run/perf-fix/P8-snr-linux/patches/out-of-scope/lib-core-snr-wiring.patch` …（仓库文件逐字节未变，见 REPORT §6）」。**HEAD 至今未订正**（`g	宪章 §12.3、§16.2/§16.3（交付说明与实际改动一致）、§14.5（一次任务一个可独立验证的提交）。	OPEN	FIXED
V6-N-10	G_GOV_GATE	P1	V4	问题扫描/findings/G_GOV_GATE/p1/V4.md	6	有修无账：账本 20 条的 fix_commit 全集与本轮 9 个真改代码的提交完全不相交				OPEN	
