ID	原类别	原优先级	producer	文件	行	标题	旧位置字段	旧证据字段	旧条款字段	fix_state	verified_state
M2a-H-1	H_NUMERIC	P0	M2a	问题扫描/findings/H_NUMERIC/p0/M2a_L04_L10.md	5	precision_mode 不参与累加域选择：核心 IR 通道恒 FP32 累加，config 要 FP64 也拿不到 float64 累积（违宪章 §5.3）	:run_drizzle_internal（use_f64 选路段）、::hp_drizzle_run（PRECISION 头覆盖段）；lib/healpix_db/healpix_drizzle/drizzle_engine.h::DrizzleConfig::precision_mode；lib/healpix_db/healpix_drizzle/drizzle_engine.cpp::drizzleTiled / ::writeHisTilesT；lib/core/src/module_adapters.cpp::p1_op_drizzle（data 块 add_block 处）；lib/drizzle/src/module_entry.cpp::drz_execute	"（drizzle_engine.h:37-39）// 精度模式 (0=FP32 binary32 默认, 1=FP64 binary64) / （drizzle_engine.h:60）// FP32 模式: TileAccumulatorT<float> — **真 FP32 累计**, 不共享 double / （hp_drizzle_api.cpp:1022-1031 区段）累加/落盘选路由 `img.use_f64`（即 ""data"" 块 dtype = AIO_BLOCK_FLOAT64?）决定：`img.use_f64 ? engine.drizzleTiled<double>("	"104（""FP64 累积 F_p/sumVarNum/D_p""）；ALG-DRZ-001 §8:165-168（B2-A12 精度 provenance）"	FIXED	FIXED
M2a-H-2	H_NUMERIC	P0	M2a	问题扫描/findings/H_NUMERIC/p0/M2a_L04_L10.md	29	variance≤0 的源像素被整颗丢弃（信号/覆盖/nContrib 一并丢失，无计数）：不确定度面被当 validity 掩膜，且该语义 SCI 未定义	:drizzleTiled 主循环（variance/weight ≤0 continue 段）；::processPixelSharedTiled（varianceValue>0 累加门）；drizzle_engine.h::processPixel（varianceValue 形参注释）；docs/contracts/DATA_SEMANTICS.md::§11.1 variance 面行；docs/algorithms/DRIZZLE_GEOMETRY.md::§5 表（SNR/权重/variance 行）、::§10 DISP-DRZ 表；docs/science/DRIZZLE.md::§4 输入有效域、::§5、::§8	（drizzle_engine.cpp:1733-1736）float varianceValue = 0.0f; if (varianceData) { varianceValue = varianceData[...]; if (varianceValue <= 0.0f)  / （drizzle_engine.cpp:1739-1740）nSourcePixels++; / （drizzle_engine.cpp:1534-1538）if (varianceValue > 0.0f) { ... sumVarNum += ...; } ..	宪章 §4.1（signal/variance/ivar/support/coverage/validity 不得混同，validity 是独立状态）、§7.3（不支持的数据语义必须显式拒绝，不得静默丢弃）、§5.3（不确定度传播须验证）；SCI-DRZ-001 §4/§5/§8；DATA-GAIA-001 无涉	OPEN	
M3b-H-01	H_NUMERIC	P0	M3b	问题扫描/findings/H_NUMERIC/p0/M3b_L06.md	3	mad 列实为 RMSE 再乘 MAD→σ 系数 1.4826 充当残差 σ，排异门等效收紧	:sdet_lm_fit(:415)/::reject_star(:202-206)/::rmse 累积(:109-126 区段)/::修改流水注释(:186)；lib/star_detector/src/sdet_image.cpp::sdet_robust_mad(:485-494)/::sdet_robust_mad_d(:513-522)；lib/dynamic_psf/src/dpsf_psf.cpp::compute_trimmed_mad(:203-232)；docs/algorithms/STAR_DETECTION_ALGORITHMS.md::§3 伪代码(:110-112)；docs/science/NOISE_MODEL.md(:17,:46,:91,:135)	result->mad = pdata.rmse; / // RMSE 检查（饱和星豁免）：mad*1.4826/A > 0.2 拒绝 / if (!has_saturated && fit.A > 0.0) { / double rmse_ratio = fit.mad * 1.4826 / fit.A; / | σ_bg | 1.4826022185·MAD(|x−median|) | noise_model.cpp:robust_sigma |	17/:46/:135（MAD→σ 换算的适用对象是 MAD，不是 RMSE）；ALG-STARDET-001 §2/§3	FIXED	VERIFIED
M9-H-1	H_NUMERIC	P0	M9	问题扫描/findings/H_NUMERIC/p0/M9_L24_L26.md	5	Gaia 模块 manifest 拼接：snprintf 返回「本应写入数」推进指针 + 转义函数无容量入参 → 512 字节栈缓冲越界写，且同一越界长度被回读进产品	:gaia_execute（head 缓冲与推进点）、::gaia_inspect（同型第二站点）、::json_append_escaped（无容量转义器）、::gaia_cfg（catalog_dir 尺寸源）	（module_entry.c:384）`static void json_append_escaped(char** w, const char* s) {` — 签名只有写指针与源串，**无剩余容量入参**；体内 `*(*w)++ = '\\'; *(*w)++ = *s;` / （:738-741）`char head[512];` / `char* hw = head;` / `hw += snprintf(hw, (size_t)(head + sizeof(head) - hw),` —— 用 snprintf **返回值**（=本应写入的字符数） / （:766-768）`siz	24-27 自述的两阶段输出合同（尺寸查询→写入→不足即 BUFFER_TOO_SMALL）**只覆盖出参 strbuf，未覆盖这两个内部栈缓冲**。	FIXED	FIXED
M9-H-2	H_NUMERIC	P0	M9	问题扫描/findings/H_NUMERIC/p0/M9_L24_L26.md	30	XPSD 自报 spectrumCount 无任何上限即用作分配步长与每星 memcpy 长度 → 堆越界读 + 数百 MB 级 OOM 放大 + 污染下游测光输入	:load_xpsd_file（自报值读入点）、::spec_collector_init、::spec_collector_push、::search_recursive_spectrum（源指针派生）、::gaia_client_cone_search_with_spectrum（合并/导出面）	"（:26-31）`#define XPSD_MAGIC ""XPSD0100""` / `#define WL_COUNT 343` / `#define STAR_STRIDE_SP (40 + (WL_COUNT + (WL_COUNT & 1)))`（=384）/ `#defi / （:1068）`else if (strncmp(p, ""spectrumCount="", 14) == 0) { xf->spectrum_count = atoi(p + 14); }` —— 来自文件内 parameters 串，**无上限、无符号、无与 WL_COUNT  / （:1205-1213）`s"	458 `| spectrum_wl | double [343]（336..1020nm step 2nm） | nm | XPSD 固定网格`	FIXED	FIXED
M1a-H-001	H_NUMERIC	P1	M1a	问题扫描/findings/H_NUMERIC/p1/M1a_L01_L02.md	3	节点重采样 worker 内 signal sampler 打开失败 fail-open：整行带停留 NaN/覆盖=0 却照常计入执行数并发布产品	:p3_op_resample（worker lambda 与行带执行段）；对照 lib/phase3_session/p3_session.cpp::（会话面同场景）	（module_adapters.cpp:4824-4829）auto worker = [&](int y0, int y1) { P3Sampler w_samp{}; std::string wserr;  if (p3_sampler_open_ex(g.hips_dir / （:4832-4836，对照）if (unc_available && p3_uncertainty_open(…) != P3_RS_OK) { p3_sampler_close(&w_samp); **corrupt.store(-2);** return; } / （:4913-4918）const uin	宪章 §14.4（fail-fast）、§6.3（禁静默降级）、§4.3（缺失须 provenance 记录）；SCI-P3 §8	OPEN	
M2b-H-01	H_NUMERIC	P1	M2b	问题扫描/findings/H_NUMERIC/p1/M2b_L03_L15.md	7	sky fraction 序列化精度三向不一致（properties 固定 6 位小数 / manifest %.8f / 冻结容差 <1e-9），深 order 小覆盖被写成 0.000000，测试取可整除样本且双侧同格式故恒过	:finalize_image_product（properties 侧 std::to_string）、::finalize_snr_product（snr properties 侧同款）、::aio_hips_finalize 的 manifest 段（%.8f）；docs/algorithms/HIPS_WRITER.md::ALG-HIPS-001 §9 冻结容差 + §9 不变量 I6；lib/astro_image_io/tests/p1hips/p1hips_tests_oracle.cpp::sky fraction 用例、::p1hips_tests_properties.cpp、::p1hips_tests_units.cpp；docs/standards/STANDARDS_REGISTRY.md::D.hips 清单行 7（sky fraction 一致面）	"「kv.push_back({""moc_sky_fraction"", std::to_string(moc_frac)});」＋「kv.push_back({""astrocs_covered_sky_fraction"", std::to_string(covered_frac)});」——std::to_string(double) 固定 6 位小数 ；manifest 侧（原文）:「""  \\"""	moc_sky_fraction「Fraction of the sky covers by the MOC associated to the HiPS – Format: real between 0 and 1」，示例值 0.1404；标准**未规定小数位数**）（URL: https://www.ivoa.net/documents/HiPS/20170519/REC-HIPS-1.0-20170519.pdf）；宪章 §12.3、§13.1	OPEN	
M3-H-001	H_NUMERIC	P1	M3	问题扫描/findings/H_NUMERIC/p1/M3_L05_L07.md	4	`fill` 的非空间场分支不 apply `variance_floor`，退化模型可产出全帧 `variance=0` / `ivar=0`	:fill_impl`（复核时点 :371-418；关键 :401-408 空间分支 apply floor、:410-416 else 分支 `out_pixels[i] = w->variance[...]` 原样写出、:414 `ivar = (v>0)? 1.0/v : 0`）；对照 `::noise_model_impl`（:210 `max(vmed, floor)`、:235 `max(sig*sig, floor)`、:256-258 控制点 floor）与 `::collect_patch_sky`（:225-232 `rc=1` 时 memset 0）	double v = a + b * (double)x + c * (double)y;（:401） / if (v < floor) v = floor;（:402-:403） / } else {（:410） / out_pixels[i] = w->variance[i < w->n_control_points ? i : 0];（:414 语义：按控制点表原样写入，无 floor） / ivar_pixels[i] = out_pixels[i] > 0 ? 1.0 / out_pixels[i] : 0.0;（:415-:416） / 空间场: 最小二乘平面 …；负预测 clam	宪章 §5.3（校准/权重链不得有未合同化的数值突变）、§14.4（退化须显式）、§4.1；SCI-NOISE-001 §5/§7/§8	OPEN	
M3-H-002	H_NUMERIC	P1	M3	问题扫描/findings/H_NUMERIC/p1/M3_L05_L07.md	25	`snr_noise_scale_law` 无条件缩放 `variance`，只在 `α²>0` 且有限时缩放 `ivar` → 可产出 `variance>0` 而 `ivar=0` 的自相矛盾模型	:snr_noise_scale_law`（复核时点 :447-454，关键 :449 `*variance *= alpha*alpha;`、:451-453 ivar 条件式）；对照 `snr_estimator.h:::176-178`（注释只写「缩放 ivar」）与 `docs/science/NOISE_MODEL.md::§7 量纲一致`（:76）	SNR_API int snr_noise_scale_law(double variance, double ivar, double alpha, / double* out_variance, double* out_ivar) { / if (!out_variance || !out_ivar) return 3; / *out_variance = variance * alpha * alpha;（:449 —— 对 alpha 无任何校验） / const double a2 = alpha * alpha; / *out_ivar = (a2 > 0.0 && std::is	宪章 §4.1（同一对量必须保持定义关系）、§5.3、§14.4（参数无效域须显式）；SCI-NOISE-001 §5/§7/§8	OPEN	
M3b-H-02	H_NUMERIC	P1	M3b	问题扫描/findings/H_NUMERIC/p1/M3b_L06.md	3	未收敛+硬钳位参数被编排层判有效；fvec=1e10 巨残差污染 χ²；λ 无界	:moffat4_residual(:78-80,:96-99)/::gauss_solve 奇异重试(:151-153)/::λ(:181,:183)/::步后钳位(:176-178)/::迭代耗尽返回(:187-188)/::status=3 回填(:423)；lib/orchestrator/cpp/src/orchestrator.cpp::psf_valid(:2493-2495)；docs/contracts/DATA_SEMANTICS.md::§15.2(:518)；docs/algorithms/STAR_PSF_ALGORITHMS.md::§11.2(:167-176)	if (x[4] < 0.3) x[4] = 0.3; / if (x[5] < 0.3) x[5] = 0.3; / // status: 0=DPSF_FIT_OK, 3=DPSF_FIT_ITERATION_LIMIT (参数有效亦视为成功) / bool psf_valid = (prow[0] == 0.0 || prow[0] == 3.0) && / | [0]=status | double（整值 0..3） | … PHOTOMETRIC 仅 status=0 行入匹配 …	SCI-PSF-001 §8（不收敛须返回非零 status 由调用方处置）；DATA-P1-PSF §15.2；ALG-STARPSF §11.2；宪章 §14.4、§12.3	OPEN	
