符号/键,位置(路径:行),现行值,单位,坐标系/归一化,精度要求,有效有限域,来源现状,出处,处置,适用域,备注
threshold_seconds,lib/infrastructure/cli/resource_events.h:84,5.0,s,进程 wall 秒,未规定,wall>5.0 且 kind=Unknown,无出处（引用指针悬空）,无——注称『07 §1/§3/§4』；跟踪集内唯一 07_*.md 是 docs/plugins/algorithms_phase1/07_noise_snr.md（噪声/SNR 面），git log --diff-filter=D 亦无资源面 07 文档,④ 待确认,生产可达：commands.cpp:675 is_stage_priority 只传两参 ⇒ 恒取本默认 5.0,『无标注 stage 且 wall>5s 判 P1』整条判据不在契约、也不在 21_observability §8.3 判据表内；与 resource_gate.h:336/397 同值三写（本簇 3 行：A07#1、A07#28、A08#7）。
kMon001NotSampled,lib/infrastructure/cli/resource_gate.h:121,-1.0,无量纲（哨兵）,—,不适用,v>-1 记为已采样,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,命名哨兵，域安全已核：仅用于非负量（util_samples_*、queue_low_run_seconds、alloc_*）；可负的 rss_slope 另用显式 bool rss_slope_measured（:193），不与 -1 撞域。出处仅到本仓记录（批次 P p2007 先例）＝C，非数值来源。
avg_equivalent_cores,lib/infrastructure/cli/resource_gate.h:160,0.0,等效核,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,生产由 commands.cpp:913 覆盖；0.0 与『未测』不可分（本文件其它字段用 -1 表未测），调用方不填则 0.0 参与 LowAvgCores 判红（偏 fail-closed）。
wall_seconds,lib/infrastructure/cli/resource_gate.h:161,0.0,s,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,生产由 commands.cpp:914 覆盖；wall<5s 判据见 :336/:363。
achieved_memory_bandwidth_frac,lib/infrastructure/cli/resource_gate.h:164,-1.0,分数 0..1+,—,不适用,>=0 为已测,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,-1=未测→MemoryBandwidthLow（『须证明』方向正确）；但 commands.cpp:906 kind 恒 Compute ⇒ Memory 分支在 CLI 生产面不可达，本判据无触发路径。
required_memory_bandwidth_frac,lib/infrastructure/cli/resource_gate.h:165,0.0,分数 0..1+,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,注释要求『pre-frozen、由 BENCH-003 写入、不外推』；生产零写入点 ⇒ 恒 0.0（任何实测值都过）。同上：Memory 分支不可达。
io_await_ms,lib/infrastructure/cli/resource_gate.h:169,0.0,ms,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,行内注释只写『可得时』，未定口径（进程级 delayacct vs 块层 await 是两个量）；在 :391 被当作『有无 IO 证据』的第三腿，Io 分支生产不可达。
one_worker_ns,lib/infrastructure/cli/resource_gate.h:175,-1.0,ns,—,不适用,>0 才参与,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,生产零填充 ⇒ GlobalLockDegradation（:372）不可达。
n_worker_ns,lib/infrastructure/cli/resource_gate.h:176,-1.0,ns,—,不适用,>0 才参与,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,同 :175：两侧都需 >0，判据在 CLI 生产面恒不触发。
cpu_percent,lib/infrastructure/cli/resource_gate.h:181,0.0,等效核×100（percent_of_one_core）,单核标度（非容量归一）,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,生产填 s.avg_cpu_percent（:915）。口径问题立案：同文件 :186 明记阈值侧用『已分配容量百分比』，而 :368 的 20.0 比的是本字段的『100=1 核』刻度 ⇒ 16 核机上 0.2 核即越过 20『低 CPU』线。
iowait_percent,lib/infrastructure/cli/resource_gate.h:182,0.0,等效核×100（系统级 iowait）,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,生产零填充（commands.cpp 无 g.iowait_percent 赋值点）⇒ :326 的 >50 判据恒不触发，并使 :368 的 iowait<5 腿恒真。
mem_bandwidth_percent,lib/infrastructure/cli/resource_gate.h:183,-1.0,分数/百分比（未定）,—,不适用,>=0 为已测,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,生产零填充 ⇒ :369 的 ( <0 || <15 ) 腿恒真；单位在注释里也没定（带宽比例还是百分数）。
workers_p50,lib/infrastructure/cli/resource_gate.h:185,-1.0,活跃线程数（p50）,—,不适用,>=0 为已采样,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,"契约 compute.min_active_compute_threads_fallback_statistic=""peak""、fallback_domain=""有效样本 <2""；C++ 侧无该回落点，回落用的是配置值 selected/max_active（:345 另把 2 写成字面量）。"
cpu_p50_percent,lib/infrastructure/cli/resource_gate.h:190,-1.0,已分配容量百分比,—,不适用,>=0 为已采样,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,哨兵方向正确（未采样即跳过），但与 :295 的除零回退 0.0 并用：分母未定时写入 0.0 ⇒ 契约 denominator.zero_denominator_effect 要求『利用率类判据不成立、不参与裁决』，实现参与并判红。
cpu_mean_percent,lib/infrastructure/cli/resource_gate.h:191,-1.0;18.2,已分配容量百分比,—,不适用,>=0 为已采样,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,同 :190。机械层报的第二个值 18.2 是行内注释『§18.2 下限 85%』的条款号 ⇒ 非字面量，且 §18.2 属已废止宪章（见 A08#14 注）。
rss_slope_mb_per_s,lib/infrastructure/cli/resource_gate.h:194,0.0,MiB/s（1048576 B/s）,—,不适用,可正可负,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,commands.cpp:936 按 bytes/(1024*1024) 填 ⇒ 与契约 memory.unit 强制的 MiB/s 一致 ✓（契约明文禁 MB/s，口径差 4.858%）。负=收缩，故用 :193 显式 bool 而非负哨兵。
active_window_seconds,lib/infrastructure/cli/resource_gate.h:200,-1.0,s,—,不适用,>=10 才具代表性；<0=未提供,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,语义双向已核：-1（未提供）在 gate_window_representative 被判『视为代表性』→ 放行判定，与 mon001 家族『-1=跳过判定』方向相反；v6_runtime_contract.h:321 同名字段改用 0.0 表未提供⇒ 同一事实两载体两编码。
