ID|原类别|原优先级|旧判据(文档+节号/路径)|最新权威条款|当前证据(命令+输出)|结论|归属|GAP关系|备注
L28b-D-004|D_COMMENT|P2|旧宪章 §12.2（注释只写非显然决定且须与权威一致）、§12.3-3；docs/standards/COMMENT_STANDARD.md:15（unusual numeric constant 须给来源）|ENGINEERING_SPEC §2：注释只写单位、数学原因、前后置条件、所有权、线程安全、生命周期、边界条件、非显然决定；禁止堆积历史版本号/任务编号/审计流水/代码复述|命令：grep -n "ADAPTIVE_RATIO_THRESH" lib/healpix_db/healpix_drizzle/drizzle_engine.cpp；输出：370:static const double ADAPTIVE_RATIO_THRESH = 1.25;  // 尺度比阈值 (max/min > 1.25 触发细分) []；591:    bool uniform   = (!no_data && local_max / local_min <= ADAPTIVE_RATIO_THRESH);|OPEN|P1-001|无|空溯源括号仍在（行 370，原报 :369 漂移 1 行）；docs/algorithms/DRIZZLE_GEOMETRY.md:65-66 的同值 1.25 语义为 HP_CIRCUMRADIUS_FACTOR 外接圆半径因子，与本细分阈无关；本轮重算 cpp/h 内「注释行尾空括号」命中 6 处，仅 1 处（本条）为溯源空壳。
L28c-D-002|D_COMMENT|P2|docs/standards/COMMENT_STANDARD.md:15；旧宪章 §10.3（benchmark 依据须稳定统计）、§12.2（禁以注释承载裁决）|ENGINEERING_SPEC §2（注释白名单+禁令）；§10：CPU-heavy 必须多线程，利用率门禁见 ASTROCS_DESIGN §8|命令：grep -rn -e kMadMedianRelMax -e kBenchWarmup -e kBenchSamples --include=*.h --include=*.cpp --include=*.md lib cli docs contracts ci tools；输出：仅 lib/backend_host/bench_report.h:40-42 定义与 bench_report.cpp:153,221-222,348-350 使用；另跑 grep -rn -F "0.35" docs contracts ci 输出为空（登记面零命中）|OPEN|CPU-001|无|三阈值仍只存在于 lib/backend_host 自身；注释「预冻结规则(唯一出处; CPU-006 验收)」把异常值剔除裁决承载在注释里，且 CPU-006 无现行 docs 文件；注释含任务编号。
L28d-D-002|D_COMMENT|P2|旧宪章 §12.2（注释须与实现一致、禁两代口径并存无取代标记）、§12.3-1；docs/algorithms/DRIZZLE_GEOMETRY.md|ENGINEERING_SPEC §2：注释只写单位、数学原因、前后置条件、边界条件、非显然决定|命令：sed -n '550,578p' lib/healpix_db/healpix_drizzle/spherical_overlap.cpp；输出：552:// hp_epsilon = hp_res_rad * 1e-12, 其中 hp_res_rad = sqrt(π/(3·Ns²))；553:// NSIDE=64 时 hp_epsilon ≈ 1.6e-14 rad, 每条边细分到 ~256 段；565:// 修复: HEALPix 边细分阈值从 1e-12 改为 1e-6；577:    double hp_epsilon = hp_res_rad * 1e-6;|OPEN|P1-001|无|函数上方主说明块仍按旧口径陈述 ε=hp_res×1e-12 与 ~256 段/边，与同函数 20 行后的修复行及实现 1e-6 直接互斥（两代口径并存无取代标记）。
L28d-D-003|D_COMMENT|P2|旧宪章 §12.2（边界条件与非显然决定须写对；注释须与实现一致）、§12.3-1|ENGINEERING_SPEC §2：注释只写单位、数学原因、前后置条件、边界条件、非显然决定|命令：sed -n '613,629p' lib/plate_solve/cpp/ipv/src/ipv_robust_refine.cpp；输出：615:// 1%-3% → 指数过渡 (1e-4 → ~22)；623:    // 1%-3% 指数过渡: 从 cd_damp_base (1e-4) 到 cd_damp_freeze (1e6) 的对数插值；626-629:    double log_lo = std::log10(params.cd_damp_base); double log_hi = std::log10(params.cd_damp_freeze); double log_damp = log_lo + t * (log_hi - log_lo); return std::pow(10.0, log_damp);|OPEN|P1-001|无|上限真值为 cd_damp_freeze=1e6（ipv_robust_refine.h:56-57 默认值），注释把中段样本 ~22 写成过渡带上限，与同函数 :623 及 :616「> 3% → 1e6」相差约 4.5 个数量级。
L28e-D-002|D_COMMENT|P2|旧宪章 §12.3-3（引用有效 SCI/ALG）、§12.3-9（无悬空引用）、§12.1（STANDARDS 层权威）；docs/standards/COMMENT_STANDARD.md:37-40|ENGINEERING_SPEC §8：检查器覆盖至少含「算法引用有效 SCI/ALG」「删除/重命名无悬空引用」|命令：git grep -n "SCI-DRZ-004" -- docs lib tools contracts ci；git grep -n "ALG-DRZ-OVERLAP-002" -- docs lib tools contracts ci；grep -nE "SCI-DRZ-[0-9]+" docs/science/DRIZZLE.md；输出：两 ID 各自唯一命中 docs/standards/COMMENT_STANDARD.md:38:// SCI-DRZ-004 / ALG-DRZ-OVERLAP-002:；DRIZZLE.md:3 登记面仅 SCI-DRZ-001,014,015,016，ALG 面仅 ALG-DRZ-OVERLAP-001（docs/modules/healpix_drizzle.md:4、tools/quality/update_audit_status.py:147）|OPEN|DOC-001|无|两个示例 ID 在登记面均不可解析（示例即伪锚）；docs/standards 已不在最新权威链（旧 §12.1 失效），但「引用有效 SCI/ALG、无悬空引用」由 ENGINEERING_SPEC §8 承接，故不判 VOID。
M1a-D-002|D_COMMENT|P2|旧宪章 §12.3-15、§13.1；叶子原锚 lib/phase1/ups/build_upm.cpp（仓内不存在，原报告已按符号重锚）|ENGINEERING_SPEC §2：注释只写单位/值域/非显然决定；§3：科学公式、精度与容差不可修改|命令：grep -n "角秒" lib/plate_solve/cpp/ipv/include/ipv_types.h；grep -n "output.U" lib/plate_solve/cpp/ipv/src/ipv_select.cpp；grep -n -e AP_FIT_ORDER -e APX_ORDER lib/plate_solve/cpp/ipv/src/ipv_wcs.cpp；输出：ipv_types.h:26// 星点 (角秒坐标, 原点在图像中心)、:28-29 double x/y // X/Y坐标(角秒)；ipv_select.cpp:951: output.U[i].x = (det_x[idx] - cx);              // 像素, 不乘 s0；ipv_wcs.cpp:412 AP_FIT_ORDER = 5、:509 result->sip.ap_order = AP_FIT_ORDER、:536 APX_ORDER = 7|OPEN|P1-001|无|StarPoint/U 注释仍写角秒，实现与 docs/algorithms/PLATESOLVE.md:115（像素、Y-up）均为像素域；SIPCoeffs :68-69 阶数注「2/3/4」而实现置 5/7；x00 日志单位子项本轮未独立复现（原报置信度中）。
M1a-D-003|D_COMMENT|P2|旧宪章 §13.1（单一事实源）、§12.3-9；10_PROTOCOL 注释卫生判据|ENGINEERING_SPEC §2（禁历史版本号/任务编号/审计流水）；§8（无悬空引用、活动文档无陈旧版本号/历史状态冒充）|命令：grep -rn -E -e "B2-A[0-9]+" -e STD-F1 -e R10-C -e "P3-006/DOC-003" lib/phase3_session/p3_resample.h lib/phase3_session/p3_wcs.cpp lib/phase3_session/p3_output.cpp；sed -n '23,27p' lib/phase3_session/p3_resample.h；sed -n '24p' docs/algorithms/PHASE3_RSMP_IMPL.md；输出：p3_resample.h:43:/* P3-006/DOC-003: 配置 tile cache 容量上限；p3_wcs.cpp:30:// STD-F1 / 前台裁决 R-02(方案 b) 导出边界桥接；p3_output.cpp:58:// B2-A9: 标准 FITS 校验和、:85:// R10-C(bughunt p2)；p3_resample.h:24-26 DATA-P3-UNC-001 §30.4-4 supersession 把 variance/ivar 移出 UNSUPPORTED；ALG:24「非目标：不实现 variance/weight/ivar/support 输入」|OPEN|P3-002|无|审计流水（B2-A4/A5/A9、STD-F1、R10-C、P3-006/DOC-003）仍在位；头注宣布的 supersession 与 ALG 文本的非目标并存（双源，合同侧未订正）。
M2a-D-1|D_COMMENT|P2|旧宪章 §12.3-10（注释不得与实现的单位/精度/边界陈述相反）、§12.2；ALG-DRZ-001 §4|ENGINEERING_SPEC §2（注释写准确的单位/边界/非显然决定）；docs/algorithms 为算法推导权威（ASTROCS_DESIGN §0 权威链）|命令：python3 -c "import math; print(math.sqrt(math.pi/3.0)*(180.0/math.pi)*3600.0)"；grep -n "211034.6" lib/healpix_db/healpix_drizzle/drizzle_engine.cpp docs/algorithms/DRIZZLE_GEOMETRY.md；输出：211076.28514206142；drizzle_engine.cpp:616,618,620,683,685 皆写 ≈211034.6；DRIZZLE_GEOMETRY.md:87,89 常数表与决策同写 211034.6|OPEN|P1-001|无|实算 211076.29 被记成 211034.6（相对 2e-4），代码取表达式故无运行错值但注释与 ALG 常数表同错；spherical_overlap.cpp:1598-1602 delta×1.25（ORACLE_HARDENING）与 :1620-1621 delta×1.15 两套裕量系数仍在同一函数。
M2a-D-2|D_COMMENT|P2|旧宪章 §12.3-10（注释不得与实现的单位/精度/所有权/边界陈述相反）|ENGINEERING_SPEC §2（注释只写单位/边界/非显然决定）|命令：sed -n '62,70p' lib/healpix_db/healpix_drizzle/drizzle_engine.h；sed -n '551p' lib/drizzle/src/module_entry.cpp；输出：h:63// sumWeight/sumSnrSq 为诊断字段, 已移除 (每 leaf 20B→12B, 完整帧 RSS -40%)；h:66-69 struct TileLeafAccumulatorT { Scalar sumFlux; Scalar sumArea; Scalar sumVarNum; uint32_t nContrib; }（四字段）；module_entry.cpp:551 accumulator_bytes = 12*nside^2 * 8B * 6（6 个 f64/像素）|OPEN|P1-001|无|三套口径互斥：注释称 release 只留 3 字段（sumFlux/sumArea/nContrib，20B→12B）、实现为 4 字段（含 sumVarNum）、迁移面按 6 个 f64 估算；资源估算随之系统性偏差。
M2a-D-3|D_COMMENT|P2|旧宪章 §12.2（注释内容白名单，FROZEN）|ENGINEERING_SPEC §2：禁止堆积历史版本号/任务编号/审计流水/代码复述（注释只写单位/数学原因/前后置条件/所有权/线程安全/生命周期/边界/非显然决定）|命令：grep -n "P1-DRZ-NONFINITE" lib/healpix_db/healpix_drizzle/drizzle_engine.cpp；grep -n "B2-A8" lib/astro_image_io/src/hips/aio_hips_writer.cpp；grep -n "B2-A1" docs/algorithms/DRIZZLE_GEOMETRY.md；输出：drizzle_engine.cpp:1890:// (P1-DRZ-NONFINITE) 冻结合同 docs/science/DRIZZLE.md §8 :96；aio_hips_writer.cpp:952:// B2-A8: HiPS 1.0 tile 编号方案显式声明、:1006 同簇；DRIZZLE_GEOMETRY.md:165,175,184 B2-A12/A14/A17 引用簇|OPEN|NEXT-PACK:NP-DC1|无|任务号/审计流水（P1-DRZ-NONFINITE、B2-A8/A12/A14/A17、ORACLE_HARDENING）仍是注释主干，且带行号锚（§8 :96）已随文档漂移；建议新增「注释卫生 §2 一次性瘦身+机器门」包（本片编为 NP-DC1）。
