ID|原类别|原优先级|旧判据(文档+节号/路径)|最新权威条款|当前证据(命令+输出)|结论|归属|GAP关系|备注
M1a-A-001|A_SCI_DEF|P0|旧宪章 §12.3-3（公式唯一实现）、§12.3-15（单位/像素语义显式）、§13.1；SCI-WCS-001 §5/§5a|ENGINEERING_SPEC.md §3：科学公式/权重/精度与默认容差不可修改，架构重构不得同时改动科学语义；ENGINEERING_SPEC.md §4：单一 entrypoint，禁止越权覆盖 SCI|命令：cd "/workspace/Astro CS Database" && timeout 60 sed -n "48p" docs/science/ASTROMETRY.md; timeout 60 sed -n "918p" lib/plate_solve/cpp/ipv/src/ipv_wcs.cpp；输出：  (u,v) = CD · (xp−CRPIX) + SIP_A/B(u,v)   # (u,v) 为 TAN 投影中间坐标 /     // 4. 牛顿迭代: 解 F(u) = u + A(u) = UV|OPEN|P1-001|无|该式把像素域 SIP 输出加在 CD·(xp−CRPIX)（按 §2 符号表 CD 为 deg/pixel、cd_inv 为 pixel/arcsec，故前者为 deg）上且自变量取中间坐标，与实现在像素域解 u+A(u)=UV 互斥；oracle :228 记该量纲错曾在初版出现并被 F2 捕获，§5:66 一致性锚行号已漂移，冻结合同仍写此式
M1a-A-002|A_SCI_DEF|P0|旧宪章 §12.3-4（claim↔evidence 一一对应）、§12.3-12、§13.2、§6.3（禁静默降级）；ALG-WCS-001 F1；SCI-WCS-001 §15|ASTROCS_DESIGN.md §11.3：状态阶梯唯一口径，未实现/未验收必须如实标注，不得用文档声明冒充；ASTROCS_DESIGN.md §12：发布候选须合同无冲突、追踪无断链、P0/P1=0|命令：cd "/workspace/Astro CS Database" && timeout 60 sed -n "186p" docs/algorithms/PLATESOLVE.md; timeout 60 sed -n "55p;63p" lib/plate_solve/memory.md；输出：  n_pairs≥12；rms_arcsec ≤0.5″（实测锚 Galaxy_Center=0.1431″，memory.md /   - T3: PlateSolve RMS=0.151px(31pairs) vs 独立 median=0.897px(702 matched) — 5.9× 差距 / - VERDICT: PASS，为 P11-003 全帧复现提供工具基础|OPEN|P1-001|无|ALG F1 仍是唯一数值精度门且量测域未定义，全仓 grep 外部闭环/全帧头域=0 命中、DISP-WCS-001..006 无该外部口径项，记录内 5.9–7.2× 内外差不复算即可见；finding 的 1.8× 依赖 s0≈0.989″/px，该值在当前 memory.md 无命中故未复算，其余事实逐字复现
M1a-A-003|A_SCI_DEF|P0|FITS WCS Paper II（Calabretta & Greisen 2002，arXiv:astro-ph/0207413）§2.2；旧宪章 §7.3、§12.3-13、§18.1|ASTROCS_DESIGN.md §5.3：首批冻结 TAN/SIN/CAR/AIT/STG/MOL/CEA/ZEA，每种须声明适用域/奇点/经度 wrap/轴手性/CRPIX/CRVAL/CD/CTYPE；附录 B：FITS WCS Paper I/II 为外部标准，标准偏离仍是偏差|命令：cd "/workspace/Astro CS Database" && timeout 60 sed -n "198p;217p" lib/phase3_proj/p3_projection.cpp; timeout 60 sed -n "399p" docs/algorithms/PHASE3_PROJ_IMPL.md；输出：    const double theta = -yd * kRad; // θ = −Y (rad) /     return plane_to_pix(d, phi * kDeg, -theta * kDeg, x, y); /   native (φ,θ)=(α−α₀, δ) 恒等旋转；**CRVAL2 仅记录于 header 不进入映射**|OPEN|P3-001|无|实现取 θ=δ（等价恒设 CRVAL2=0），Paper II §2.2 要求 (φ₀,θ₀) 经 CRVAL 映到 (x,y)=(0,0)，故 CRPIX 处 dec≠CRVAL2（差 δ₀）；CAR 的 −Y 手性与 g1_build_cd 的 CD2_2=+s 互斥而 AIT 侧又不取负，投影间亦不自洽；生产现为 TAN-only 未伤产品，但 ALG §15.2/§15.5 与 registry 已固化错口径
M2a-A-1|A_SCI_DEF|P0|旧宪章 §4.1（signal/variance/support/coverage 不得混同）、§5.3（Drizzle 须验证能量/面亮度语义）、§7.3、§12.3-3、§13.1；SCI-DRZ-001 §2/§5/§7/§11|ASTROCS_DESIGN.md §11.1：扩展源验证常量面亮度/梯度/总通量/covariance，科学定义先于算法；ENGINEERING_SPEC.md §3：科学公式与权重定义不可修改|命令：cd "/workspace/Astro CS Database" && timeout 60 sed -n "40p;61p;81p" docs/science/DRIZZLE.md；输出：    w_jp = a_jp / A_drop,j /   drop 多边形: pixelToSky((x±0.5·pixfrac, y±0.5·pixfrac)) → Vec3 单位向量 /   `x_j=B0×A_pixel_j`（随像素面积变化，**非每像素常量 ADU**），输出 `S_p=B0`（面亮度），|OPEN|P1-001|无|按 §5 与 :61 复算 A_drop=pixfrac²·A_pixel ⇒ S_p=F_p/D_p=Σ(B0·A_pixel·a/(pixfrac²·A_pixel))/Σa=B0/pixfrac²，仅 pixfrac=1 等于 §7:81 的 S_p=B0；§11:117「常数场 C 的 S_p=C」与 §5:50「x_j=C ⇒ S_p=C/A_drop≠C」并存的三种陈述不可能同时为真；代码按 §5 逐字落地（drizzle_engine.cpp:1531 weight=overlap_area/drop_area、aio_hips_writer.cpp:570 sig=flux/area），生产默认 pixfrac=0.8（json_config.h:67）
M2b-A-01|A_SCI_DEF|P0|旧宪章 §14.4（非法值 fail-fast、不得生成看似成功的产品）、§5.2/§6.2（HiPS 写出归 AIO）、§12.2；DATA_SEMANTICS §2/§12.1|docs/plugins/infrastructure/17_aio.md §职责/§规则：AIO 是 FITS/HiPS/manifest 唯一 I/O 边界，读须格式校验、校验失败拒绝；ASTROCS_DESIGN.md 附录 B：IVOA HiPS 1.0 与 HEALPix（Górski 2005，Npix=12·Nside²，Nside 为 2 的幂）|命令：cd "/workspace/Astro CS Database" && timeout 60 sed -n "493p" lib/astro_image_io/src/hips/aio_hips_writer.cpp; timeout 60 grep -c "nside & (nside - 1)" lib/astro_image_io/src/hips/aio_hips_writer.cpp; timeout 60 grep -c "nside & (nside - 1)" lib/hips/src/module_entry.cpp；输出：        ps->leaf_order = ilog2_u64(nside); / 0 / 1|OPEN|AIO-001|无|写入口 aio_hips_product_begin 仍只判 nside<512（无 2 的幂、无上界），非法 nside 由 ilog2 向下取整静默夹逼（:493）；同文件 2 的幂校验 grep=0、lib/hips/src/module_entry.cpp=1，正解仍只在被绕过的模块面；生产调用点 module_adapters.cpp:4663 与 astro_sphere_sink.cpp:65/:247 直调该入口
M2b-A-02|A_SCI_DEF|P0|旧宪章 §12.2（文档=代码）；DATA_SEMANTICS §2；IVOA HiPS 1.0 §4.2.1|ASTROCS_DESIGN.md 附录 B：IVOA HiPS 1.0（叶级 NSIDE = tileWidth×2^K）为外部标准，标准偏离仍是偏差；ENGINEERING_SPEC.md §12：ASTROCS_DESIGN 为一切条款的上位来源|命令：cd "/workspace/Astro CS Database" && timeout 60 sed -n "1069p" lib/astro_image_io/src/hips/aio_hips_writer.cpp; timeout 60 sed -n "146p" docs/algorithms/HIPS_WRITER.md; timeout 60 sed -n "245p" runtime/io/hips_core.c；输出：            const uint32_t nside_k = 1u << (k + 9); /   约定。FITS cards ORDERING=NESTED + NSIDE=2^k；三处 scatter 同 (2a) 式 /   h->nside = 1ULL << ((uint64_t)order + 9u);|OPEN|AIO-001|无|三源互斥逐字复现：写侧 2^(k+9)、ALG 同节 2^k、读侧 h->nside=2^(properties_order+9) 且 hips_core.c:632-635 要求 tile NSIDE 等于 h->nside，故自产 Norder k<T 层级 tile 必被自家读端判 TILE_INVALID；IO_002 §3.1/§3.3 的 NSIDE=2^(K+9) 与 TW∈[1,16384] 承诺仍未与实现一致化
M3-A-001|A_SCI_DEF|P0|旧宪章 §4.1（snr 必须由 SCI-NOISE/SCI-SNR 定义）、§1.1（层间不一致必须建 finding）、§12.3-10；SCI-NOISE-001 §9a/§10；SCI-CW-001 §2/§4；SCI-PSF §1/§8|docs/science/CONTROL_WEIGHT_SNR.md §2a（P5-SNR 2026-09-14）：逐源科学 SNR 由 σ_F 定义，SNR_F=F/σ_F，§4 的 local_snr/frame_snr 为相对质量权重场、不是科学信噪比；docs/science/NOISE_MODEL.md §9a：本合同不产出 SNR 图，源通量 SNR 必须另行定义|命令：cd "/workspace/Astro CS Database" && timeout 60 grep -c "sourceSnrFromPsfRow" lib/snr_estimator/cpp/src/snr_estimator.cpp; timeout 60 sed -n "362p" lib/snr_estimator/cpp/include/snr_estimator.h; timeout 60 sed -n "44p" docs/science/CONTROL_WEIGHT_SNR.md；输出：6 /     // 旧 (A-B)/residual_scale 为 SNR-008 已退休量, 不再进入生产路径。 / - **逐源科学 SNR**：由逐源通量不确定度 `σ_F` 定义，`SNR_F = F/σ_F`（PSF 加权最优提取，|RESOLVED|P1-002|无|使其不再成立：控制点值改由 Horne 1986 SNR_F 计算（sourceSnrFromPsfRow 6 处，snr_estimator.cpp:187 记退休量不再进科学输出；orchestrator.cpp:4296/:4500 走 snr_extract_model_v3），旧式 (A-B)/residual_scale 只剩 v1 legacy ABI 与数值回归测试；SCI-CW §2a 与 NOISE_MODEL §9a 同步重定义（GAP-009 相邻非重复，前者是目录值语义、后者是帧级 SNR 未入文件头）
M3-A-002|A_SCI_DEF|P0|旧宪章 §6.3（support/coverage 不能作 ivar 或 SNR 权重）、§4.1、§1.1（两份权威文本不一致必须建 finding）、§12.3-1/-10；SCI-UPM-WEIGHT-001（FROZEN）；SCI-CW-001（FROZEN）|docs/science/PHASE2_UPM.md §5 SCI-UPM-WEIGHT-001：禁 production 乘 star SNR / snr²/(1+snr²) / support^p，support 仅 eligibility/coverage；ENGINEERING_SPEC.md §3：权重/variance/ivar/SNR 定义不可修改|命令：cd "/workspace/Astro CS Database" && timeout 60 sed -n "66p;71p" docs/science/CONTROL_WEIGHT_SNR.md; timeout 60 sed -n "378p" lib/phase2/src/stage2_common.cpp；输出：# 像素级 SNR 权重（stage2 排异/积分，weight_mode=2） /   weights[s] = support[s] × snr_v²                      # 禁止 snr=1.0 伪装 unknown /             cfg->weight_mode = 2;   // 默认 ivar|OPEN|P2-002|无|FROZEN SCI-CW §4 仍把 support×snr_v² 标为 weight_mode=2 的像素级权重，而实现 mode=2 分支为逐像素 ivar、support×snr² 只在 mode==0 分支（stage2.cpp:1123/:1395，语句在 :1141/:1414），默认 2 见 stage2_common.cpp:378；与 SCI-UPM-WEIGHT-001 生产禁令三方互斥；P5-SNR 注记只改了 local_snr 命名未撤该式
M3b-A-01|A_SCI_DEF|P0|旧宪章 §12.3（结构一致≠科学正确）、§17.1（SCI 冻结无冲突）；SCI-P1-STAR-001 §1/§3；SCI-PSF-001 §10|docs/science/PSF.md §10 不可接受变化：引入未文档的高斯备选拟合路径作为主路径；将 q_psf 当 SNR 进入 Phase2 权重；docs/science/STAR_DETECTION.md §1/§3：基线算法=peaker 七步候选 + Moffat4 GSL trust-region LM 拟合|命令：cd "/workspace/Astro CS Database" && timeout 60 sed -n "375p" lib/star_detector/src/sdet_api.cpp; timeout 60 sed -n "627p" lib/star_detector/src/sdet_api.cpp; timeout 60 sed -n "41p" docs/science/STAR_DETECTION.md；输出：    fdf.f = &sdet_gaussian_f; /     int gsl_status = sdet_lm_fit<T>(image, width, / - 基线算法=peaker 七步候选 + Moffat4 GSL trust-region LM 拟合|OPEN|P1-001|无|sdet_moffat4_fit(:520) 仍转调 sdet_lm_fit，其母函数/解析导数固定为椭圆高斯 sdet_gaussian_f（:111/:375），生产阶段6 走 sdet_moffat4_fit（:2207 等）——SCI-PSF §10 明列的不可接受变化即当前现实；同一 sx 列按高斯 2.354820σ 与 Moffat4 1.230310s 解读差 1.914×，函数名与 README「Moffat4（7 参数 Gaussian 参数化）」名实不符
M3b-A-02|A_SCI_DEF|P0|旧宪章 §4.1（:113 所有 DATA 合同必须写明单位/坐标系/像素语义）、§5.3（单位与误差传播必须明确）；DATA-P1-STAR §17.2；DATA-P1-PSF §15.2|docs/design/UNIFIED_MODEL.md §2：数据对象（禁止互相冒充）；ENGINEERING_SPEC.md §3：数据对象按 UNIFIED_MODEL 区分，禁止一个字段承载多个含义|命令：cd "/workspace/Astro CS Database" && timeout 60 sed -n "2304p" lib/star_detector/src/sdet_api.cpp; timeout 60 sed -n "151p" lib/phase1/stars/star_detector.cpp; timeout 60 sed -n "210p" lib/star_detector/tests/p1star/p1star_tests_core.cpp；输出：        rec.flux = (float)fit_results[i].A; /     s.flux = m00; /                 P1STAR_CHECK(cs, std::fabs((double)d.flux[i] - 90000.0) / 90000.0 <= 0.01,|OPEN|DATA-001|无|同一 star_det v1 列 [2]=flux 两链不同量：sdet 链填拟合峰值振幅 A（sdet_api.cpp:2304，且 A 的母函数还是高斯），IR 节点链填 5×5 二阶矩 m00（star_detector.cpp:151，module_adapters.cpp:1661 直取 s.flux）；DATA_SEMANTICS:703 仍以「ADU（正常星=Moffat4 振幅 A，非解析积分流量）」按 flux 名义登记导出列，p1star F2 测试把振幅语义钉死（A=90000 容差 1%）
