ID	原类别	原优先级	producer	文件	行	标题	旧位置字段	旧证据字段	旧条款字段	fix_state	verified_state
M1a-A-004	A_SCI_DEF	P1	M1a	问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md	3	cd_inv 在 SCI 符号表被定义为 CD⁻¹ 却注单位 pixel/arcsec，与同文 §5 及实现 inv(trans.linear) 相差 3600 倍	:§2 符号表（cd_inv 行）/::§3 单位表/::§5 SIP 前向/::§10 不可接受变化；对照 lib/plate_solve/cpp/ipv/src/ipv_wcs.cpp::extract_wcs_sip（cd_inv 计算块）、docs/algorithms/PLATESOLVE.md::2 冻结公式 F2	（ASTROMETRY.md:19）| `cd_inv` | `CD^{-1}` 线性逆 `pixel/arcsec`（仅 SIP 换算） | `ipv_wcs.cpp:328-331` | / （ASTROMETRY.md:53）  B[i][j] = cd_inv · trans.y_ij    # cd_inv = inv(trans 线性项) / （ASTROMETRY.md:138）- 将 `cd_inv` 单位误写为 `deg/pixel`； / （ipv_wcs.cpp:338）注意: 用 trans 线性项的逆, 不是 result->cd 的逆 (差 3600 倍) / （P	宪章 §12.3-15（单位显式）、§13.1；SCI-WCS-001 §2/§3/§5/§10；ALG-WCS-001 F2	OPEN	
M1a-A-005	A_SCI_DEF	P1	M1a	问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md	19	"容差族口径断裂：0.2% 各向异性被挪用为""CD 元素相对误差 ≤2%""（十倍），尺度窗四套并存，多数生效阈值无 SCI 出处"	:9 容差族 与 ::11.4 F1；lib/plate_solve/cpp/ipv/include/ipv_types.h::IPVSolverParams（s_min/s_max、good_rms、inlier 阈值）；src/ipv_ransac.cpp::文件头约束与早停日志；src/ipv_solver.cpp::triangle_match 实参	"（PLATESOLVE.md:83）- 收敛 0.01"" (pixel/3600), 尺度容差 0.002 (各向异性 0.2%), Huber 1.345 (robust 统计), 预冻结。 / （PLATESOLVE.md:187）… CD 元素相对误差 ≤2%（§9 尺度容差 0.002 同源）… / （ipv_types.h:201）double s_min = 0.90;                    // 尺度下限 (±10%, 符合项目约束) / （ipv_ransac.cpp:18-20）// - 尺度约束: s ∈ [s_min, s_max]（默认 [0.95, 1"	宪章 §12.3-3、§13.1（容差唯一源）；SCI-WCS-001 §9；ALG-WCS-001 §9/§11.4	OPEN	
M1a-A-006	A_SCI_DEF	P1	M1a	问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md	35	"历元/自行/视差传播全缺：参考历元 J2016.0 与""ICRS/J2000（Gaia DR3 同系）""混用，pm/parallax 被契约置 0，求解器无观测历元入参"	:§3a 假设 与 ::§6 缺失项；docs/standards/STANDARDS_REGISTRY.md::D.catalog 条款表与偏差表；lib/gaia_xpsd_client/src/gaia_client.c::星表读出缓存路径；lib/plate_solve/cpp/ipv/include/ipv_api.h::求解入口签名族	（ASTROMETRY.md §3a）天球 frame：**ICRS/J2000**（Gaia DR3 星表同系） / （ASTROMETRY.md §6）Gaia 系统自行/视差/历元传播 **MISSING** / （STANDARDS_REGISTRY.md:45）| catalog | Gaia DR3 data model（本地 XPSD 星表） | … | DR3 source 列面（ra/dec 参考历元 **J2016.0**、… / （gaia_client.c:1829）*out_stars = (GaiaStar *)calloc((size_t)cached_count	宪章 §4.1/§4.3（frame/历元可追溯）、§12.3-15；STANDARDS D.catalog；SCI-WCS-001 §3a/§6	OPEN	
M1a-A-007	A_SCI_DEF	P1	M1a	问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md	51	ALG 施工伪代码两处公式级错误：极点排除条件方向反转、像素→天球方向误用 CD⁻¹	:G1/G2 施工规格	（PHASE3_RESAMPLE.md:54）  validate(params): frame=icrs, W,H∈[1,20000], s_out>0, **|center.Dec|≥5°**, pixfrac N/A / （PHASE3_RESAMPLE.md:22）  iwc = CD^{-1} · ((x+1)−CRPIX1, (y+1)−CRPIX2)      # deg 偏移 / （对照 SCI-P3:48）… `abs(dec)<=85°` …	48；FITS WCS Paper I §2.1.1（ξ,η = CD·(xp−CRPIX)）；宪章 §12.3-3	OPEN	
M1a-A-008	A_SCI_DEF	P1	M1a	问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md	65	"coverage 不变量定义""足迹内存在有限像素""与同文""NaN→C=1""字面冲突（SCI 与 DATA 双处）"	:§5 coverage 定义 与 ::§8 缺失/异常表；docs/contracts/DATA_SEMANTICS.md::§30.4 invalid 表；lib/phase3_session/p3_resample.cpp::采样函数	（SCI-P3:66）  C(x,y)=1 ⇔ 采样足迹内存在有限 tile 像素; 否则 C=0 且 S=NaN / （SCI-P3:86）| tile 内 NaN | 传播为输出 NaN（**C=1**，值 NaN），mask 语义经 coverage+NaN 判定 | / （DATA_SEMANTICS.md:2374）3. u 值域: NaN = 传播态（见 invalid 表）；负/Inf（含 ivar==0 导出）= …	SCI-P3-001 §5/§8；DATA-P3-UNC-001 §30.4；宪章 §12.3-15、§13.1	OPEN	
M1a-A-009	A_SCI_DEF	P1	M1a	问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md	79	§30.4 对 ivar==0 给出双强制行为（NaN 传播态 vs 产品损坏显式错误），实现自行裁决其一	:§30.4 条目1/条目3；lib/phase3_session/p3_resample.cpp::不确定性传播分支；tests/unit/p3002_uncertainty_test.cpp::W4 负面族	（p3_resample.cpp:324）// ivar==0 → u 无效 (§30.4-1: 像素级规则, NaN 传播态, 非产品损坏) / （DATA_SEMANTICS.md:2374）3. u 值域: NaN = 传播态（见 invalid 表）；负/Inf（**含 ivar==0 导出**）= 产品损坏 → 显式错误	DATA-P3-UNC-001 §30.4；SCI-P3 §9a-10；宪章 §12.3-4、§6.3	OPEN	
M1a-A-010	A_SCI_DEF	P1	M1a	问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md	92	"TAN 半球界推导错误：""r≥π/2 与 denom>0 数学等价""不成立，正反映射有效域不对称（真边界 ≈57.5° 而非 90°）"	:p3_wcs_pix2world / ::p3_wcs_world2pix；docs/contracts/DATA_SEMANTICS.md::§28.4；docs/algorithms/PHASE3_PROJ_IMPL.md::§9 与 §15.3	（p3_wcs.cpp:162-163）const double r = std::sqrt(xi*xi + eta*eta);  if (r >= M_PI / 2.0) return P3_WCS_HEMISPHERE;    // 跨 TAN 半球 / （p3_wcs.cpp:187-189）const double denom = sin(d0)*sin(dd) + cos(d0)*cos(dd)*cos(a-a0);  if (denom <= 0.0) return P3_WCS_HEMISPHERE; / （DATA_SEMANTICS.md:2189-2190）半球界 r<π/	r=tan d，d 为大圆距）；宪章 §12.3-13（四投影一致）、§12.3-3	OPEN	
M2a-A-2	A_SCI_DEF	P1	M2a	问题扫描/findings/A_SCI_DEF/p1/M2a_L04_L10.md	5	面积/方差/信号单位声明链 px²↔sr 混用，variance 单位与公式维度不符，HiPS tile FITS 无 BUNIT	:§3 单位表、::§3a 坐标 frame 段、::§5 累加式；docs/contracts/DATA_SEMANTICS.md::§11.2 sumArea/sumVarNum 行、::§12.2 产品面单位行；lib/astro_image_io/src/hips/aio_hips_writer.cpp::write_tile_core（cards 构造处）；lib/core/src/module_adapters.cpp::drizzle descriptor（stacked 端口 UnitId）	（DRIZZLE.md:27）- `S,F,x`: ADU/e⁻；`D,a,A_drop`: px²（球面立体角等价）；`v,variance`: ADU²；`ivar`: ADU⁻²… / （DRIZZLE.md:48-51）w_jp = a_jp / A_drop,j ｜ D_p = Σ_j a_jp ｜ variance_p = sumVarNum / D_p² / （DATA_SEMANTICS.md:262）| sumArea（HiPS SUPPORT 底数） | 同上 | **sr**（Σa_jp；support=Σarea/A_p 归一在 sink/writer） | / （DA	宪章 §4.1（signal/variance 单位须为平方一致且各 DATA 合同写明单位）、§4.3（manifest/产品须记录单位与像素语义）、§7.3（面亮度/每像素通量规则须明确）；FITS 4.0 §4.4.1 BUNIT 语义；SCI-DRZ-001 §3/§3a	OPEN	
M2a-A-3	A_SCI_DEF	P1	M2a	问题扫描/findings/A_SCI_DEF/p1/M2a_L04_L10.md	24	by_coords 的最近邻/平手/重复命中/半径域界判据在 SCI/ALG/DATA 全无定义，仅存在实现事实，且平手判定依赖遍历序	:§1/§2 全节、::§3.1 execute 段；docs/contracts/DATA_SEMANTICS.md::§8.2 out_match_idx 行；lib/gaia_xpsd_client/src/gaia_client.h::query_spectrum_by_coords 注释；lib/gaia_xpsd_client/src/gaia_client.c::gaia_client_query_spectrum_by_coords（best_ang_dist 判定处）；tests/unit/gaia_adapter_test.c::D5	（GAIA_QUERY.md:21-22）本模块不做自行消化（proper motion）、不做 SIP/像素投影（plate_solve 侧）、**不做匹配求解**。；（:184-185）`execute()`：一次锥形查询（4 个搜索入口之一）；一个 execute 只完成本 / （gaia_client.h:17）query_spectrum_by_coords — 按坐标**匹配**光谱查询（**最近邻**）… / （gaia_client.c:2266）if (ang_dist < best_ang_dist) {   // 严格小于 ⇒ 平手取遍历先见者 / （DATA_SEMAN	ALG-GAIA-001 §2「离散公式（源码逐条对应）」；宪章 §5.3（域界/误差/单位须明确）、§7.3（不支持语义须显式拒绝）、§13.1（边界与极端参数测试必备）；DATA-GAIA-001	OPEN	
M3-A-003	A_SCI_DEF	P1	M3	问题扫描/findings/A_SCI_DEF/p1/M3_L05_L07.md	7	SCI-CAL 把 `flat_norm` 定义写进校准公式，但生产 `calibrate` 只做 floor；median≈1 前置条件既不在 SCI 也无人校验	:§5 连续定义 / §2 符号表 / §10 不可接受变化`（复核时点 :44-53、:18、:99） ；`lib/calibration/src/calibrator.cpp::ac::calibrate`（复核时点 :106-138，关键语句 :122、:132 `if (flat) v /= std::max(flat[i], 0.1f);`） ；`lib/calibration/src/calibrator.cpp::ac::calibrate_d`（复核时点 :149-181，:165、:175 同式） ；`lib/calibration/src/calibrator.cpp::ac::normalize_flat`（复核时点 :80-95；SCI §2 点名的归一实现，**全仓零调用方**） ；`lib/calibration/src/master_generator.cpp	cal = (raw − dark) / flat_norm（SCI-CAL:44） / flat_norm = max(flat / median(flat), 0.1)   # median→1.0, 逐像素 floor 0.1（SCI-CAL:49） / 与 `lib/calibration/src/calibrator.cpp:104-136,147-179` 及 `lib/calibration/src/master_generator.cpp:222-234` 一致。（SCI-CAL:53） / if (flat) v /= std::max(flat[i], 0.1f);（cal	宪章 §1.1（SCI 为 L2、ALG 为 L3，层间不一致必须修低层或走 §1.2 改高层）、§4.3（公式中每个量必须有定义与单位）、§5.3；SCI-CAL-001 §5/§10	OPEN	
