task_id,finding_type,severity,location,detail,recommended_owner,integration_action
V81-ADOPT-006,drift_fixed,info,VERSION,"根 VERSION 0.11.0-alpha.1 → 0.11.0-alpha.2 (唯一事实源提升)",SA-DOC-05,无
V81-ADOPT-006,drift_fixed,info,CMakeLists.txt:14,"project(astrocs VERSION 0.10.0) → 0.11.0 (修 BLD-002 登记的版本漂移; CMake project() 只收数字三元组, alpha 后缀由 VERSION/生成链承载)",SA-DOC-05,无
V81-ADOPT-006,drift_fixed,info,README.md/REVIEW.md/HANDOVER.md/docs/governance/VERSION_NAMESPACES.md/docs/DOCUMENT_INDEX.yaml/docs/VERSIONING.md/docs/owner/*.md/docs/interfaces/data/DATA-004,"活动文档当前版本声明统一为 0.11.0-alpha.2; 旧 SHA 6affe300/caee3e67 标注为历史检出基并指向 git rev-parse HEAD; VERSION_NAMESPACES.md front matter doc-revision 1→2",SA-DOC-05,无
V81-ADOPT-006,new_tool,info,ci/check_version.py,"新增版本一致性 CI 快速门 (只读; 规则写死注释; 输出 JSON; 任一 FAIL exit 1)",SA-DOC-05,验收命令已过 exit 0
V81-ADOPT-006,new_test,info,tests/version/test_adopt006_version_gate.py,"新增 11 用例机器测试 (统一面 3 + 门面 8, 含 5 个 /tmp fake 树 mutation 负向样例)",SA-DOC-05,11/11 OK
V81-ADOPT-006,integration_required,HIGH,AstroCS_ENGINEERING_CONSTRAINTS.md:33 (及 §0 YAML target_main_version:21),"冻结约束 §A.1 正文仍写目标版本 0.11.0-alpha.1; VERSION 升 alpha.2 后 GOV-003 检查器 (tools/doccheck/check_version_namespaces.py) 现报 active_scan 漂移=1 (改前 PASS)。该文件为负责人冻结文件, 本任务禁改, 需负责人/前台在集成时把 §A.1 的目标版本写法改为不携带具体 alpha 编号 (或同步升 alpha.2), 否则 GOV-003 检查器在 main 上 FAIL",负责人/前台,集成时必须处理 (唯一硬判项)
V81-ADOPT-006,integration_required,MEDIUM,packaging/astrocs.product.json:3 + packaging/schemas/astrocs-product.schema.json:10 + packaging/install-tree.contract.json + packaging/dependency-lock.json + contracts/config/module_dll_contract.schema.json:23 + contracts/config/module_lifecycle_contract.schema.json:10,"活动合同/清单的 product_version/target_version 仍为 0.11.0-alpha.1 (共 6 文件); 其中 module_lifecycle_contract 为 ABI-002 冻结合同 (frozen_at + tests/abi/test_abi002_lifecycle.py test_33 锁定 ==0.11.0-alpha.1), 修改需 ABI owner 同步改测试; astrocs-product.schema.json 的 pattern 锁 0.11.0-alpha.1, 改清单必须同步改 schema pattern。属他人路径, 本任务 allowed_paths 未覆盖 packaging/** 与 contracts/**",前台协调打包/ABI owner,升版时一并收敛
V81-ADOPT-006,integration_required,MEDIUM,modules/conformance/{echo,noop}/{module.yaml,types.h,noop_module.c} + tests/abi/test_abi005_echo.py + tests/abi/test_module_registry.py,"conformance 模块 module_version=0.11.0-alpha.1 与对应测试常量 (module 命名空间, GOV-003 §1 逐模块独立); 若模块版本策略是随产品版升, 需模块 owner 同步; 若是独立版本空间则属误引语义问题",模块 owner (SA-ABI-03),登记待协调
V81-ADOPT-006,integration_required,LOW,tests/version/test_version_consistency.py:48 + tests/quality/test_linux_release.py:96 + tests/backend/test_cpu_profile.py:49 + tools/check_final_traceability.py:31 + tools/check_release_consistency.py:19 + tools/check_reproducible_build.py:33 + tools/make_linux_release.py + tools/make_windows_release.py,"VER-001/QA/打包遗留: 硬编码 0.10.0-alpha.2 断言与回退串 (GOV-003 known_limits 已全部登记; 基线即预存, 本任务未触碰)",QA/打包 owner,已知遗留
V81-ADOPT-006,integration_required,LOW,docs/VERSIONING.md,"VER-001 遗留版本合同文档 '当前冻结基线' 行已改为不携带具体编号 (本任务); 但其 §4 引用的 tools/check_version_consistency.py 口径与 GOV-003 冲突 (扫 docs/tests 全量, 71 命中基线预存 FAIL; tests/version/test_version_consistency.py test_04 断言其 PASS 故恒 FAIL)",前台/QA 统一,GOV-003 known_limits 登记项
V81-ADOPT-006,integration_required,LOW,CHANGELOG.md:3-28 + memory.md:34-37,"CHANGELOG 历史节 (0.11.0-alpha.1 发布节) 与 memory.md 日志含旧版本串; 按 GOV-003 §2/§4 history/日志命名空间不判 FAIL (warnings-only), 本任务不改 (历史归档/日志禁改或收敛规则豁免); 注意 CHANGELOG.md:5-6 '当前产品版本节' 字样与其内部值属历史节内陈述, 不动",SA-DOC-05/GOV-005,无动作 (仅记录)
V81-ADOPT-006,env_limitation,LOW,tests/abi/test_abi002_lifecycle.py,"本机 9 errors 全部为 FileNotFoundError: 无 gcc/g++ (环境预存缺 C 编译器, 编译类用例无法运行; test_33 schema 断言类用例 PASS); 非本任务改动引起",环境,hosted CI/Windows 节点兜底
V81-ADOPT-006,scope_note,info,evidence/v8_1_ci_control/tasks/V81-ADOPT-006/logs/scan_versions_grep.log,"docs/operations/TOOLCHAIN_AGENT_HOST.md 的 git/zstd/xz 版本、tests/runtime/test_rt006/rt007 的 1.0.0/0.1.0、runtime/artifact_store/provenance.py 与 tests/artifact/test_provenance.py 的示例版本均为非产品版本命名空间 (GOV-003 §3 豁免口径) 或测试 fixture, 不属漂移",-,无动作
