ID	原类别	原优先级	producer	文件	行	标题	旧位置字段	旧证据字段	旧条款字段	fix_state	verified_state
M1a-C-005	C_DOC_CODE_GAP	P1	M1a	问题扫描/findings/C_DOC_CODE_GAP/p1/M1a_L01_L02.md	3	ALG §3 施工伪代码与生产链步骤错位：容差挂错步骤、生产 build_sip 不含 IRLS/Huber 却按 legacy 路径描述且未注明	:§3 流程伪代码 与::§11.1 DISP-WCS-003；lib/plate_solve/cpp/ipv/src/ipv_wcs.cpp::extract_wcs_sip；lib/plate_solve/cpp/ipv/src/ipv_sip.cpp::irls_huber_fit（legacy）	"（PLATESOLVE.md:29-33）matches = kd_match(gaia, detected, tol=5.0"") / trans = iter_trans_solve(...) / sip = build_sip(trans) order 2-3, **IRLS / （PLATESOLVE.md:166-170）DISP-WCS-003 双 SIP 拟合路径并存：**生产 extract_wcs_sip（TRANS 解析 A/B + 7×7 网格反变换 AP/BP…）与 legacy fit_sip IRLS+Huber…仅被 legacy  / （ipv_wcs.cpp:4"	宪章 §12.3-3、§13.1；ALG-WCS-001 §3/§11.1	OPEN	
M1a-C-006	C_DOC_CODE_GAP	P1	M1a	问题扫描/findings/C_DOC_CODE_GAP/p1/M1a_L01_L02.md	19	"选星口径三处互斥（残余事实）：ALG/头注称""flux 降序、默认 20、自适应 20→40→60""，实现为 box-mag 升序且被固定 60 覆盖"	:§5 选星；lib/plate_solve/cpp/ipv/src/ipv_select.cpp::（文件头口径 + 排序实现）；lib/plate_solve/cpp/ipv/include/ipv_types.h::IPVSelectParams；lib/plate_solve/cpp/ipv/src/ipv_solver.cpp::（内部 n_target 与参数装配）	（PLATESOLVE.md §5:115）统一按 flux(A) 降序取前 img_n_target 颗…（默认 20，自适应 20→40→60） / （ipv_select.cpp:16）统一按 flux(A) 降序取前 img_n_target 颗 / （ipv_select.cpp:462-470）// 按 mag(box积分) **升序**取前 N … 注: flux 参数（来自检测器）**当前未使用** / （ipv_types.h:206-208）img_n_target = 20 …（自适应扩充 20→40→60） / （ipv_solver.cpp:1159）const in	宪章 §12.3-3（公式/规则唯一实现）、§13.1、§14.4；ALG-WCS-001 §5	OPEN	
M1a-C-007	C_DOC_CODE_GAP	P1	M1a	问题扫描/findings/C_DOC_CODE_GAP/p1/M1a_L01_L02.md	36	Phase3 重采样实现级合同与现行 p3_resample.{h,cpp} 全面脱节：非目标已被实现推翻、10 符号清单与签名/锚双重失真、行数陈述过期	:§1 非目标、::§4 符号表、::§6.5 coverage 台账；lib/phase3_session/p3_resample.h::（文件整体）；lib/phase3_rsmp/（目录现状）	"（PHASE3_RSMP_IMPL.md:13-14）p3_resample.h **58 行** / p3_resample.cpp … 239 行 …（实测 2026-09-12） / （PHASE3_RSMP_IMPL.md:24）非目标：**不实现 variance/weight/ivar/support 输入** / （p3_resample.h:23-27）/* 已废止的""不实现 variance/ivar""非目标（§30.4-4 supersession）… 现实现为 **四平面产品 (signal/coverage/variance/ivar)** */ / （p3_resam"	宪章 §12.3-3、§12.3-9（无断链）、§13.1、§17.1；ALG-P3-003/RSMP 实现合同	OPEN	
M1a-C-008	C_DOC_CODE_GAP	P1	M1a	问题扫描/findings/C_DOC_CODE_GAP/p1/M1a_L01_L02.md	54	"HISTORY provenance 残余（部分修复定稿）：节点面 manifest 哈希已真实化，会话面仍恒 nullptr、hips_id 两面仍恒占位，合同仍以""已闭合""整体登记并引用不存在的「SCI-P3 §96」"	:（provenance 装配）；lib/phase3_session/p3_output.cpp::HISTORY 写出；lib/core/src/module_adapters.cpp::p3_node（已修侧）；docs/algorithms/PHASE3_FITS_IMPL.md::§14；docs/modules/…/p3 侧 README	"（p3_session.cpp:365-366）prov.hips_id = ""ivo://astrocs/phase3""; prov.manifest_hash = nullptr; / （p3_output.cpp:224-227）snprintf(hist, sizeof(hist), ""HISTORY phase3 source=%s manifest=%s"", prov->hips_id, prov->manifest_hash ? prov->manif / （module_adapters.cpp:5065-5081，已修侧）prov.hips_id = ""ivo://astro"	输入哈希、实际 provider）、§12.3-9（无断链）、§12.3-4；SCI-P3-001 §9a-11	OPEN	
M2a-C-10	C_DOC_CODE_GAP	P1	M2a	问题扫描/findings/C_DOC_CODE_GAP/p1/M2a_L04_L10.md	164	registry 登记的 `astrocs.calibrated_frame.v1` 不满足自家 type_id 词法，该类型一经使用必被词法拒绝（登记即合法 vs 未登记即拒 互斥）	:types[3]；contracts/data/artifact_manifest.schema.json::properties.type_id.pattern；contracts/data/phase_product_exchange.schema.json::type_id.pattern；runtime/artifact_store/artifact_manifest_validator.py::_TYPE_ID_RE/校验顺序；runtime/artifact_store/phase_product_exchange_validator.py::_TYPE_ID_RE；docs/interfaces/data/DATA-002_PHASE_PRODUCT_EXCHANGE.md::沿用类型声明段	"（artifact_types.registry.json:34）""type_id"": ""astrocs.calibrated_frame.v1"",（:7 note「单一真源：全部已知 artifact type_id。manifest 的 type_id 必须登记于本表，未登记 / （artifact_manifest.schema.json:43）""pattern"": ""^astrocs\\.[a-z0-9]+\\.[a-z0-9_]+\\.v[0-9]+$"" / （artifact_manifest_validator.py:40）_TYPE_ID_RE = re.compile(r""^"	宪章 §4.3、§12.3-1（注册表/schema/校验器一致）、§7.3（语义须闭合）；DATA-001/DATA-002 合同自述	OPEN	
M2a-C-11	C_DOC_CODE_GAP	P1	M2a	问题扫描/findings/C_DOC_CODE_GAP/p1/M2a_L04_L10.md	182	§30 合同 JSON 仍把两个 AIO 通道标 PENDING，与已落地的 AIO writer 能力直接矛盾	:pending_aio_channels；lib/astro_image_io/include/aio_hips.h::产品 flags 枚举；lib/astro_image_io/src/hips/aio_hips_writer.cpp::properties 键写入段、::诊断平面写段	"（contract JSON:81-93）""pending_aio_channels"": { ""writer_int32_tile"": { ""status"": ""PENDING_AIO_DOMAIN"", ""gap"": ""aio_hips writer 无 int32 子产品写通道 / （aio_hips.h:46-47）AIO_HIPS_PRODUCT_NREJ = 32, AIO_HIPS_PRODUCT_NUSED = 64, / （aio_hips_writer.cpp:943-945）// DATA-UNC-001 §30.2: 诊断统"	宪章 §12.3-1/-2（合同声明与实现一致）、§16.2；该 JSON 自任「通道语义唯一事实源输入」	OPEN	
M2a-C-12	C_DOC_CODE_GAP	P1	M2a	问题扫描/findings/C_DOC_CODE_GAP/p1/M2a_L04_L10.md	200	"恒零天测列以 published 行 schema 下发，而合同写""不输出/未初始化""；0 落在合法值域内，无 invalid 表达"	:§8.2 不输出段；lib/gaia_xpsd_client/README.md::§9 已知限制 3；lib/gaia_xpsd_client/src/module_entry.c::cone 行 schema；lib/gaia_xpsd_client/src/gaia_client.c::calloc 装配处；lib/gaia_xpsd_client/include/astrocs/gaia/types.h::GaiaStar / GaiaSpectrumStar	（DATA_SEMANTICS.md:121-123）明确**不输出**：`source_id`（恒 0 占位）、parallax/pmra/pmdec（输出结构体中**未初始化**，调用方不得使用——现状契约，CAT-GAIA-IMPL 迁移时需显式置 0 或剔除）、误差列、p / （README.md:142）3. `GaiaStar.parallax/pmra/pmdec` 输出未初始化；`source_id` 恒 0； / （gaia_client.c:1888）*out_stars = (GaiaStar *)calloc((size_t)total, sizeof(GaiaStar	DATA-GAIA-001；宪章 §4.1（validity 是独立状态，不得用值域内数字充当哨兵）、§4.3、§12.3-2	OPEN	
M2a-C-2	C_DOC_CODE_GAP	P1	M2a	问题扫描/findings/C_DOC_CODE_GAP/p1/M2a_L04_L10.md	5	"产品元数据的 precision_mode/signal_dtype 记录""请求值""而非实际累加域，帧头 PRECISION 与产品精度脱钩"	:writeHis（hmeta.precision_mode/signal_dtype 赋值处）、::writeHisTilesT（同一赋值 + 落盘选路）；docs/contracts/DATA_SEMANTICS.md::§11.1 PRECISION 行；docs/algorithms/DRIZZLE_GEOMETRY.md::§8 B2-A12 段	（drizzle_engine.cpp:1137-1142）// 精度模式写入 metadata (precision_mode + signal_dtype) … hmeta.precision_mode = config.precision_mode; hmeta.signa / （drizzle_engine.cpp:2022-2023）同一赋值（tiled 生产路径）；（:2099）acc.pixels[local].sum_flux = static_cast<double>(tile.pixels[local].sumFlux);  ← 来源是 f	宪章 §4.3（manifest/元数据必须如实记录精度与像素语义）、§5.3、§12.3-1/-10；DATA-P1-DRZ（DATA_SEMANTICS §11）	OPEN	
M2a-C-3	C_DOC_CODE_GAP	P1	M2a	问题扫描/findings/C_DOC_CODE_GAP/p1/M2a_L04_L10.md	23	"值像素 NaN/Inf 的""静默掩膜""登记在六处合同/注册面仍存在，而代码现状已是""不掩膜、直接传播""——登记本身失实"	":§5 输入校验表（值像素行）、::§10 DISP 表（DISP-DRZ-004 行）；docs/contracts/DATA_SEMANTICS.md::§11.1 ""data"" 块行；lib/drizzle/README.md::§5 输入校验段；docs/modules/registry/astrocs.phase1.drizzle.md::invalid 段；docs/standards/STANDARDS_REGISTRY.md::D.drizzle §3 判定行 + 偏差表 + 偏差索引；对照 lib/healpix_db/healpix_drizzle/drizzle_engine.cpp::drizzleTiled 主循环"	（drizzle_engine.cpp:1714-1719）// (P1-DRZ-NONFINITE) 冻结合同 docs/science/DRIZZLE.md §8 :96: 源像素 NaN/Inf 经 F_p=Σx_j·w_jp 直接传播, drizzle 层**不掩膜**; / （DRIZZLE_GEOMETRY.md:118）| **值像素 NaN/Inf** | **主循环静默 continue（等效掩膜），不进累加器，无计数暴露** | :1715（DISP-DRZ-004） | / （DRIZZLE_GEOMETRY.md:217）| DISP-DRZ-004 | 值像素 NaN	96（现行为准）；宪章 §12.3-1/-2/-10（登记与实现一致、活动文档禁陈旧状态）、§1.1（权威分层：SCI > ALG > 注册表转录）	OPEN	
M2a-C-4	C_DOC_CODE_GAP	P1	M2a	问题扫描/findings/C_DOC_CODE_GAP/p1/M2a_L04_L10.md	44	"lib/drizzle 模块 README/module.yaml 的""当前事实""仍写无源码/DLL 未建/未接节点，与构建接线事实相反"	:§1 身份表、::§9 构建段；lib/drizzle/module.yaml::状态注释与 entrypoint/dll 字段；对照 根 CMakeLists.txt::add_subdirectory(lib/drizzle)、lib/drizzle/CMakeLists.txt::add_library(astrocs_p1_drizzle SHARED)、lib/core/src/module_adapters.cpp::descriptor	（lib/drizzle/README.md:9）> 由 P1-DRZ-IMPL 建立，当前本目录仅合同文件、无源码；落位依据 / （lib/drizzle/README.md:21）| MOD ID / DLL target | `MOD-astrocs-phase1-drizzle` / 现状实现编入 CMake 静态库 `astrocs_drizzle`（CMakeLists.txt:356-366，无 / （lib/drizzle/module.yaml:21）# entrypoint=MISSING：registry descriptor（lib/core/src/module_ad	宪章 §12.3-1（manifest↔注册表↔构建 target↔产品清单一致）、§12.3-9/-10（禁悬空引用、禁历史状态冒充当前）、§16.2（不得以文档声明冒充完成）	OPEN	
