code,category,meaning,retryable
ASTROCS_CONFIG_INVALID,request,invalid or incomplete effective configuration,no
ASTROCS_MODULE_MISSING,dependency,required module or DLL missing,no
ASTROCS_MODULE_ABI_UNSUPPORTED,dependency,module capability/ABI version unsupported,no
ASTROCS_INPUT_INVALID,input,input file or data block invalid,no
ASTROCS_CALIBRATION_MISSING,input,required master calibration data unavailable,no
ASTROCS_STAR_DETECT_FAILED,algorithm,star detection failed,maybe
ASTROCS_PLATESOLVE_FAILED,algorithm,WCS solve failed,maybe
ASTROCS_PSF_FAILED,algorithm,PSF fitting failed,maybe
ASTROCS_PHOTOMETRIC_FAILED,algorithm,photometric calibration failed,maybe
ASTROCS_SNR_FAILED,algorithm,SNR model generation failed,maybe
ASTROCS_DRIZZLE_FAILED,algorithm,HEALPix drizzle failed,maybe
ASTROCS_HISS_INVALID,format,HISS write or validation failed,no
ASTROCS_STACK_FAILED,algorithm,gradient/robust stack failed,maybe
ASTROCS_HCSD_INVALID,format,HCSD write or validation failed,no
ASTROCS_CANCELLED,control,user cancellation,no
ASTROCS_TIMEOUT,control,operation timed out,maybe
ASTROCS_INTERNAL,internal,unexpected internal error,maybe
