key	value	doc	candidates	true_anchor
calibration.dark_light_exposure_tolerance	5	docs/science/CALIBRATION.md	0	
calibration.master_flat_median_range	[0.5, 2.0]	docs/science/CALIBRATION.md	4	112:| 1.0 / 0.5 / 0.2 / **0.1** | 1000 / 2000 / 5000 / **10000** | 同 | **0.00%** | ;; 122:`{1.0,0.5,0.1,0.05,0.01,2.0}` → `{3.3333,1.6667,0.3333,0.1667,0.1000,6.6667}`， ;; 182:消费边界按 `master_flat_median_range`（冻结默认 `[0.5, 2.0]`，见 `eng/packaging/config/defaults.json`
detection.threshold_sigma	5.0	docs/science/STAR_DETECTION.md	1	65:`threshold = median(img) + 5.0·bgnoise`，**单位 ADU**；`bgnoise` 为
psf.default_model	"moffat4"	docs/science/PSF.md	0	
psf.moffat_beta	4.0	docs/science/PSF.md	0	
noise.patch_grid	[8, 8]	docs/science/NOISE_MODEL.md	0	
noise.source_mask_radius_px	10	docs/science/NOISE_MODEL.md	2	108:实测（12 seeds；1024²/320 星；Moffat β=2.5；FWHM=3 px）：`r=10 px` ⇒ 偏差 `+0.13%`、RMSE `0.17%`、`n_qualified=64`；`r=60 px` ⇒ 偏差 `−0.28%`、RMSE `0.76%`（**4.6×**）、`n_qualifie ;; 368:5. 掩膜半径默认值的导出依据（MASK-002）：以 §11 源污染 oracle 为判据，`k=0.1`、`r_min=max(1.5 px, 0.75·FWHM)`、硬上界 `rmax=max(1,r0)·max(1,scale)=60 px`、`N_sky ≥ 9216`、`n_qualified ≥ 8`。`
noise.mask_radius_scale	6	docs/science/NOISE_MODEL.md	0	
noise.clip_sigma	5.0	docs/science/NOISE_MODEL.md	1	346:- **饱和域 oracle（SAT-001）**：校准后饱和平台不是常数——平台电平 `SAT` 经平场除法带响应残差 `ε`（相对 1% ⇒ 平台散布 `0.01·SAT`，对 sky 仅 `0.01·μ`），故「平台像素」在值域上是**有噪声的整段总体**，不能指望 5σ 裁剪兜底。判据：**正例**（电平已提供
noise.min_patch_samples	64	docs/science/NOISE_MODEL.md	0	
noise.max_clip_rounds	2	docs/science/NOISE_MODEL.md	0	
noise.saturation_level	0	docs/science/NOISE_MODEL.md	0	
noise.spatial_field_enabled	1	docs/science/NOISE_MODEL.md	0	
noise.variance_floor	1e-12	docs/science/NOISE_MODEL.md	3	30:| `variance_floor` | **可用方差**的下界（配置默认 `1e-12`，单位 ADU²；`max(var,floor)`）。**只作用于平面预测 > 0 的像素**；预测 ≤ 0 的像素方差不可用，产品面写 `variance=0 ∧ ivar=0`（§5/§7/§9）。非有限或 ≤0 一律显式拒绝 ;; 289:- **Floor 夹逼不变量**：`variance_floor` 单位为 **ADU²**、配置默认 `1e-12` 属冻结项（变更须走工程变更）。clamp **只作用于可用方差**：任意**可用** `variance` 经 `max(..., floor)` 后 `variance ≥ floor` 且 `i ;; 335:- 改变 `variance_floor` 默认值 `1e-12` 或 `g_model_floor` 的指针 key 隔离语义；
noise.mask_k_sigma	0.1	docs/science/NOISE_MODEL.md	2	37:| `k` | 掩膜边缘残余面亮度系数，默认 `0.1`（⇒ 残余方差污染 < 1%·σ_bg²） | `noise.mask_k_sigma` | ;; 95:k     = 0.1                        # noise.mask_k_sigma
noise.mask_r_min_px	1.5	docs/science/NOISE_MODEL.md	3	38:| `r_min` | 逐星半径下界 `max(1.5 px, 0.75·FWHM_i)` | 掩膜 | ;; 96:r_min = max(1.5 px, 0.75·FWHM_i)   # noise.mask_r_min_px / noise.mask_fwhm_floor_scale（至少覆盖 PSF 核心） ;; 368:5. 掩膜半径默认值的导出依据（MASK-002）：以 §11 源污染 oracle 为判据，`k=0.1`、`r_min=max(1.5 px, 0.75·FWHM)`、硬上界 `rmax=max(1,r0)·max(1,scale)=60 px`、`N_sky ≥ 9216`、`n_qualified ≥ 8`。`
noise.mask_fwhm_floor_scale	0.75	docs/science/NOISE_MODEL.md	3	38:| `r_min` | 逐星半径下界 `max(1.5 px, 0.75·FWHM_i)` | 掩膜 | ;; 96:r_min = max(1.5 px, 0.75·FWHM_i)   # noise.mask_r_min_px / noise.mask_fwhm_floor_scale（至少覆盖 PSF 核心） ;; 368:5. 掩膜半径默认值的导出依据（MASK-002）：以 §11 源污染 oracle 为判据，`k=0.1`、`r_min=max(1.5 px, 0.75·FWHM)`、硬上界 `rmax=max(1,r0)·max(1,scale)=60 px`、`N_sky ≥ 9216`、`n_qualified ≥ 8`。`
noise.mask_budget_min_patches	8	docs/science/NOISE_MODEL.md	0	
noise.mask_budget_min_sky	9216	docs/science/NOISE_MODEL.md	7	98:天空预算收缩: 取最大 s∈(0,1] 使 n_qualified(s) ≥ 8 且 N_sky(s) ≥ 9216；无可行 s ⇒ rc=1（§7 空 support 不传播不变） ;; 99:预算推导（a priori）: 单 patch 相对误差 c ≈ 1.152/√N，中位数效率 1.25 ⇒ SE(σ̂)/σ ≈ 1.44/√N_sky；取 SE ≤ 1.5% ⇒ N_sky ≥ 9216 ;; 287:- **天空预算不变量**：任何掩膜方案必须留下 `n_qualified ≥ 8` 且 `N_sky ≥ 9216`；不满足 ⇒ 按 §5a 收缩半径；收缩到 `r_min` 仍不满足 ⇒ `ivar=0, r=1` 拒绝加权（「空 support 不传播」保持）。
rejection.sigma.lower_sigma	4.0	docs/science/REJECTION.md	2	116:sigma/winsorized/averaged: 4.0/3.0/8 ;; 274:- **阈值**：表驱动冻结锚点（冻结头注释 `rejection.cpp:1-12`；规划层 typed 默认值 `rejection.cpp:1226-1251`：sigma/winsorized/averaged/median_sigma 4.0/3.0/8；linear_fit 5.0/3.5/8；ESD al
rejection.sigma.upper_sigma	3.0	docs/science/REJECTION.md	0	
rejection.sigma.max_iterations	8	docs/science/REJECTION.md	0	
rejection.winsorized.lower_sigma	4.0	docs/science/REJECTION.md	0	
rejection.winsorized.upper_sigma	3.0	docs/science/REJECTION.md	0	
rejection.winsorized.max_iterations	8	docs/science/REJECTION.md	0	
rejection.averaged_sigma.lower_sigma	4.0	docs/science/REJECTION.md	0	
rejection.averaged_sigma.upper_sigma	3.0	docs/science/REJECTION.md	0	
rejection.averaged_sigma.max_iterations	8	docs/science/REJECTION.md	0	
rejection.linear_fit.lower_sigma	5.0	docs/science/REJECTION.md	0	
rejection.linear_fit.upper_sigma	3.5	docs/science/REJECTION.md	0	
rejection.linear_fit.max_iterations	8	docs/science/REJECTION.md	0	
rejection.esd.alpha	0.05	docs/science/REJECTION.md	4	118:ESD: alpha 0.05 / max_outliers 10 ;; 267:GeneralizedESD=近似正态多离群检验（`alpha=0.05, max_outliers=10`，`rejection.cpp:1236`）； ;; 274:- **阈值**：表驱动冻结锚点（冻结头注释 `rejection.cpp:1-12`；规划层 typed 默认值 `rejection.cpp:1226-1251`：sigma/winsorized/averaged/median_sigma 4.0/3.0/8；linear_fit 5.0/3.5/8；ESD al
rejection.esd.max_outliers	10	docs/science/REJECTION.md	3	118:ESD: alpha 0.05 / max_outliers 10 ;; 267:GeneralizedESD=近似正态多离群检验（`alpha=0.05, max_outliers=10`，`rejection.cpp:1236`）； ;; 284:`alpha=0.05`/`max_outliers=10` 为 Project-defined 采纳值，**文献不提供**这两个门值。
rejection.percentile.low	0.2	docs/science/REJECTION.md	5	64:4 ≤ n ≤ 5      → percentile (low 0.2 / high 0.1, scale=|median|) ;; 101:n < 6          → percentile (low 0.2 / high 0.1, scale=|median|) ;; 119:percentile: low 0.2 / high 0.1
rejection.percentile.high	0.1	docs/science/REJECTION.md	6	64:4 ≤ n ≤ 5      → percentile (low 0.2 / high 0.1, scale=|median|) ;; 101:n < 6          → percentile (low 0.2 / high 0.1, scale=|median|) ;; 119:percentile: low 0.2 / high 0.1
rejection.minmax.min_kept	4	docs/science/REJECTION.md	0	
rejection.large_scale.enabled	false	docs/science/REJECTION.md	0	
photometry.mag_tolerance	3.0	docs/science/PHOTOMETRY.md	7	34:| `mag_tolerance` | 星等一致性阈 `3.0 mag` | `pc_api.cpp:145,435` | ;; 202:预拒绝 i  若  |delta_i − median_delta| > mag_tolerance    # mag_tolerance=3.0 ;; 218:与 `lib/algorithms/photometry/cpp/src/star_matcher.cpp:21-27`（常数 `_MAD_SCALE/_TUKEY_C/_IRLS_MAX_ITER/_IRLS_CONVERGE`）、`:486-500`（星等一致性预过滤）、`:518-536`（`|r_consist
