ID	原类别	原优先级	producer	文件	行	标题	旧位置字段	旧证据字段	旧条款字段	fix_state	verified_state
V13-N-01	G_GOV_GATE	P1	V13	问题扫描/findings/G_GOV_GATE/p0/V13.md	14	MATRIX 权威侧自铸 3 枚 `EVID`，其 VERIFIED 在结构上不可被证伪 ⇒ 双视图共 5 行假 evidence				OPEN	
V13-N-02	G_GOV_GATE	P1	V13	问题扫描/findings/G_GOV_GATE/p0/V13.md	21	同批把 MATRIX 三行 `test_path` 写成**散文串**（非路径）⇒ 修完 BOM 后仍 DANGLING_REF，且回归依据用错了检查器				OPEN	
V13-N-04	G_GOV_GATE	P1	V13-b	问题扫描/findings/G_GOV_GATE/p1/V13-b.md	10	追溯主表的 status 列 63/63 全 VERIFIED 却**全仓零门消费** ⇒ 「假 VERIFIED 恒不红」是结构事实				OPEN	
V13-N-06	G_GOV_GATE	P1	V13-b	问题扫描/findings/G_GOV_GATE/p1/V13-b.md	3	`c3452d48` 删掉的 4 行 VERIFIED 合同行**无任何对应登记动作** ⇒ 合同面与追溯面永久分叉且恒不红				OPEN	
V14-N-01	G_GOV_GATE	P1	V14	问题扫描/findings/G_GOV_GATE/p1/V14.md	3	Windows 产品清单把两个 SKELETON unit 登记为 IMPLEMENTED ⇒ 过度声明随安装树进入发布评审，且无任何门比对两平台清单	`cmake/astrocs.product.windows.json.in`（把 `PLATFORM-RUNTIME`/`PLATFORM-IO` 登记为 **IMPLEMENTED**）vs `packaging/astrocs.product.json`（同两 unit 为 **SKELETON**，note 逐字「不伪装实现完成，维持 SKELETON」）。		宪章 §16.2/§16.3（清单一致）、§17.2、§17.12；AGENTS.md「alpha/发布」要素。	OPEN	
V14-N-02	G_GOV_GATE	P1	V14	问题扫描/findings/G_GOV_GATE/p1/V14.md	12	`MOD-NOOP` 三面矛盾：两个清单都登记 IMPLEMENTED，而它自己的 README/module.yaml/CMake 三处都是 SKELETON 且明写三个动词全返回 `UNSUPPORTED`；真正实现了动词的 `echo	`README:3/:17`、`module.yaml` 的 `module_status`、`CMakeLists:5`，且 `README:76` 明写「execute/plan/create 全部返回 `ACS_ERR_UNSUPPORTED`」。			OPEN	
V14-N-03	G_GOV_GATE	P1	V14	问题扫描/findings/G_GOV_GATE/p1/V14.md	20	逐列 diff 两份 12 行 kernel 表：编进交付 `.so` 的那份有 **6/12 行 precision 标错**（F64 vs 实现 F32）⇒ 正是 `FD-F-001` 那条 `strstr` 守卫该拦而未拦的实例				OPEN	
V14-N-04	G_GOV_GATE	P1	V14-b	问题扫描/findings/G_GOV_GATE/p1/V14-b.md	3	runtime 出厂的 `kernel_id`/`sci_contract_id` 三类失登记 ⇒ **按 kernel_id 追溯必断链**（A-36 家族新实例）			出厂面使用未登记编号 + 消费者只判非空。	OPEN	
V14-N-05	G_GOV_GATE	P1	V14-b	问题扫描/findings/G_GOV_GATE/p1/V14-b.md	13	`p1_noise` 一接线，安装树就**自动多出交付 `.so`**，而两份白名单零登记；反向按纪律补登记反而**假红**				OPEN	
V14-N-06	G_GOV_GATE	P1	V14-b	问题扫描/findings/G_GOV_GATE/p1/V14-b.md	21	两个纯 JSON 读写节点三面宣称 `cpu_heavy` + `parallel_ok=True` ⇒ 元数据节点占用/阻塞 heavy 租约（叠加 `V4-N-07` 互斥即成吞吐陷阱）				OPEN	
V14-N-08	G_GOV_GATE	P1	V14-c	问题扫描/findings/G_GOV_GATE/p1/V14-c.md	3	registry 页的**生成面与修订面同盘互踩**：重跑生成器即蒸发 10 页人工修订，并把占位 ID 钉回 docs 面				OPEN	
V17-N-01	G_GOV_GATE	P1	V17	问题扫描/findings/G_GOV_GATE/p1/V17.md	3	"（P1·①）**selfcheck 家族 10 TU / 16 门的""必败验证""接受""子进程没起来""** ⇒ 核心是 **127 码值碰撞**"				OPEN	
V17-N-02	G_GOV_GATE	P1	V17	问题扫描/findings/G_GOV_GATE/p1/V17.md	9	（P1·②）`SERIAL-HARDCODE` 门（三 profile、非豁免、在册）扫描面**无存在性前置** ⇒ 一个自登记起从未被扫过的死路径，门仍打 `QA-002_PASS`				OPEN	
