源行号,序号,对象,条目,来源成稿,原判级,复核后,判定,问题,证据位点,复核依据,复验命令,缺什么
61,61,artifacts/evidence/release-05/G2-9_CI_INCREMENTAL_STATUS.md,R5-59.md::E-R5-59-08,R5-59.md,S2,S2,降级,`run_checks.py --self-test`（含 S6 并行等价与 N1–N7 负例面）不在任何注册项命令里，G2-9 的判据无自动承载,artifacts/evidence/release-05/G2-9_CI_INCREMENTAL_STATUS.md:9; run_checks.py; eng/ci/checks.json; eng/ci/run_checks.py:760,,,
62,62,artifacts/evidence/v19r7-quality/audit_stats.json,R4-09.md::RC-05,R4-09.md,S2,S2,确认,"`audit_stats.json` 在审计工具缺失的情况下把覆盖门记为绿：`file_audit.tool_missing=true` 与 `gate_before.file_audit_coverage_ok=true` 并存，分母 ""~713+"" 未定义",artifacts/evidence/v19r7-quality/audit_stats.json:60-62; audit_findings.md:17; file_audit_before.json,,,
63,63,artifacts/evidence/v19r7-quality/checkpoints/round32_machine_consistency.json,R4-09.md::RC-04,R4-09.md,S2,S2,降级,"v19r7 归档机器门""9/9 PASS / broken 0/9""在当前 HEAD 同一判据族上 11 查 5 红；归档快照未标失效，且其冻结解除条款指向已被重写的工具",artifacts/evidence/v19r7-quality/checkpoints/round32_machine_consistency.json; evidence/QA-V19R7-A1-01/EVIDENCE_INDEX.md:17-28; audit_findings.md:59; eng/tools/docs_machine_consistency.py; eng/tools/d,,,
64,64,artifacts/evidence/v19r7-quality/evidence/QA-V19R7-A1-01/EVIDENCE_INDEX.md,R5-56.md::E-56-01,R5-56.md,S2,S2,降级,「机器一致性」A1 门的通过条件接受 rc 0 与 rc 1 ⇒ 恒真判据,artifacts/evidence/v19r7-quality/evidence/QA-V19R7-A1-01/EVIDENCE_INDEX.md:11; eng/tools/docs_machine_consistency.py; audit_stats.json,,,
65,65,artifacts/evidence/v19r7-quality/evidence/QA-V19R7-A1-01/TASK_REPORT.md,R4-10.md::Q-10-01,R4-10.md,S2,S2,确认,"证据件 A-Gate 的""机器一致性 PASS""前提所依赖的门从未登记进 `eng/ci/checks.json`，且其快照检查数已与工具分叉",artifacts/evidence/v19r7-quality/evidence/QA-V19R7-A1-01/TASK_REPORT.md:7; TEST_REPORT.md:3; eng/tools/docs_machine_consistency.py; REVIEW_REPORT.md:3; QA-V19R7-A2-05/EVIDENCE_INDEX.md:18; artifacts/e,DONE，9/9 PASS，0 broken，可进 A1-02/A2。」；`TEST_REPORT.md:3`「验证：` ` 退出码 0，JSON 生成，9 项检查全 PASS」；`REVIEW_REPORT.md:3`「工具头注释 10 项检查逻辑保持不变。建议进 A2。」；`A2-05/EVIDENCE_I,python3 eng/tools/docs_machine_consistency.py,
66,66,artifacts/evidence/v6/qa-design/evidence/rc_summary.json,前台复验-20260924.md::V-23,前台复验-20260924.md,S1,S1,确认,成立（S1 两条：Oracle 自反 + 文档一致性步在不存在的路径上记 rc=0）,run_mutations.py:19; artifacts/evidence/v6/qa-design/evidence/rc_summary.json; run_mutations.py; qa_matrix.json,"确认 S1，但按上面订正拆档：(b) 独占 S1（发布文档一致性步零判别力 + 在册证据洗绿 + 真发布稿现处失同步态）； || [确认] (b) 确认（S1，并收口为""影子目录自比 + 发布稿实测已漂""），(a) 确认内核但降级 S2 且两处改写（同源族 5/35 而非 18/35；危害走 `case_ledger` 计数，不走""frozen 容差""）。修法在原报四条之上要加/改两条：①`build_case_ledger` 不得把恒真基线臂计入 `executed_cases`（或给 `qa_oracle` 的",,
67,67,artifacts/evidence/v6/qa-design/oracle/qa_oracle.py,复核-DRZ-前台自证-20260924.md::D-03,复核-DRZ-前台自证-20260924.md,S2,S2,确认,键集出现在三处「必须齐全」清单 ⇒ 裁任一侧都要与合同/生产/Oracle 同批改，不能只改一处,"artifacts/evidence/v6/qa-design/oracle/qa_oracle.py:506,:511 ;; eng/tests/integration/v6_p2/oracle/v6_p2_oracle.py:77 ;; eng/tests/integration/v6_p3/p3_v6_export_e2e_test.cpp:502","[确认] timeout 25 grep -n ""flux_conservation_factor"" qa_oracle.py v6_p2_oracle.py p3_v6_export_e2e_test.cpp → 506/511、77、502","timeout 25 grep -n ""flux_conservation_factor"" qa_oracle.py v6_p2_oracle.py p3_v6_export_e2e_test.cpp → 506/511、77、502",
68,68,c_delta_composition/map_test2.py,R5-29.md::G-29-01,R5-29.md,S2,S2,确认,"本批 15 个跟踪文件 0 判据：全部只 print，不具备""能红能绿""资格",.../c_delta_composition/map_test2.py:10,,,
69,69,checkpoints/round32_machine_consistency.json,R5-56.md::E-56-02,R5-56.md,S1,S2,降级,退出码一致性门读第二套退出码表，从不打开文档声明的唯一源 ⇒ 绿灯是错对象洗白,checkpoints/round32_machine_consistency.json:16-18; orchestrator.h; eng/tools/docs_machine_consistency.py:334-343; lib/infrastructure/pipeline/orchestrator/cpp/include/orchestrator.h:143-166; docs/arc,[降级] PYTHONUTF8=1 timeout 120 python -B eng/tools/docs_machine_consistency.py` → **rc=1**，其中,PYTHONUTF8=1 timeout 120 python -B eng/tools/docs_machine_consistency.py` → rc=1，其中,
70,70,common/crypto/sha256.cpp,R5-62.md::Q-62-16,R5-62.md,S2,S2,确认,cpp/Makefile 全部相对路径按移动前布局写死，模块现深两级 ⇒ 无法构建,PENDING.md; trace_replay.py; ../../common/crypto/sha256.cpp; lib/algorithms/shared/crypto/sha256.cpp,,,
