键,键族,语义路径样本,S1_defaults.json,S2_出厂模板,S3_CLI骨架,S4_合同schema,S5_代码兜底,S6_登记册
-force,-force,-force,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[""--events-jsonl"" ×1 (value(""k"",d)) @lib/infrastructure/cli/parser.cpp:40] @1 处 / 1 个位点（前 4: value(""k"",d)）；全量见 side5_位点.log","值[declared_default=null] @eng/packaging/config/config_registry.json#plugin_knobs[75] field=-force (doc docs/plugins/infrastructure/18_cli.md:44, module 18_cli, finding=none) [registered_at=docs/plugins/infrastructure/18_cli.md:39]"
-y,-y,-y,该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[declared_default=null] @eng/packaging/config/config_registry.json#plugin_knobs[74] field=-y (doc docs/plugins/infrastructure/18_cli.md:43, module 18_cli, finding=none) [registered_at=docs/plugins/infrastructure/18_cli.md:38]"
10_sampling#local_estimator,10_sampling#local_estimator,10_sampling#local_estimator,该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[declared_default=""robust_median""] @eng/packaging/config/config_registry.json#plugin_knobs[98] registered_key=10_sampling#local_estimator (doc docs/plugins/algorithms_phase2/10_sampling.md:71, module 10_sampling, finding=none) [registered_at=docs/plugins/algorithms_phase2/10_sampling.md:69]"
10_sampling#min_sky_samples,10_sampling#min_sky_samples,10_sampling#min_sky_samples,该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[declared_default=null] @eng/packaging/config/config_registry.json#plugin_knobs[97] registered_key=10_sampling#min_sky_samples (doc docs/plugins/algorithms_phase2/10_sampling.md:70, module 10_sampling, finding=none) [registered_at=docs/plugins/algorithms_phase2/10_sampling.md:68]"
10_sampling#sky_sample_spacing,10_sampling#sky_sample_spacing,10_sampling#sky_sample_spacing,该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[declared_default=null] @eng/packaging/config/config_registry.json#plugin_knobs[96] registered_key=10_sampling#sky_sample_spacing (doc docs/plugins/algorithms_phase2/10_sampling.md:67, module 10_sampling, finding=none) [registered_at=docs/plugins/algorithms_phase2/10_sampling.md:65]"
11_upm#bkg_model,11_upm#bkg_model,11_upm#bkg_model,该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[declared_default=""spline""] @eng/packaging/config/config_registry.json#plugin_knobs[99] registered_key=11_upm#bkg_model (doc docs/plugins/algorithms_phase2/11_upm.md:92, module 11_upm, finding=none) [registered_at=docs/plugins/algorithms_phase2/11_upm.md:90]"
11_upm#bkg_spline_spacing,11_upm#bkg_spline_spacing,11_upm#bkg_spline_spacing,该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[declared_default=null] @eng/packaging/config/config_registry.json#plugin_knobs[100] registered_key=11_upm#bkg_spline_spacing (doc docs/plugins/algorithms_phase2/11_upm.md:93, module 11_upm, finding=none) [registered_at=docs/plugins/algorithms_phase2/11_upm.md:91]"
11_upm#frame_gradient_order,11_upm#frame_gradient_order,11_upm#frame_gradient_order,该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[declared_default=""1""] @eng/packaging/config/config_registry.json#plugin_knobs[101] registered_key=11_upm#frame_gradient_order (doc docs/plugins/algorithms_phase2/11_upm.md:94, module 11_upm, finding=none) [registered_at=docs/plugins/algorithms_phase2/11_upm.md:92]"
11_upm#roughness_penalty,11_upm#roughness_penalty,11_upm#roughness_penalty,该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[declared_default=null] @eng/packaging/config/config_registry.json#plugin_knobs[102] registered_key=11_upm#roughness_penalty (doc docs/plugins/algorithms_phase2/11_upm.md:95, module 11_upm, finding=none) [registered_at=docs/plugins/algorithms_phase2/11_upm.md:93]"
19_runtime#cache_budget_mb,19_runtime#cache_budget_mb,19_runtime#cache_budget_mb,该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[declared_default=null] @eng/packaging/config/config_registry.json#plugin_knobs[103] registered_key=19_runtime#cache_budget_mb (doc docs/plugins/infrastructure/19_runtime.md:71, module 19_runtime, finding=none) [registered_at=docs/plugins/infrastructure/19_runtime.md:69]"
