ID|原类别|原优先级|旧判据(文档+节号/路径)|最新权威条款|当前证据(命令+输出)|结论|归属|GAP关系|备注
FD-G-001|G_GOV_GATE|P1|旧宪章 §1.1/§3.1/§8.1/§12.3-10/§14.1；旧根 AGENTS.md（78 行版）「单入口」要素|ASTROCS_DESIGN.md §6.1/§6.2：三个平级独立命令由唯一可执行入口提供，代码与命令名使用 normalize/mosaic/export；§0：本文与其他文档冲突以本文为准，Agent 无权放宽或重新解释|命令：timeout 60 grep -n "唯一正式入口" run/reaudit_v3/run001/A/AGENTS.md；timeout 60 git -c core.quotepath=false ls-files；timeout 90 find run -maxdepth 5 -name AGENTS.md；输出：179:.\toolchain.ps1 run <stage1.json>  # 运行 orchestrator（唯一正式入口） / git ls-files 全仓 agent 指令文件仅根 AGENTS.md（114 行）被跟踪 / find run 得 86 份 AGENTS.md，含 run/reaudit_v3/run001/A 与 B 各 207 行|OPEN|ROOT-003|无|工程控制/AstroCS_V7_MODULAR_REFOUNDATION_CONTROL_20260902_FINAL3/templates/AGENTS.md 锚已随目录删除，run/ 影子面 86 份仍在且对 CI 与 git ls-files 同时不可见。
FD-G-002|G_GOV_GATE|P1|旧根 AGENTS.md「目录规范（强制）」末段与「状态机」要素 R-05/R-13；旧宪章 §12.3-10/§14.5|ENGINEERING_SPEC §8：豁免必须显式登记且只减不增；docs/ci/01_CHECKS.md §1/§3：豁免显式登记、P0 红灯无豁免、只减不增|命令：timeout 60 python3 -c "import json;kf=json.load(open('ci/known_failures.json'));print([f['check_id'] for f in kf['failures']]);print(kf['removals'][0]['check_id'],kf['removals'][0]['removed_utc'])"；输出：['p1_noise_adapter'] / UT-CLI 2026-09-14T04:31:22Z / removals reason 逐字：tests/cli 已把 CLI/夹具子进程 cwd 统一落 run/test_cli_cwd，UT-CLI 由 FAIL(dirty) 转绿（干净检出 174 OK / 0 failures）|RESOLVED|CI-001|无|不再成立＝ci/known_failures.json failures 现仅 1 条且为 p1_noise_adapter，UT-CLI 已在 removals 显式登记移除，「checks.json waivable=false 与基线 expected=fail 并存」的矛盾对消失。
FD-G-004|G_GOV_GATE|P1|旧宪章 §10.2/§10.3/§12.3-10/§15.4；旧 AGENTS.md「状态机」要素（waiver 登记唯一入口）|ENGINEERING_SPEC §8：豁免必须显式登记且只减不增；docs/ci/01_CHECKS.md §1：豁免显式登记、每项检查能绿能红；§3：P0 红灯无豁免|命令：timeout 60 python3 -c "import json;d={c['id']:c for c in json.load(open('ci/checks.json'))['checks']};print([(i,d[i]['waivable']) for i in ['UT-CPU-AVX512','UT-CPU-BASELINE','UT-CPU-DISPATCH','UT-CPU-AVX2']])"；timeout 30 ls ci/exemptions.json；timeout 90 grep -rl "SKIPPED(waivable)" evidence；输出：[('UT-CPU-AVX512', False), ('UT-CPU-BASELINE', False), ('UT-CPU-DISPATCH', False), ('UT-CPU-AVX2', False)] / ls: 无法访问 'ci/exemptions.json': 没有那个文件或目录 / evidence 下 23 份文件含 SKIPPED(waivable)，含 v8_1_ci_control/.../UT-CPU-AVX512.log|OPEN|CI-001|无|豁免语义仍无单一事实源：配置层四项 waivable=false、证据层记 SKIPPED(waivable)、权威指定的 ci/exemptions.json 不存在。
M1a-G-001|G_GOV_GATE|P1|旧宪章 §4.3（产品 Manifest 至少记录…坐标 frame、像素/采样语义）/§12.3-15；SCI-P3-001 §3/§7.3|ASTROCS_DESIGN.md §9：manifest 至少记录 单位、坐标 frame、像素/采样语义、算法 ID、模块 build ID、实际 provider；§2：数据对象禁止互相冒充|命令：timeout 60 grep -c RADESYS lib/phase3_session/p3_output.cpp；timeout 120 grep -rn sampling_semantics lib cli docs contracts tests tools ci include modules providers runtime；输出：0（p3_output.cpp 只写 CUNIT1=deg 与 BUNIT，无 RADESYS/EQUINOX） / 仅 lib/healpix_db/healpix_drizzle/v6_drizzle_science.h:325 与一处 v6 单测命中，phase3 产品/manifest/inspect 面 0 命中 / p3_session.cpp:409-420 result JSON 键集无 frame 与采样语义键|OPEN|AIO-001|无|进程内端口描述符（module_adapters.cpp:670/688 UnitId::SURFACE_BRIGHTNESS+CoordinateFrame::PIXEL）仍未随产品落盘，最高设计 §9 两格仍缺。
M1a-G-002|G_GOV_GATE|P1|旧宪章 §12.3-9/§17.1/§18.1；AGENTS.md（合同与实现同步）；API-P3-001|ENGINEERING_SPEC §8：检查器覆盖「API 文档与 AST 一致」「删除/重命名无悬空引用」；ASTROCS_DESIGN.md §5.3：八投影 TAN/SIN/CAR/AIT/STG/MOL/CEA/ZEA 冻结|命令：timeout 60 grep -rn phase3_request docs contracts tests tools ci lib；timeout 30 ls contracts/schemas；输出：仅 docs/api/PHASE3_API_V1.md:16 引用 schemas/phase3_request_v1.schema.json（该文件全仓不存在） / contracts/schemas 仅 7 个 schema + unified 14 + v6 / tests/api/test_p3_api.py:16-31 全部为 assertIn 文本子串断言|OPEN|DATA-001|无|头部仍写「状态: FROZEN (V5 API-005, 2026-08-28)」，既未反映最高设计 §5.3 八投影也未反映请求 schema 缺失。
M2a-G-1|G_GOV_GATE|P1|旧宪章 §12.3（机器一致性检查清单须与 CI 一致）/§17.1；STD-REG-001 §5 自述|ENGINEERING_SPEC §8：ci/checks.json 是唯一检查注册表；docs/ci/01_CHECKS.md §1/§4：检查项须登记于 ci/checks.json 且能绿能红|命令：timeout 60 grep -c standards ci/checks.json；timeout 30 ls docs/standards/checks/check_standards_registry.py；timeout 30 ls tools/check_domain_interfaces.py；输出：0（145 项内 id 含 standard/registry 者仅 WORKFLOW-REGISTRY-BINDING） / check_standards_registry.py 在位 / ls: 无法访问 'tools/check_domain_interfaces.py': 没有那个文件或目录|OPEN|CI-001|无|原锚 tools/check_domain_interfaces.py::STANDARDS_PATH 已消失，检查器本体仍在但零 CI 执行面，注册表 §5:315 仍自陈未登记。
M2b-G-01|G_GOV_GATE|P1|旧宪章 §5.2/§6.2（HiPS 写出属 AIO，不为 Phase2 另起 writer）；旧路径 lib/hips 与 lib/hips_p2|ASTROCS_DESIGN.md §9：aio 是唯一 FITS/HiPS/manifest 读写边界，禁止各自复制 reader/writer；§7.1：HiPS/manifest/原子提交归属 lib/infrastructure/aio|命令：timeout 30 ls -d lib/infrastructure；timeout 60 grep -n add_library lib/hips/CMakeLists.txt；timeout 60 grep -n add_subdirectory..lib.hips CMakeLists.txt；输出：ls: 无法访问 'lib/infrastructure': 没有那个文件或目录 / 43:add_library(astrocs_p1_hips_writer SHARED / 208:add_subdirectory(lib/hips)|OPEN|AIO-001|与 GAP-013 重复|lib/hips_p2 仍只有 module.yaml/README/memory 三份文档（CONTRACT_READY、entrypoint MISSING），packaging/astrocs.product.json 已把 astrocs_p1_hips_writer.so 列为 required unit。
M2b-G-02|G_GOV_GATE|P1|旧宪章 §12.3/§1.2/§19/§17.11；STD-REG-001 §5（C1–C7 机器合同）与 check_standards_registry.py docstring C8|ENGINEERING_SPEC §8：唯一检查注册表 + 检查器覆盖；docs/ci/01_CHECKS.md §1/§4：登记与能绿能红；ASTROCS_DESIGN.md 附录B：外部标准与文献锚须落实|命令：timeout 60 grep -c check_standards_registry ci/checks.json；timeout 60 grep -c "check(.C8" docs/standards/checks/check_standards_registry.py；timeout 30 sed -n 315p docs/standards/STANDARDS_REGISTRY.md；输出：0 / 0（docstring:18 宣称 C8，实现集仅 C1–C7 共 27 处断言） / 315:> 当前 CI 检查项（ci/checks.json）尚未显式登记该命令|OPEN|CI-001|无|docstring 承诺的 C8「全域无偏差须显式登记（无）」零实现；附录B 外部标准清单无 Gaia/星表条目，catalog 域仍无最高设计锚。
M2b-G-03|G_GOV_GATE|P1|旧宪章 §1.1/§15.2（Windows 正式工具链冻结）/§3.3/§10.1；已归档控制包规格 V19R2 MASTER_CONTROL_SPEC §5|ENGINEERING_SPEC §1：C++17 双平台，MSVC v143（Windows）/GCC 或 Clang（Linux）；§8：活动文档无陈旧版本号/历史状态冒充|命令：timeout 30 sed -n 3p docs/standards/CODE_STANDARD.md；timeout 30 sed -n 7p docs/standards/CODE_STANDARD.md；timeout 30 sed -n 6p docs/standards/TEST_STANDARD.md；timeout 30 sed -n 45p docs/standards/COMMENT_STANDARD.md；输出：CODE_STANDARD.md:3 权威来源：V19R2 MASTER_CONTROL_SPEC §5；本文件为仓库内单一实现标准。 / CODE_STANDARD.md:7 - C++17（正式 toolchain：MSYS2 MinGW64 g++ 16.1.0）；RAII 优先。 / TEST_STANDARD.md:6 GPU 不可用时 GTEST_SKIP 而非伪通过；COMMENT_STANDARD.md:45 引 reports/v19r2/file_audit_inventory.csv|OPEN|DOC-001|无|L2 标准把权威来源指向已归档控制包规格并把 MinGW 写成正式工具链，与 ENGINEERING_SPEC §1 的 MSVC v143 冻结直接冲突。
M2b-G-04|G_GOV_GATE|P1|旧宪章 §12.3-1/-12/§14（第三方来源与许可登记）/§17.11/§19；旧路径 lib/common/healpix/THIRD_PARTY_NOTICE.md|ASTROCS_DESIGN.md 附录B：外部标准与文献锚须落实到论文节/式与项目推导差异；ENGINEERING_SPEC §8：删除/重命名无悬空引用|命令：timeout 60 grep -n -e "未迁移" -e "未复制" lib/common/healpix/THIRD_PARTY_NOTICE.md；timeout 60 grep -n "Healpix_3.83" lib/common/healpix/healpix_core.cpp；timeout 60 grep -n "https:// github" lib/common/healpix/healpix_core.cpp；输出：19:- 仅迁移 NESTED 排序所需路径, 未迁移 RING 排序与邻居查询; 22:- 未复制任何 GPL (Healpix_cxx / RELION) 代码进入生产树 / 338-339:邻居算法移植自官方 HEALPix C++ (Healpix_3.83, GPL-2+ 参考); 418:移植自 Healpix_3.83 query_disc_internal / 6:// https:// github.com/astrometry/astrometry.net（协议与主机名间含空格，断链）|OPEN|DOC-001|无|NOTICE「未迁移邻居查询/未复制 GPL」与实现注释「移植自 Healpix_3.83 GPL-2+ 参考」互斥，附断链 URL；只判登记事实不判法律定性。
