stage,entry_symbol,loop_symbol,complexity,history_wall,parallelism_mechanism,thread_owner,io_pattern,shared_state,production_reachable,test_id,call_chain,evidence
Calibration,ac_calibrate_frame / ac_calibrate_frame_f64 (lib/calibration/src/ac_api.cpp:92/:208),for(int i=0;i<n;i++) n=w*h — calibrator.cpp:127(f32 std)/:118(dark_opt=1)/:170(f64)/:161(f64 dark_opt=1),O(n_pixels) per-pixel subtract-divide flat; no nested loop,unknown,"module-internal OpenMP: #pragma omp parallel for schedule(static) calibrator.cpp:117/126(f32),160/169(f64); orchestrator layer serial DLL call","OpenMP runtime (calibration.dll); orchestrator sets via dll_loader_.set_num_threads(CALIBRATE,get_thread_count()) orchestrator.cpp:767",read XISF/FITS master via aio_read_xisf/aio_read_fits(orchestrator:832-835)+frame data block(in-memory)+header KV; write frame data block(aio_frame_add_block_move :1196)+cal_stats KV(:1218-1243); core calibrate no file IO,no shared mutable state/critical/atomic; each index writes out[i] independently,yes (stages[] orchestrator.cpp:5177; hard-fail if DLL missing :780),TEST-CAL-001 (lib/calibration/tests/test_photometry_apply.cpp:3),main->Orchestrator::run_stage1(orchestrator.cpp:4949)->run_v2_with_timing(:5064)->run_stage_calibrate(:776)->ac::calibrate/calibrate_d(ac_api.cpp:100/216->calibrator.cpp:104/147),"orchestrator.cpp:776,1121-1139,1193-1214; ac_api.cpp:92/208; calibrator.cpp:117/126/160/169,118/127/161/170"
PlateSolve,ipv_solve_from_detections_v1 (lib/plate_solve/cpp/ipv/src/ipv_entry.cpp:524),triangle gen for(i<n-2) for(j) for(k) ipv_triangle.cpp:203-205; vote matrix for(j<n_B) for(i<n_A) :310/:325,"make_vote_matrix O(C(N,3)^2)~O(N^6) (N=60/auto 20/40/60); triangle gen O(N^3); auto re-run(triangle_match:620); iter_trans order fallback(3->1), hi_order_rematch 5x(:1279)",unknown,"ipv.dll internal OpenMP: stars_to_triangles #pragma omp parallel(:195)+omp for schedule(dynamic)(:202); make_vote_matrix omp parallel(:301)+omp for schedule(dynamic,64)(:309)+merge collapse(2)(:361); orchestrator serial","OpenMP runtime (ipv.dll) omp_get_max_threads() (no set_num_threads interface, orchestrator:765); select/iter_trans/reproject/refine/extract single-thread",read star_measurements/star_det/data(size only)/header KV(OBJCTRA/OBJCTDEC/FOCALLEN/XPIXSZ)(:1812-1916); write header KV WCS+SIP(:1997-2048); no FITS disk IO,"per-thread local triangles/vote matrix, serial merge after loop(ipv_triangle.cpp:219-226/:360-371); no atomic",yes (stages[] :5181; needs init_platesolve_env(:1519) gaia_client/star_detector DLL + gaia_data_dir),TEST-IPV-001 (lib/plate_solve/cpp/ipv/test/test_synthetic.cpp:3),main->run_stage1->run_v2_with_timing->run_stage_platesolve(:1758)->ipv_solve_from_detections_v1(ipv_entry.cpp:524)->IPVSolver::solve_from_detections_v1(ipv_solver.cpp:1389)->ipv_select_from_detections+solve_post_select(:1130)->triangle_match(ipv_triangle.cpp:595)[stars_to_triangles:175+make_vote_matrix:268]->iter_trans_solve->iterative_reproject->at_match_lists/at_recalc_trans->robust_refine_wcs->extract_wcs_sip,"orchestrator.cpp:1758,1967-1972; ipv_entry.cpp:524; ipv_solver.cpp:1389/1130/1147/1192/1279; ipv_triangle.cpp:202-205/309-325/361"
Photometric,pc_calibrate_simple_with_gaia_v2 / _f64_v2 (lib/photometric_calib/cpp/src/pc_api.cpp:1048/:1084),F_syn for(i<n_gaia) pc_api.cpp:932(omp); image correction for(i<total) 1026(omp); KD-tree query star_matcher.cpp:235/271 + for(g<n_gaia) 288; IRLS for(iter<MAX) 494,cone search(DB)+F_syn O(n_gaia x spec_stride)+KD-tree O(nlogn)+match O(n_psf logn)+cleanAndScale O(n_matches x iter)+image scale O(w*h),unknown,"photometric_calib.dll internal OpenMP: F_syn #pragma omp parallel for schedule(dynamic,64) reduction(+:n_valid_fsyn) pc_api.cpp:931; image scale #pragma omp parallel for schedule(static) :1025; StarMatcher match/clean serial","OpenMP runtime (photometric_calib.dll) omp_get_max_threads() (no set_num_threads, orchestrator:765); StarMatcher single-thread",read gaia cone search(spectral DB)+filters.json/QE+frame data/psf/star_measurements blocks+header WCS/SIP; write frame data block(scaled)+photometric_match block(:2879)+photo_stats KV(:2903-2926)+header PHOTSCAL/PHOTAPPL(:2931); no FITS disk IO,reduction(+:n_valid_fsyn) :931; others index-independent write out_pixels; match_records held by caller; no atomic,yes (stages[] :5182; reuses platesolve_env_ready_ gaia_client),TEST-SPEC-001 (test_spectrum_integrator.cpp:2),main->run_stage1->run_v2_with_timing->run_stage_photometric(:2474)->pc_calibrate_simple_with_gaia[_f64]_v2->run_with_gaia_impl<T>(:754)->gaia_client_cone_search_with_spectrum(:842)->prepare_filter_cache+compute_f_syn_cached_xpsd->StarMatcher::matchWithKdTree(star_matcher.cpp:185)->cleanAndScale(:378)->image correction,"orchestrator.cpp:2474,2737-2752/2812-2827; pc_api.cpp:754/842/931/969/1025; star_matcher.cpp:185/378/494"
Drizzle,hp_drizzle_run_hips (lib/healpix_db/healpix_drizzle/hp_drizzle_api.cpp:1166) -> DrizzleEngine::drizzleTiled[_f64] (drizzle_engine.cpp:1891/:1905),"#pragma omp parallel for schedule(static) num_threads(...) for for(y<img.height) drizzle_engine.cpp:1664/1666, inner for(x<img.width) :1700",O(H x W) source pixels x per-pixel HEALPix overlap/geometry workload(spherical_overlap); thread merge O(threads x touched),scaled synthetic 256x256 -> 1076 out px -> wall 0.456s (V2 perf anchor),"drizzle.dll internal OpenMP: #pragma omp parallel for schedule(static) num_threads(num_threads) reduction(+:nSourcePixels,..) :1664; num_threads=config.threads>0?config.threads:omp_get_max_threads()(:1636); per-thread tileMap(threadTiles[tid]), merge after loop(:1753); orchestrator serial",OpenMP runtime (drizzle.dll); config.threads not set in hp_drizzle_api.cpp (actual=0) -> omp_get_max_threads() all cores; per-thread threadTiles + thread_local vertex cache,"read frame data block(+snr_model/variance block,in-memory)+header KV(WCS/SIP/PHOTSCAL)(:424-601); write accumulated tiles (in-memory vector); no per-pixel disk IO in this stage",per-thread unordered_map TileAccumulatorT(:1639) merge(:1753-1769); static std::atomic<uint64_t> s_target_cache_gen(:1653); thread_local vertex cache(:1676-1678); reduction vars; drizzle_trace(gated); no data race in hot loop,yes (stages[] :5185; but HiPS direct write needs nside>=512 and tile_depth=9 astro_sphere_sink.cpp:36-44),TEST-DRZ-CAND-001 (candidate_oracle_test.cpp:13); TEST-DRZ-VAR-001 (variance_propagation_test.cpp:5),main->run_stage1->run_v2_with_timing->run_stage_drizzle(:3237)->hp_drizzle_run_hips(:1166)->run_drizzle_internal(:364)->drizzleTiled[_f64]->drizzleTiledImpl<T>(:1554)->processPixelSharedTiled/processPixelTiled(spherical_overlap.cpp),"orchestrator.cpp:3237,3361-3365; hp_drizzle_api.cpp:1166/364/871; drizzle_engine.cpp:1554/1636/1664/1666/1700/1753"
SNR,snr_extract_model_v3 (lib/snr_estimator/cpp/src/snr_estimator.cpp:710) + snr_noise_model_v1[_f64] + snr_noise_model_v1_fill (noise_model.cpp:348/357/422),"snr_extract_model_v3 serial for(i<n_stars) snr_estimator.cpp:752/787/800; noise_model_impl serial for(py<gy) for(px<gx) noise_model.cpp:179-182, mask for(i<n_stars) for(dy) for(dx) :148-163; fill_impl serial for(y<h) for(x<w) :399-400 / for(i<h*w) :413",extract O(n_stars); noise_model O(gx x gy patches x patch samples)+fill O(h x w); dominant fill O(w x h) serial,unknown,production path SERIAL. snr_estimate (full-frame IDW) omp parallel for(:65/:82/:130/:145/:164/:234/:251/:296/:311/:330) is NON-production; orchestrator only calls extract_v3+noise_model/fill (no omp). noise_model.cpp has NO #pragma omp,orchestrator/main thread (serial); path functions no OpenMP; variance/ivar vectors allocated orchestrator-side(:4662-4664),"read frame psf/star_measurements/photometric_match/data blocks(in-memory)+header KV(CRVAL/CRPIX/CD/SIP/GAIN/READNOI); write snr_model block(RAW:4510-4574), variance/ivar blocks(:4672/:4690-), photo_stats KV; no disk IO","noise_model.cpp g_model_floor (std::map :126/:403) module-level shared registry(model ptr key), fill_impl read-only query; single-thread no race; no atomic","yes (stages[] :5183; extract_v3 required, snr_noise_model optional/degrade:4598-4604)",TEST-SNR-001 (noise_model_science_test.cpp:5),main->run_stage1->run_v2_with_timing->run_stage_snr(:4181)->snr_extract_model_v3(:710)+snr_noise_model_v1[_f64](noise_model_impl)+snr_noise_model_v1_fill(:422->fill_impl:371),"orchestrator.cpp:4181,4421-4424,4642-4653,4664; snr_estimator.cpp:710/752/787/800; noise_model.cpp:348/357/371/179-182/399-400/413"
HiPS_write(stage1),write_hips_direct<T> (lib/healpix_db/healpix_drizzle/astro_sphere_sink.cpp:26) -> aio_hips_* (lib/astro_image_io/src/hips/aio_hips_writer.cpp:386/424/571/684/1018),"for(const auto& tile : tiles)(per-tile) astro_sphere_sink.cpp:88, inner for(uint32_t local : tile.touched) :95; aio_hips_writer per-leaf for(size_t i=0;i<n;i++) :463/:544/:603; MOC for(uint64_t c : moc_cells) :783",O(n_tiles x n_leaf[512x512]) transform/fill + O(n_leaf) CFITSIO write per tile; MOC write O(cells); IO-bound,unknown,SERIAL. aio_hips_writer.cpp no #pragma omp; per-tile sequential write(signal->support->variance->snr->finalize); drizzle parallel done in Drizzle stage,orchestrator/main thread (serial); CFITSIO single-thread write; AioHipsProductSet state accumulated across calls single-thread,read tiles(in-memory accum)+frame blocks+header KV->fits_meta; write HiPS product set to disk: signal/support/variance FITS per tile(tile_width=512)+MOC(Cells)+properties/manifest+SNR catalogue; heavy disk write(fits_write_pix),"AioHipsProductSet* ps(single handle) holds moc_cells/tile metadata/product state, serial accumulation; g_model_floor not on this path; no atomic/data race","yes (run_stage_drizzle(:5185) via hp_drizzle_run_hips write_hips=true; precondition nside>=512 and tile_depth=9 astro_sphere_sink.cpp:36-44, PHOTOMETRIC applied photscal>0 :884; legacy_hiss_compare=true writes .hiss)",no explicit TEST-HIPS-### ID; hips_direct_smoke.py / hips_sanitize_driver.cpp(HIPS_SANITIZE_OK),main->run_stage1->run_v2_with_timing->run_stage_drizzle(:3237)->hp_drizzle_run_hips(:1166)->run_drizzle_internal(write_hips=true :1043-1064)->write_hips_direct<float/double>(:26)->aio_hips_product_begin/write_signal_support_tile/write_variance_tile/write_snr_points/finalize(CFITSIO),orchestrator.cpp:3361-3365; hp_drizzle_api.cpp:1043-1064/1166; astro_sphere_sink.cpp:26/36-44/88/95/115; aio_hips_writer.cpp:386/424/463/544/603/571/684/1018
Coverage,p2_coverage_build (coverage.cpp:141),inspect_frame tile for(i<n) coverage.cpp:129; p2_coverage_build frame for(i<n_inputs) coverage.cpp:161; MOC union coverage.cpp:203-208,O(sum frames x tiles) + union sort dedup; probe/fill double-read,unknown (no per-loop timing; only stage mark 'coverage'),serial; no omp pragma; unaffected by P2_ENABLE_OPENMP (default OFF),single main thread,"per-frame sync AIO read: open+get_properties+tile_ipix (Moc.fits), cfitsio sync, not async","local vector frame_tiles/infos, filter_ref/target_order; no critical/atomic; no global critical(aio_read)",yes (stage2.cpp:175/181),Phase2Coverage.RealHipsUnion / FilterMismatchRejected,"main(stage2.cpp:105)->p2_coverage_build(stage2.cpp:175,181)->inspect_frame(coverage.cpp:56)->aio_hips_open/get_properties/tile_ipix","coverage.cpp:141,58,129,161,203; stage2.cpp:175,181"
Sampler,p2_sample_controls_cached (sampler.cpp:1115) -> p2_sample_controls_impl (sampler.cpp:452),main for(c<n_union) sampler.cpp:668; grid for(gy/gx) 714-715; patch for(dy/dx) 767; bg clip for(it) 815; DBE for(ci<cells) 936; pass3 for(ci<cells) 989,"O(n_union x grid^2 x frames x patch(2r+1)^2 x clip_iters x median); serial, heaviest stage",unknown (progress prints cumulative elapsed),serial; code comment 'hotfix: serial' sampler.cpp:618-620; P2_ENABLE_OPENMP only omp.h guard 30-31 + CMake option OFF; NO #pragma omp -> virtual-parallel decorative macro,single main thread,per union-tile per frame sync read signal+support (read_tile_pair sampler.cpp:705); per control-obs sync read ivar leaf (1028); not async; tile-level reuse,"cells, stats, sum_catalog_veto, sum_insufficient_support, frame_snr_med, snr_idx; single-thread writes; no critical/atomic; no global critical(aio_read)","yes (stage2.cpp:259,286)",Phase2Sampler.RealHipsControlSampling / G6LocalSnrAvailabilityThreeZones / G1StatisticsCorrectness,"main->p2_sample_controls_cached(stage2.cpp:259,286)->p2_sample_controls_impl->read_tile_pair(sampler.cpp:157)->aio_hips_read_tile_f32(167-170); snr_idx.query","sampler.cpp:452,668,705,767,936,618-620,30-31"
UPM_build,p2_upm_build_geo (upm.cpp:749) -> build_impl (upm.cpp:210),"obs for(i<n_obs) upm.cpp:293; CC BFS while(!stack.empty()) upm.cpp:437,477; boundary O(B^2) upm.cpp:391-393",O(n_obs + K*adj + B^2 + F); model hash O(F*K) upm.cpp:728,unknown (mark 'upm_fit'),serial; no omp pragma; CC BFS single-threaded stack,single main thread,no file IO (in-memory; consumes sampler obs/nodes); input manifest SHA256 pure compute,local Model m controls/C(obs_w)/adj/cell_index/component; no critical/atomic; no global critical(aio_read),yes (stage2.cpp:412),Phase2Upm.S0IdentityCalibrationNoChange / S1KnownAdditiveFieldRecovered / G2PersistenceAndHashSensitivity,main->p2_upm_build_geo(stage2.cpp:412)->build_impl->add_control+frame-idx+adj->CC BFS + geometry CC BFS,"upm.cpp:210,293,430,471,728"
UPM_solve,build_impl Huber IRLS coordinate-descent (upm.cpp:490-688),IRLS for(iter<max_iter) upm.cpp:566; compute_raw for(i<n_obs) 508; M update for(k<K) 595; C update for(kv frame_index) 642; cg_solve_frame CG for(s<max_cg) 537 + inner for(k<K) 540-562,"O(max_iter x (n_obs + F x max_cg x K x adj_deg)); max_cg=200, K=controls, F=frames; CG all-K, heaviest; fully serial",unknown (mark 'upm_fit'); note: Phase2Upm.G2PersistenceAndHashSensitivity 13.7MiB round-trip wall 30.69s user 30.22s %CPU99% RSS366.6MB (single-thread reference),"serial; no omp pragma; no thread pool; per-frame CG serial, no inter-frame parallel",single main thread,no file IO (in-memory linear algebra),"raw_w/w, M(K), m->C(F*K), m->obs_w, max_dM/max_dC; single-thread local; no critical/atomic",yes (stage2.cpp:412-425),Phase2Upm.S2LowSnrDoesNotPullHighSnr / G1SpatialFieldTruth / G4BoundaryAndPerturbation,main->p2_upm_build_geo->build_impl->IRLS:compute_raw->M update->C update(cg_solve_frame)->objective,"upm.cpp:566,508,595,642,669,537,687"
