ID	原类别	原优先级	producer	文件	行	标题	旧位置字段	旧证据字段	旧条款字段	fix_state	verified_state
M4-C-06	C_DOC_CODE_GAP	P1	M4	问题扫描/findings/C_DOC_CODE_GAP/p1/M4_L08_L09.md	37	排异非有限值语义：SCI「INVALID_* hard fail」vs 实现静默剔除/不检查 weights；oracle 测试走 compat 路径掩盖生产语义	34,61,87；docs/algorithms/REJECTION_ALGORITHMS.md:50；lib/phase2/src/rejection.cpp::gather（复核时点 :1183-1198）、p2_reject_stack_ex 入口判据（:1710-1718）、RCR weights 消费（:1783-1796）、compat has_nonfinite 通道（:1955-1974）；docs/algorithms/PHASE2_REJECTION.md:199-204；lib/phase2/tools/rejection_oracle_compare.py:250-262	- `support/weights` 有限性在资格层校验，非有限 ⇒ `INVALID_INPUT` hard fail。 / if (!std::isfinite(v)) { ++out->invalid_finite; ok = false; } / values，全程不检查 weights）	宪章 §4.1（无效值语义必须明确）、§6.3；SCI-REJ-001 §4/§8；PHASE2_REJECTION §5 F2/§9（实现锚）	OPEN	
M4-C-07	C_DOC_CODE_GAP	P1	M4	问题扫描/findings/C_DOC_CODE_GAP/p1/M4_L08_L09.md	54	双份 reject/integrate/write 实现语义分叉，四份 slice ALG 权威面整体锚定已退出生产的 stage2 工具（根因合并条目）	9（「唯一权威生产源」）vs 同文件 :497-499（自认 LEG-004）；docs/contracts/PUBLIC_API.md:54 vs :1116；lib/phase2/tools/stage2.cpp（复核 1762 行量级）：产品集（复核时点 :592-594 仅 SIGNAL|SUPPORT）、fallback（M4-C-03）、mode0（:1136/:1396）；lib/core/src/module_adapters.cpp 节点链：产品面（:3533-3534 op 注释含 variance/ivar）、variance/ivar 校验（复核时点 :4053-4066）、mode0 拒（:3567-3570）、fail-closed（:3786-3789）；PHASE2_REJECTION.md:390-417(§6)、PHASE2_INTEGRATION.md	实现源（唯一权威生产源）: lib/phase2/tools/stage2.cpp（1762 行实测；入口 main :112）。	宪章 §6.1（Phase2 输出含 variance/ivar 与 rejection 产品）、§6.2（七节点=不同算法符号）、§8.3（禁各自复制 reader/writer）、§12.3-3	OPEN	
M5a-C-001	C_DOC_CODE_GAP	P1	M5a	问题扫描/findings/C_DOC_CODE_GAP/p1/M5a_L11.md	5	--cpu-profile 在三个 phaseN run 路径被解析但从不消费，ISA 与 workers 未按 profile 决定	:kAllowedFlags`（:52、:56、:60 三处 phaseN run 允许 `--cpu-profile`）与 `::usage`（:82、:86、:90） ；`cli/commands.cpp::cmd_show_effective`（:160-187，全仓唯一消费点；:175 `route_kernel_from_profile`） ；`cli/commands.cpp::run_with_resource_gate / cmd_phase1_run / cmd_phase2_run / cmd_phase3_run`（:1050、:1227、:1612 `const uint32_t budget = cli_affinity_cpu_count();`） ；`lib/core/src/module_adapters.cpp::节点执行`（:381、:387、:4190	"{""phase1 run"",                  {""--config"", ""--cpu-profile"", ""--events-jsonl"", ""--resource-detail""}}, / if (p.values.count(""--cpu-profile"")) { / rc = validate_cpu_profile(p.values.at(""--cpu-profile""), &prof); / astrocs::backend_host::route_kernel_from_profile( / const uint32_t budget = cli_affinity"	宪章 §10.3（`astrocs benchmark cpu` 生成 cpu_profile，ISA 与并行度由 profile 决定；无 profile 才走 baseline + 动态并行度）、§11（trace 必须记录实际 provider/workers）、§12.3-1/-7；AGENTS.md「无硬编码」映射行	OPEN	
M5a-C-002	C_DOC_CODE_GAP	P1	M5a	问题扫描/findings/C_DOC_CODE_GAP/p1/M5a_L11.md	29	FROZEN 的 EXECUTION_MODEL 并发表与代码相反：OpenMP 16、P2_ENABLE_OPENMP、sampler 串行、异步刷盘	:§1 串/并行分层`（:9 Stage1 calibrate 行、:10 Stage1 drizzle 行、:11 Stage2 sampler 行、:12 UPM 行、:14 ACR Dispatcher 行）与 `::§2`（:22 HiPS write async、:23 HiPS read serial/critical、:24 ACR H2D/D2H） ；`docs/architecture/THREADING_MODEL.md::确定性锚点`（:21「串行（hotfix 后无任何 OpenMP parallel region）」） ；实现：`lib/phase2/src/sampler.cpp::第一遍并行`（:880-891 `const int workers = (cfg.cpu_workers > 0) ? cfg.cpu_workers : 1;` + `std::	| Stage1 calibrate | calibrator thread | per-tile OpenMP | 16 | OpenMP parallel for | tile barrier | `calibrator.cpp: OpenMP 16` | / | Stage2 sampler | stage2 main | per-control-cell (64 per tile) | n_threads if P2_ENABLE_OPENMP ON else 1 | OpenMP or serial | cell barrier  / - Phase2 sampler：`lib/ph	19；ALG 侧权威：`docs/algorithms/PHASE2_SAMPLER.md:293-296`（已订正为 std::thread 唯一并行路径）与 `docs/algorithms/PHASE2_UPM_IMPL.md:400`（DISP-P2UPM-002）	OPEN	
M5a-C-003	C_DOC_CODE_GAP	P1	M5a	问题扫描/findings/C_DOC_CODE_GAP/p1/M5a_L11.md	54	宪章 §10.5 必采的 PSS/每线程 CPU/I/O wait 未采集，资源工件名与 §11 清单两套且未登记偏差	:ProcSample::pss_bytes`（:70 注释声明来源 `/proc/self/smaps_rollup`；复算 Linux 采样只读 `/proc/self/{status,io,stat}`，全文件无该读取） ；`cli/resource_recorder.h::ResRecord`（:43 pss、:48-50 queue_depth/lock_wait_ns/progress）与 `::write_all`（:222-224 CSV 表头、:242-243 JSON 名） ；`cli/commands.cpp::run_with_resource_gate`（:858-943 GateConfig 填充段：无 iowait/mem_bandwidth/one_worker_ns/io_bytes/progress_stalled 赋值） ；`cli/resource_	"uint64_t pss_bytes = 0;        // /proc/self/smaps_rollup Pss(可得时) / ""runnable_workers,rss_bytes,pss_bytes,commit_bytes,page_faults,"" / ""read_bytes,write_bytes,queue_depth,lock_wait_ns,progress"""	宪章 §10.5（自动记录进程/线程 CPU、**每线程 CPU**、RSS/**PSS**、内存增长、读写字节、**I/O wait**、work units、**队列深度**、**worker 均衡**、进度和墙钟）、§11（工件名 + 「禁止把计划值伪装成实际值」）、§12.3-1	OPEN	
M5a-C-004	C_DOC_CODE_GAP	P1	M5a	问题扫描/findings/C_DOC_CODE_GAP/p1/M5a_L11.md	78	ARCH 文档称变体 Oracle 与 Python 参考比对，实为两个生产 provider 互比，独立性仅靠援引未做误差合成	:§2 变体注册`（:73） ；`tests/cpu/avx2/run_provider_avx2_checks.py`（:10-16 方法自述、:54 TOL、:170-172 判定） ；`tests/cpu/avx2/provider_avx2_oracle_main.cpp`（:3-12 文件头自述「dlopen 两个独立 provider .so」「baseline 对照容差」） ；`docs/architecture/cpu/CPU_003_AVX2_PROVIDER.md`（:24、:112-118 容差式与「与 CPU-002 同规」） ；`docs/standards/NUMERIC_STANDARD.md:17`（fp32 路径与 fp64 等价性测试）；宪章 §13.1（不调用生产实现的独立 Oracle）与 §12.3 末段	"- variant Oracle: 与 baseline 同公式同序(共享源)→输出允许 FMA 舍入差(容差 2e-4 相对, 与 Python 参考比对); 值语义不变。 / 5. baseline 对照容差: 两热点 avx2 vs baseline 同输入输出 相对差 ≤ 2e-4 / (ALG oracle 同规; baseline 已与 f64 参考一致 CPU-002); / # 2c. baseline 对照容差 (相对 2e-4; FMA 舍入差记录) / if op[""rel""] is None or op[""rel""] > TOL:"	17	OPEN	
M5b-C-03	C_DOC_CODE_GAP	P1	M5b	问题扫描/findings/C_DOC_CODE_GAP/p1/M5b_L12_L17.md	3	顶层幽灵命令 drizzle 在分发表却不在 help 与冻结命令树；未接线用 ARGS(2) 表达；诊断指向已删选项	:kRules`（现 :61）；`cli/parser.cpp::kHelp`（现 :66-92，无 drizzle）；`cli/commands.cpp::dispatch`（现 :2451）；`cli/commands.cpp::cmd_drizzle`（现 :1835-1841）；`cli/commands.cpp::cmd_stub`（现 :216-222）；`docs/api/CLI_PROTOCOL_V1.md::§1`（现 :6-21，无 drizzle）；`docs/contracts/ARCH-001.md::§7 LEG-001`（现 :83）；`cli/runtime_client.cpp::（--phases 文案）`（现 :47）；`docs/standards/ERROR_HANDLING_STANDARD.md`（现 :5-9）	"{""drizzle"",                     {""--config"", ""--events-jsonl"", ""--nside"", ""--pixfrac""}}, / int cmd_drizzle(const Parsed& p, astrocs::JsonlEmitter& ev) { / ev.emit_final(astrocs::ARGS, ""test_preset_only"", nullptr, / ""drizzle 命令仅支持测试 preset：请用 'astrocs test synthetic --group drizzle'""); / | CLI drizzl"	6-21`（冻结命令树）；`cli/exit_codes.h:9`（`ARGS = 2 // CLI 参数或配置错误`）	OPEN	STILL-SUBITEM-EXPIRED
M5b-C-04	C_DOC_CODE_GAP	P1	M5b	问题扫描/findings/C_DOC_CODE_GAP/p1/M5b_L12_L17.md	19	实例生命周期合同要求的并发语义与 double-destroy 报错在实现中不存在，且检测本身读已释放内存	:（状态机/并发规则/错误映射）`（现 :37、:44-49、:70-73）；`include/astrocs/abi/module_api_v1.h::（destroy 签名 / request_cancel 注释 / phase 字段）`（现 :48、:101-107）；`lib/calibration/src/module_entry.cpp::cal_inst::state`（现 :612-613）、`::cal_execute`（现 :1335、:1389）、`::cal_inspect`（现 :1424-1427）、`::cal_request_cancel`（现 :1444-1445）、`::cal_destroy`（现 :1454-1464）；同族 `lib/cosmetic/src/module_entry.cpp`（现 :523-524、:1224-1226）、`lib	*   - 同一实例: execute 之间互斥…；inspect 可并发（const 只读诊断）; request_cancel 可并发（原子置位） / - 调用时序/状态违例（含 execute 期间 destroy、destroy 后访问、double destroy 检测）→ ACS_ERR_STATE + … / int                    state;      /* ACS_LC_STATE_* */ / volatile int32_t       cancel_req; / if (inst->state == ACS_LC_STATE_DESTROYED)	宪章 §8.6（C ABI 边界、所有权与失败语义）、§9、§11（不得吞错继续产出看似成功的产品）、§13.2；`docs/architecture/abi/ABI_002_MODULE_ABI.md`	OPEN	
M5b-C-05	C_DOC_CODE_GAP	P1	M5b	问题扫描/findings/C_DOC_CODE_GAP/p1/M5b_L12_L17.md	37	退出码在合同文档/C++ 唯一源/Runtime 映射三处互不覆盖，文档还规范化了已废弃的 orchestrator 码表	:编排退出码`（现 :22-34）；`docs/architecture/ERROR_MODEL.md::V19R3 修正记录`（现 :41-44）；`cli/exit_codes.h::ExitCode`（现 :7-19）；`cli/runtime_client.cpp::exit_code_from_error`（现 :373 注释、:393 `case RESOURCE: return 5;`）；`ci/checks.json`（`docs_machine_consistency` 命中数 0）；`tools/docs_machine_consistency.py::main`（现 :178 `return 0 if pass else 1`）；`tools/check_api_docs.py::EXIT_NAMES`（现 :27）	SUCCESS=0  GENERIC_ERROR=1  DLL_LOAD_FAILED=2  BLOCK_MISSING=3 / CALIBRATE_FAILED=4  PLATESOLVE_FAILED=5  DRIZZLE_FAILED=6 / CONFIG_ERROR=7  FILE_IO_ERROR=8  TIMEOUT=9  CANCELLED=10 / RESOURCE      = 10,  // 资源利用率或内存增长门禁失败 / case astrocs::core::ErrorDomain::RESOURCE: return 5;	宪章 §8.1（稳定退出码）、§11（统一状态码 + 结构化诊断传播）、§12.3-1/-9/-10	OPEN	
M5b-C-06	C_DOC_CODE_GAP	P1	M5b	问题扫描/findings/C_DOC_CODE_GAP/p1/M5b_L12_L17.md	52	"run manifest 的 provider 字段为常量 ""baseline""、started/finished 取同一秒，provenance 与墙钟交叉核对失效"	:（4 处常量 provider）`（现 :4214、:4384、:5128、:5333；对照 :5213 唯一读实际值处）；`lib/core/src/module_adapters.cpp::（P1 节点 manifest 身份）`（现 :5471-5479 段与 module_build_id 拼接处）；`cli/commands.cpp::write_run_manifest`（现 :430-431）；`cli/jsonl.h::iso8601_utc_now`（现 :19-32，秒级）；`cli/commands.cpp::build_run_provenance`（现 :340-401）	"{""provider"", ""baseline""}}; / {""provider"", wr.value(""provider"", std::string())}}; / {""started_utc"", astrocs::iso8601_utc_now()}, / {""finished_utc"", astrocs::iso8601_utc_now()},"	宪章 §4.3（产品 manifest 与 trace 须可交叉核对）、§11（禁止把计划值伪装成实际值；trace 必须记录 provider/workers/耗时等）、§10.3、§13.3	OPEN	
