requirement_id,requirement,task_id,test_id,status
SYS-001,原始 FITS 经 Stage 1 生成可验证 HISS,P05-008,T4-STAGE1-E2E,OPEN
SYS-002,多帧 HISS 经 Stage 2 生成可验证 HCSD,P06-010,T4-STAGE2-E2E,OPEN
DATA-001,PipelineFrame 块 schema 版本化,P02-002,T2-BLOCK-CONTRACT,OPEN
DATA-002,HISS 支持稀疏 SNR 且兼容旧格式,P02-003,T2-HISS-COMPAT,OPEN
DATA-003,HCSD 子叶索引在边界 nside 正确,P02-004,T2-HCSD-LEAF,OPEN
INT-001,跨 DLL 内存必须由分配模块释放,P03-002,T2-ABI-MEMORY,OPEN
INT-002,配置文件每个字段均校验并实际生效,P03-005,T2-CONFIG-EFFECT,OPEN
ST1-001,CALIBRATE 不得静默退化,P05-002,T4-CAL-DEGRADE,OPEN
ST1-002,Stage 1 数据全程保持受控浮点精度,P05-004,T3-FLOAT-CHAIN,OPEN
ST2-001,无梯度相同输入叠加保持不变,P06-003,T4-S2-IDENTITY,OPEN
ST2-002,球面梯度校正降低接缝且不系统改变星体通量,P06-008,T4-S2-SEAM-FLUX,OPEN
ST2-003,SNR² 权重符合理论关系,P06-005,T4-S2-WEIGHT,OPEN
ST2-004,Winsorized 参数在所有路径生效,P06-006,T4-S2-WINSOR,OPEN
OPS-001,所有 Python 外部进程有明确超时,P04-001,T0-TIMEOUT-SCAN,OPEN
REL-001,发布可在干净环境重建,P08-003,T6-CLEAN-REBUILD,OPEN
