path,type,shipping_target,module,production_or_test,loc,owner_doc,science_ids,algorithm_ids,api_ids,review_status,findings_p0,findings_p1,findings_p2,findings_p3,dead,duplicate,legacy,comment_hygiene,ownership_ok,thread_ok,error_ok,numeric_ok,performance_ok,tests_ok,docs_ok,reviewer_round
.clang-format,root,no,root,doc,436,docs/,,,,V19R3-FRESH-VERIFIED,0,0,0,0,,,yes,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,V19R3-FRESH
.editorconfig,root,no,root,doc,264,docs/,,,,V19R3-FRESH-VERIFIED,0,0,0,0,,,yes,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,V19R3-FRESH
.gitattributes,root,no,root,doc,409,docs/,,,,V19R3-FRESH-VERIFIED,0,0,0,0,,,yes,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,V19R3-FRESH
.gitignore,root,no,root,doc,1938,docs/,,,,V19R3-FRESH-VERIFIED,0,0,0,0,,,yes,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,V19R3-FRESH
AGENTS.md,root,no,root,doc,11862,docs/,,,,V19R3-FRESH-VERIFIED,0,0,0,0,,,yes,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,V19R3-FRESH
CHANGELOG.md,root,no,root,doc,3571,docs/,,,,V19R3-FRESH-VERIFIED,0,0,0,0,,,yes,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,V19R3-FRESH
HANDOVER.md,root,no,root,doc,4017,docs/,,,,V19R3-FRESH-VERIFIED,0,0,0,0,,,yes,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,V19R3-FRESH
README.md,root,no,root,doc,2341,docs/,,,,V19R3-FRESH-VERIFIED,0,0,0,0,,,yes,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,V19R3-FRESH
VISUAL_CHECK_README.md,root,no,root,doc,2271,docs/,,,,V19R3-FRESH-VERIFIED,0,0,0,0,,,yes,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,V19R3-FRESH
docs/DEVELOPER_GUIDE.md,doc,no,docs,doc,1389,docs/,,,,V19R3-FRESH-VERIFIED,0,0,0,0,,,yes,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,V19R3-FRESH
docs/KNOWN_LIMITATIONS.md,doc,no,docs,doc,937,docs/,,,,V19R3-FRESH-VERIFIED,0,0,0,0,,,yes,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,V19R3-FRESH
docs/README-DOCS.md,doc,no,docs,doc,1171,docs/,,,,V19R3-FRESH-VERIFIED,0,0,0,0,,,yes,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,V19R3-FRESH
