"对象","类别","四档定位","引用面计数","是否被某条门或合同引用","处置","连带改动","风险","置信"
"lib/algorithms/coverage/include/astro/phase2/upm.h:181","退役未清理","已退役","生产2/测试0/文档16/登记7，计 25 行（命令：git grep -nw -e p2_upm_normalized_weights -- lib docs eng CMakeLists.txt）","是——CHK-DANGLING 步内 CON-DOC-SYMBOLS（ID 出处 eng/ci/checks.json，command=eng/tools/quality/contracts/check_doc_symbols.py）以 lib/**.h 文本构成「公开头语料」判符号可解析（见该脚本 _header_corpus 只 rglob('*.h')）；复核证明本行是该符号在 lib/**/*.h 中唯一存活文本","先解引用再删：本行是文档侧 16 处引用的存活凭据，必须与 AUD-404 行 6-14 同批处理后才可删","docs/contracts/PUBLIC_API.md:1806；docs/contracts/API_CONTRACTS.csv:280；docs/architecture/api_inventory.csv:325；docs/TRACEABILITY.csv:2；docs/algorithms/PHASE2_UPM_IMPL.md 三处；docs/algorithms/UPM_SOLVER.md:115；docs/science/PHASE2_UPM.md:272；docs/modules/ 三条；lib/algorithms/upm/{README.md,memory.md,module.yaml}","高（改对反而判红）：单删本行 ⇒ 公开头语料不再含该 token ⇒ CON-DOC-SYMBOLS 对文档侧 16 处反引号引用全部判悬空。删注释必须晚于或同批于删文档","高"
"lib/algorithms/coverage/include/astro/phase2/upm.h:355","退役未清理","已退役","生产2/测试0/文档1/登记1，计 4 行（命令：git grep -nw -e p2_upm_ma_component_of_control -- lib docs eng CMakeLists.txt）","是——同上 CON-DOC-SYMBOLS 唯一存活文本","删除本行注释＋同批改 docs/contracts/PUBLIC_API.md:21","docs/contracts/PUBLIC_API.md:21；eng/ci/prod_wiring_baseline.json:140","中：PUBLIC_API.md:21 属该文件自陈「已删」段，与注释同批删即可；分两批会短暂判红","高"
"lib/algorithms/coverage/include/astro/phase2/sampler.h:133","退役未清理","已退役","生产2/测试0/文档1/登记1，计 4 行（命令：git grep -nw -e p2_sample_sky -- lib docs eng CMakeLists.txt）","是——CON-DOC-SYMBOLS 唯一存活文本；另被 CHK-PROD-WIRING 棘轮基线冻结（eng/ci/prod_wiring_baseline.json:114）","删除本行注释","docs/contracts/PUBLIC_API.md:20（同文档自陈已删）；eng/ci/prod_wiring_baseline.json:114 收紧","低：文档面仅自陈段一处，同批删即可","高"
"lib/algorithms/coverage/include/astro/phase2/sampler.h:135","退役未清理","已退役","生产2/测试0/文档1/登记1，计 4 行（命令：git grep -nw -e p2_sample_sky_cached -- lib docs eng CMakeLists.txt）","是——CON-DOC-SYMBOLS 唯一存活文本","删除本行注释","docs/contracts/PUBLIC_API.md:20；eng/ci/prod_wiring_baseline.json:115","低","高"
"lib/algorithms/coverage/include/astro/phase2/rejection.h:416","退役未清理","已退役","生产2/测试0/文档2/登记1，计 5 行（命令：git grep -nw -e p2_reject_stack_resolve_ex -- lib docs eng CMakeLists.txt）","是——CON-DOC-SYMBOLS 唯一存活文本","删除本行注释","docs/algorithms/PHASE2_REJECTION.md:109（行锚表仍给 :2203-2217，指向已删定义）；docs/contracts/PUBLIC_API.md:21；eng/ci/prod_wiring_baseline.json:111","中：PHASE2_REJECTION.md 的行锚须同批改，否则文档行锚门（eng/tools/doccheck/check_alg_line_anchors.py 族）指到不存在区间","高"
"lib/algorithms/coverage/src/upm.cpp:1999","退役未清理","已退役","生产1(本条注释本身)/测试0/文档0/登记0（命令：git grep -nw -e p2_upm_normalized_weights -- lib/algorithms/coverage/src => 1 行）","否——CON-DOC-SYMBOLS 的公开头语料只取 *.h，源文件不参与符号可解析判定，本行不在任何门输入面","删除本行注释","无","低","高"
"lib/algorithms/coverage/src/upm.cpp:2849","退役未清理","已退役","生产1(本条注释)/测试0/文档0/登记0","否——同上，源文件不入符号可解析判据","删除本行注释","无","低","高"
"lib/algorithms/coverage/src/sampler.cpp:1275","退役未清理","已退役","生产1(本条注释)/测试0/文档0/登记0","否","删除本行注释","无","低","高"
"lib/algorithms/coverage/src/sampler.cpp:1277","退役未清理","已退役","生产1(本条注释)/测试0/文档0/登记0","否","删除本行注释","无","低","高"
"lib/algorithms/coverage/src/rejection.cpp:2223","退役未清理","已退役","生产1(本条注释)/测试0/文档0/登记0","否","删除本行注释","无","低","高"
