编号,符号或键,类别,现行值,单位,位点(面),位点,来源现状,它声称的出处,缺什么支撑,冲突标记,第②层已复核,取证分片
A1-001,(无名)·lib/infrastructure/cli/commands.cpp:781,常数,0.50;20.0,分位比; %,生产,lib/infrastructure/cli/commands.cpp:781；lib/infrastructure/cli/resource_gate.h:126-133,不适用（非科学量），但**阈值无登记侧**：同族门阈有具名单源，本行没有,resource_gate.h:126-133 以 resource_gate_contract 提供 kMon001UtilSampleMinPercent（注释：单样本 >=0.85）、kMon001QueueUtilMinPercent（0.60）、kCpuP50MinPercent/kCpuMeanMinPercent（:943-947 注释记 90%/85%），且 :124 明写『数值源 = 契约 compute.per_sample_* / queue_low_*』；而本行的 **20.0 不走契约**、也不在任何 defaults/schema【缺输入：判读层与第②层均未给保守取值方向】,CLI 诊断判定,红（判读层立案 F-13｜AUD-402-判读-A1 §2.1 F-13）：first-10s 用裸 20%（无登记侧），结束判定用契约 85%/90% ⇒ 同一语义两制、相差 4 倍,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
A1-002,(无名)·lib/infrastructure/cli/resource_gate.h:336,常数,5.0,s,生产,lib/infrastructure/cli/resource_gate.h:336；docs/plugins/algorithms_phase1/07_noise_snr.md；lib/infrastructure/cli/resource_events.h:84,无出处（引用指针悬空）,无——注称『07 §1/§3/§4』；跟踪集内唯一 07_*.md 是 docs/plugins/algorithms_phase1/07_noise_snr.md（噪声/SNR 面），git log --diff-filter=D 亦无资源面 07 文档；契约与 §8.3 判据表均无『无标注>5s → P1』,CLI 生产可达（kind 恒 Compute，本判据在 kind 分派之前）,红（判读层立案 CL-5S｜AUD-402-判读-A3 §2.2）：5.0 s 字面量，契约无该键；与 resource_events.h:84、resource_gate.h:397 同值三写 ⇒ 唯一数值源被绕过 ∥ 红（判读层立案 CL-5S｜AUD-402-判读-A3 §2.2）：同一语义两制：契约 applicability 只规定『严格 >10 s』，5.0 s 是契约外第二判定域；三处重复（resource_events.h:84／resource_gate.h:336／:397）,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3；CL-5S
A1-003,(无名)·lib/infrastructure/cli/resource_gate.h:363,常数,5.0,s,生产,lib/infrastructure/cli/resource_gate.h:363；docs/plugins/algorithms_phase1/07_noise_snr.md,无出处,无——注称『07 §1/§3/§4』；跟踪集内唯一 07_*.md 是 docs/plugins/algorithms_phase1/07_noise_snr.md（噪声/SNR 面），git log --diff-filter=D 亦无资源面 07 文档；契约 applicability 只规定『严格>10 s』并明记『C++ 侧原有 wall<5s 静默豁免已废止』【缺输入：判读层与第②层均未给保守取值方向】,仅 active_window 未提供（<0）的直调/单元路径可达,红（判读层立案 CL-5S｜AUD-402-判读-A3 §2.2）：wall<5s → NotApplicable：契约 applicability 只规定严格 >10 s，且明记『C++ 侧原有 wall<5s 静默豁免已废止』⇒ 契约外第二判定域,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3
A1-004,(无名)·lib/infrastructure/cli/resource_gate.h:368,常数,20.0;5.0,%；s,生产,lib/infrastructure/cli/resource_gate.h:368；docs/plugins/algorithms_phase1/07_noise_snr.md,无出处,无——注称『07 §1/§3/§4』；跟踪集内唯一 07_*.md 是 docs/plugins/algorithms_phase1/07_noise_snr.md（噪声/SNR 面），git log --diff-filter=D 亦无资源面 07 文档；契约/§8.3 均无『CPU/io/mem 皆低』判据【缺输入：判读层与第②层均未给保守取值方向】,Compute 分支、active window>=10 s,红（判读层立案 CL-ALLOWSLOW｜AUD-402-判读-A3 §2.2／§2.4 L11）：cpu_percent<20.0 ∧ iowait<5.0 皆契约无键的字面量阈值；20.0 用单核刻度而本文件阈值口径要求容量归一；iowait 腿输入恒 0.0（:182 未接线）⇒ 三腿判据退化为单腿,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3
A1-005,(无名)·lib/infrastructure/cli/resource_gate.h:369,常数,0.0;15.0,未定（分数或 %）,生产,lib/infrastructure/cli/resource_gate.h:369；docs/plugins/algorithms_phase1/07_noise_snr.md,无出处,无——注称『07 §1/§3/§4』；跟踪集内唯一 07_*.md 是 docs/plugins/algorithms_phase1/07_noise_snr.md（噪声/SNR 面），git log --diff-filter=D 亦无资源面 07 文档【缺输入：判读层与第②层均未给保守取值方向】,Compute 分支同上,红（判读层立案 CL-ALLOWSLOW｜AUD-402-判读-A3 §2.2／§2.6）：bandwidth<15.0 契约无键；且输入 mem_bandwidth_percent 默认 -1.0 从未在生产赋值 ⇒ 『皆低』退化为 cpu<20 单腿,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3
A1-006,(无名)·lib/infrastructure/cli/resource_gate.h:397,常数,5.0,s,生产,lib/infrastructure/cli/resource_gate.h:397；docs/plugins/algorithms_phase1/07_noise_snr.md,无出处（引用指针悬空）,无——注称『07 §1/§3/§4』；跟踪集内唯一 07_*.md 是 docs/plugins/algorithms_phase1/07_noise_snr.md（噪声/SNR 面），git log --diff-filter=D 亦无资源面 07 文档【缺输入：判读层与第②层均未给保守取值方向】,Unknown kind 分支,红（判读层立案 CL-5S｜AUD-402-判读-A3 §2.2）：5.0 s 字面量，契约无该键（同簇第三处）,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3；CL-5S
A1-007,(无名)·lib/infrastructure/cli/resource_gate.h:529,常数,0.75,—,生产,lib/infrastructure/cli/resource_gate.h:529,无出处（与契约矛盾的陈旧值）,无——契约是 85/0.70，本串写 0.75；:125 已自述 75% 废止【缺输入：判读层与第②层均未给保守取值方向】,诊断文本呈现,红（判读层立案 L4｜AUD-402-判读-A3 §2.3）：诊断字符串内写 0.75，契约现值 per_sample_utilization_min_percent=85／per_sample_pass_fraction_min=0.7 ⇒ 同一文件同一判据两套数（文本侧是旧 D.6 废止档位的残影，:125 自述『不得回归』）,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3；L4
A1-008,(无名)·lib/infrastructure/cli/v6_runtime_contract.h:347,常数,0.0,未标注,生产,lib/infrastructure/cli/v6_runtime_contract.h:347,不适用（结构性常数）,—（谓词，但取值方向与他三行相反）【缺输入：判读层与第②层均未给保守取值方向】,heavy_metrics_complete,红（判读层立案 L14）：而 GateConfig 以 -1 表未提供、并据 <0 走『视为代表性』放行判定 ⇒ 同一字段两侧语义分叉（L14）,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3；L14
A1-009,59 条注册字段出处锚的命中率,算法,HIT 5（人工复读后 4 条为真）／NO-VALUE 46（其中所引行是空行 11）／DIFF 21／无可用锚 6／文件不在跟踪集 2,条,生产,eng/packaging/config/defaults.json:24；复算/q402-A1/anchor_check.py（补侧·本行出处所列权威锚）,有文献（形式上）→ 实质只到 C 级（「文档里也这么写」）,复算/q402-A1/anchor_check.py 与 anchor_check.tsv；典型错锚三形态：指向小节标题、指向空行、指向另一个常数的陈述；defaults.json 的 note 甚至自述「行锚 +6（claim SC-007）」【缺输入：判读层与第②层均未给保守取值方向】,全仓「常数登记」的出处链可信度,红（判读层立案 A1 §2.4／X-14）：噪声 clip_sigma 的 HIT 是短词元假阳（匹配到 §5c 的 5，真锚 :63）,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1 §2.4；§5 X-14；X-14
A1-010,CLI 骨架是否在扫描面,算法,完全不在扫描面,—,测试/实验,lib/infrastructure/cli/session_commands.h:151；eng/tests/cli/test_unified_blocks_templates.py（补侧·本行出处所列，该侧带值）,不适用（门覆盖面事实）,AUD-402-判读-A1 §1 表第④行；判读-A3 §2.1 修法判据（eng/tests/cli/test_unified_blocks_templates.py 只把 --template 输出对自己的 schema 跑偏差集门）【缺输入：判读层与第②层均未给保守取值方向】,全部 CLI 骨架默认值,红（判读层立案 A1 §1／A3 L1 修法）：该侧在门外面,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1 §1；判读-A3 §2.1；L1
