来源成稿,对象,提及行数,波次
AUD-101-D1残余.md,docs/contracts/PIPELINE_BLOCK_CONTRACT.md,8,W1
AUD-101-D1残余.md,docs/algorithms/CALIBRATION_ALGORITHMS.md,7,W1
AUD-101-D1残余.md,docs/science/CALIBRATION.md,7,W1
AUD-101-D1残余.md,eng/tests/quality/test_module_map.py,6,W0
AUD-101-D1残余.md,工程控制/RELEASE-05/tasks/ACCEPT-501.md,4,W3
AUD-101-D1残余.md,docs/algorithms/COSMETIC_ALGORITHMS.md,4,W1
AUD-101-D1残余.md,docs/contracts/DUAL_LINE_CONTRACT.md,3,W1
AUD-101-D1残余.md,工程控制/RELEASE-05/tasks/ARCH-501.md,3,W3
AUD-101-D1残余.md,工程控制/RELEASE-05/tasks/ARCH-502.md,3,W3
AUD-101-D1残余.md,工程控制/RELEASE-05/tasks/ARCH-503.md,3,W3
AUD-101-D1残余.md,工程控制/RELEASE-05/tasks/ARCH-504.md,3,W3
AUD-101-D1残余.md,工程控制/RELEASE-05/tasks/ARCH-505.md,3,W3
AUD-101-D1残余.md,工程控制/RELEASE-05/tasks/BLD-501.md,3,W3
AUD-101-D1残余.md,工程控制/RELEASE-05/tasks/CLEAN-501.md,3,W3
AUD-101-D1残余.md,工程控制/RELEASE-05/tasks/CONTRACT-501.md,3,W3
AUD-101-D1残余.md,工程控制/RELEASE-05/tasks/DOC-501.md,3,W3
AUD-101-D1残余.md,docs/standards/TEST_STANDARD.md,2,W3
AUD-101-D1残余.md,docs/modules/calibration.md,2,W2
AUD-101-D1残余.md,lib/algorithms/calibration/cpp/cosmetic_corrector.cpp,2,W1
AUD-101-D1残余.md,工程控制/RELEASE-05/tasks/,2,W3
AUD-101-D1残余.md,artifacts/evidence/release-05/AUDIT_PACKAGE.md,2,W3
AUD-101-D1残余.md,eng/tests/unit/export_stream_test.cpp,2,W0
AUD-101-D1残余.md,lib/infrastructure/pipeline/orchestrator/,2,W2
AUD-101-D1残余.md,docs/algorithms/PHASE3_PROJ_IMPL.md,2,W1
AUD-101-D1残余.md,docs/ASTROCS_DESIGN.md,2,W3
AUD-101-D1残余.md,eng/tests/unit/p1001_real_nodes_test.cpp,1,W0
AUD-101-D1残余.md,eng/tools/quality/check_master_unit_guard.py,1,W0
AUD-101-D1残余.md,lib/algorithms/calibration/README.md,1,W1
AUD-101-D1残余.md,docs/science…,1,W3
AUD-101-D1残余.md,docs/modules/registry/astrocs.phase1.cosmetic.md,1,W2
AUD-101-D1残余.md,eng/tools/check_traceability_matrix.py,1,W0
AUD-101-D1残余.md,docs/science/UNCERTAINTY_AND_COVARIANCE.md,1,W1
AUD-101-D1残余.md,lib/algorithms/drizzle/healpix_drizzle/tests/CMakeLists.txt,1,W1
AUD-101-D1残余.md,reports/v19r2/…,1,W3
AUD-101-D1残余.md,eng/ci/check_retired_code.py,1,W0
AUD-101-D1残余.md,工程控制/RELEASE-05/OPEN_QUESTIONS.md,1,W3
AUD-101-D1残余.md,lib/infrastructure/pipeline/,1,W2
AUD-101-D1残余.md,eng/tests/runtime/integration/,1,W0
AUD-101-D1残余.md,docs/contracts/SCHEDULER_CONTRACT.md,1,W1
AUD-101-D1残余.md,docs/architecture/THREAD_BUDGET_ARCH.md,1,W2
AUD-101-D1残余.md,lib/infrastructure/cli/export/,1,W2
AUD-101-D1残余.md,lib/phase,1,W3
AUD-101-D1残余.md,lib/infrastructure/,1,W2
AUD-101-D1残余.md,eng/build/build.sh,1,W3
AUD-101-D1残余.md,lib/algorithms/coverage/CMakeLists.txt,1,W1
AUD-101-D1残余.md,eng/ci·eng/tests·eng/contracts·docs/contracts·docs/ci,1,W3
AUD-101-D1残余.md,docs/owner/PROJECT_SPEC.md,1,W3
AUD-101-D1残余.md,docs/docs/owner/PROJECT_SPEC.md,1,W3
AUD-101-D1残余.md,"工程控制/RELEASE-05/{SUMMARY,ACCEPTANCE,OPEN_QUESTIONS,GAP_AUDIT,TASK_LIST}.md",1,W3
AUD-101-D1残余.md,lib/algorithms/drizzle/,1,W1
AUD-101-D1残余.md,docs/contracts/PERF_GATE_CONTRACT.md,1,W1
AUD-101-D1补三份.md,docs/standards/TEST_STANDARD.md,8,W3
AUD-101-D1补三份.md,docs/standards/checks/check_standards_registry.py,6,W3
AUD-101-D1补三份.md,docs/contracts/TEST_MATRIX.md,5,W1
AUD-101-D1补三份.md,docs/algorithms/anchors/ANCHOR_CONTRACT.md,3,W1
AUD-101-D1补三份.md,docs/standards/STANDARDS_REGISTRY.md,3,W3
AUD-101-D1补三份.md,工程控制/RELEASE-05/tasks/,2,W3
AUD-101-D1补三份.md,docs/development/TESTING.md,1,W3
AUD-101-D1补三份.md,eng/tools/quality/build_v19r3_package.py,1,W0
AUD-101-D1补三份.md,docs/quality/coverage_baseline_v1.md,1,W3
AUD-101-D1补三份.md,eng/tools/doccheck/check_doc_line_anchors.py,1,W0
AUD-101-D1补三份.md,eng/tests/x,1,W0
AUD-101-D1补三份.md,工程控制/AstroCS_CONSTITUTION_ALIGNMENT_CONTROL_V1_20260909/,1,W3
AUD-101-D1补三份.md,eng/tools/doccheck/check_standards_registry.py,1,W0
AUD-101-D1补三份.md,eng/tests/quality/test_doc_line_anchors.py,1,W0
AUD-101-D1补三份.md,eng/tools/doccheck/check_alg_line_anchors.py,1,W0
AUD-101-DA01-根规范与科学.md,docs/science/SCIENCE_SCOPE.md,11,W1
AUD-101-DA01-根规范与科学.md,docs/science/CALIBRATION.md,9,W1
AUD-101-DA01-根规范与科学.md,docs/science/PHASE3_HIPS_TO_FITS.md,8,W1
AUD-101-DA01-根规范与科学.md,docs/science/UNIFIED_SCIENCE_MODEL.md,7,W1
AUD-101-DA01-根规范与科学.md,docs/science/UNCERTAINTY_AND_COVARIANCE.md,6,W1
AUD-101-DA01-根规范与科学.md,docs/science/ACR_EQUIVALENCE.md,6,W1
AUD-101-DA01-根规范与科学.md,docs/science/ASTROMETRY.md,5,W1
AUD-101-DA01-根规范与科学.md,docs/science/PSF.md,4,W1
AUD-101-DA01-根规范与科学.md,docs/development/,3,W3
AUD-101-DA01-根规范与科学.md,docs/operations/,3,W3
AUD-101-DA01-根规范与科学.md,docs/science/INTEGRATION.md,3,W1
AUD-101-DA01-根规范与科学.md,docs/contracts/LOG_AND_ERROR_CONTRACT.md,2,W1
AUD-101-DA01-根规范与科学.md,docs/standards/BUILD_STANDARD.md,2,W3
AUD-101-DA01-根规范与科学.md,docs/archive/history/memory_V18R2-V19_operational_log_2026-08-21.md,2,W3
AUD-101-DA01-根规范与科学.md,docs/references/SCIENTIFIC_REFERENCES.md,2,W3
AUD-101-DA01-根规范与科学.md,docs/interfaces/data/DATA-002_PHASE_PRODUCT_EXCHANGE.md,2,W2
AUD-101-DA01-根规范与科学.md,docs/algorithms/PHOTOMETRIC_FIT.md,2,W1
AUD-101-DA01-根规范与科学.md,lib/algorithms/coverage/src/integrate.cpp,2,W1
AUD-101-DA01-根规范与科学.md,docs/plugins/algorithms_phase1/,2,W1
AUD-101-DA01-根规范与科学.md,lib/algorithms/psf/src/dpsf_psf.cpp,2,W1
AUD-101-DA01-根规范与科学.md,docs/plugins/algorithms_phase1/03_star_detection.md,2,W1
AUD-101-DA01-根规范与科学.md,docs/algorithms/CALIBRATION_ALGORITHMS.md,1,W1
AUD-101-DA01-根规范与科学.md,docs/contracts/SCHEDULER_CONTRACT.md,1,W1
AUD-101-DA01-根规范与科学.md,docs/algorithms/PHASE3_PROJ_IMPL.md,1,W1
AUD-101-DA01-根规范与科学.md,eng/build/build.sh,1,W3
AUD-101-DA01-根规范与科学.md,docs/AGENTS.md,1,W3
AUD-101-DA01-根规范与科学.md,eng/tools/run_gc.py,1,W0
AUD-101-DA01-根规范与科学.md,docs/DEVELOPER_GUIDE.md,1,W3
AUD-101-DA01-根规范与科学.md,eng/build/toolchain.ps1,1,W3
AUD-101-DA01-根规范与科学.md,lib/infrastructure/observability/logging/log_event_v1.schema.json,1,W2
AUD-101-DA01-根规范与科学.md,lib/infrastructure/cli/exit_codes.h,1,W2
AUD-101-DA01-根规范与科学.md,artifacts/acceptance/ACCEPTANCE_REPORT.md,1,W3
AUD-101-DA01-根规范与科学.md,docs/science/xxx.md,1,W1
AUD-101-DA01-根规范与科学.md,lib/algorithms/rejection/tools/rcr_oracle_compare.py,1,W1
AUD-101-DA01-根规范与科学.md,eng/packaging/schemas/preset-contract.json,1,W1
