身份,台账任务号数,在提交消息中出现的号数,命中率,提及这些号的提交数,命中号样例,未命中号样例
archive/2026-09-02_legacy_工程控制_v1.3-to-v6.1,199,190,95.5,578,"ABI-001, ABI-002, ABI-003, ACR-001, ALG-001, ALG-002, ALG-003, ALG-004, ALG-005, ALG-006, ALG-007, API-001","ACR-002, ACR-003, BASE-002, CHK-004, ID-002, ID-003, PKG-001, REV-004, RUN-006"
AstroCS_V7_MODULAR_REFOUNDATION_CONTROL_20260902_FINAL3,191,167,87.4,317,"ABI-001, ABI-002, ABI-003, ABI-004, ABI-005, ABI-006, ACR-001, ARC-001, AUD-001, BLD-001, BLD-002, BLD-003","AUD-002, AUD-003, AUD-004, AUD-005, CAT-GAIA-DOC, CAT-GAIA-IMPL, CAT-GAIA-INT, CAT-GAIA-TEST, CTL-001, FG-VERIFY-001, GATE-OWNER-001, ID-002"
AstroCS_MAIN_RELEASE_CONTROL_V5_SINGLE_CLI_AMD64_20260828,98,98,100.0,379,"ABI-001, ABI-002, ABI-003, ALG-001, ALG-002, ALG-003, ALG-004, ALG-005, ALG-006, ALG-007, API-001, API-002",
REAUDIT_V4/v4_reaudit,98,0,0.0,0,,"C0-001, C0-002, C0-003, C0-004, C0-005, C1-001, C1-002, C1-003, C1-004, C1-005, C1-006, C1-007"
prerelease_v5/AUDIT_REVIEW,98,98,100.0,379,"ABI-001, ABI-002, ABI-003, ALG-001, ALG-002, ALG-003, ALG-004, ALG-005, ALG-006, ALG-007, API-001, API-002",
prerelease_v5/audit_src,98,98,100.0,379,"ABI-001, ABI-002, ABI-003, ALG-001, ALG-002, ALG-003, ALG-004, ALG-005, ALG-006, ALG-007, API-001, API-002",
工程控制/REAUDIT_V4,98,0,0.0,0,,"C0-001, C0-002, C0-003, C0-004, C0-005, C1-001, C1-002, C1-003, C1-004, C1-005, C1-006, C1-007"
AstroCS_V6_SYSTEM_REFACTOR_ALPHA_CONTROL_20260830,88,88,100.0,337,"API-001, ARCH-001, BAS-001, BAS-002, BAS-003, BAS-004, BLD-001, CLI-001, CLI-002, CLI-003, CORE-001, CORE-002",
CONTROL_V6,88,88,100.0,337,"API-001, ARCH-001, BAS-001, BAS-002, BAS-003, BAS-004, BLD-001, CLI-001, CLI-002, CLI-003, CORE-001, CORE-002",
REAUDIT_V3/v3_audit,62,55,88.7,194,"ACR-001, ALG-001, ALG-002, ALG-003, ALG-004, API-001, API-002, API-003, API-004, API-005, ARCH-001, ARCH-002","ACR-002, ACR-003, CHK-004, ID-002, ID-003, PKG-001, RUN-006"
REAUDIT_V3/v3_cp0,62,55,88.7,194,"ACR-001, ALG-001, ALG-002, ALG-003, ALG-004, API-001, API-002, API-003, API-004, API-005, ARCH-001, ARCH-002","ACR-002, ACR-003, CHK-004, ID-002, ID-003, PKG-001, RUN-006"
REAUDIT_V3/v3_reaudit,62,55,88.7,194,"ACR-001, ALG-001, ALG-002, ALG-003, ALG-004, API-001, API-002, API-003, API-004, API-005, ARCH-001, ARCH-002","ACR-002, ACR-003, CHK-004, ID-002, ID-003, PKG-001, RUN-006"
工程控制/REAUDIT_V3,62,55,88.7,194,"ACR-001, ALG-001, ALG-002, ALG-003, ALG-004, API-001, API-002, API-003, API-004, API-005, ARCH-001, ARCH-002","ACR-002, ACR-003, CHK-004, ID-002, ID-003, PKG-001, RUN-006"
AstroCS_CONSTITUTION_ALIGNMENT_CONTROL_V1_20260909,57,33,57.9,125,"AIO-001, AIO-002, AUD-001, BASE-001, CI-001, CI-001B, CI-002, CLI-001, CLI-001B, DATA-001, DOC-001, GOV-001","ARCH-AUDIT-P1, ARCH-TB-001, BASE-UTIL-001, CI-BACKEND-001, CI-BASELINE-001, CI-DATA-REG-001, CI-REG-002, CI-REPAIR-001, CI-REPAIR-002, CI-VER-CHK-001, CI-WIN-001, CON-COMMENT-001"
AstroCS_MAIN_PRERELEASE_CONTROL_V4_CPU_ADAPTIVE_20260828,54,52,96.3,232,"ALG-001, ALG-002, ALG-003, ALG-004, ALG-005, BASE-001, CPU-001, CPU-002, CPU-003, CPU-004, DOC-001, DOC-002","BASE-002, REV-004"
CONTROL_V4,54,52,96.3,232,"ALG-001, ALG-002, ALG-003, ALG-004, ALG-005, BASE-001, CPU-001, CPU-002, CPU-003, CPU-004, DOC-001, DOC-002","BASE-002, REV-004"
