seq,sha8,date,kind,count,detail,subject
1,4a2750bd,2026-05-24,NEWDIR,1,首次出现 lib/gaia_xpsd_client,Initial commit: Gaia DR3 XPSD Client
2,802becc2,2026-05-24,NEWDIR,1,首次出现 lib/astro_image_io,Initial commit: Astro Image IO
3,850973a7,2026-05-24,NEWDIR,1,首次出现 lib/star_detector,"feat: Star Detector - astronomical star detector with PSF fitting filter, FWHM clipping and roundnes"
14,1013feb6,2026-06-03,SILENT,7,距上一提交（拓扑序）7 天,feat: half-threshold saturated star detection + candidate pre-filter + OpenMP parallelization
17,8c0762ca,2026-07-07,SILENT,31,距上一提交（拓扑序）31 天,feat: V5.0 Gaussian PSF + GSL trust-region LM + 代码清理
18,12c55ed6,2026-05-24,NEWDIR,1,首次出现 lib/dynamic_psf,feat: Dynamic PSF - Moffat4 PSF fitting engine with 16bit input and batch mode
19,941b82a2,2026-06-07,SILENT,14,距上一提交（拓扑序）14 天,fix(search_recursive): add projection center point to AzimuthalEquidistant bbox computation
21,7691d768,2026-07-10,SILENT,47,距上一提交（拓扑序）47 天,feat: expose DR3SP spectrum interface (BP/RP spectra + magBP/magRP)
24,a88d9789,2026-07-10,NEWDIR,1,首次出现 lib/calibration,feat: Astro Calibration C++ module
31,0c08aeb5,2026-07-11,NEWDIR,1,首次出现 lib/healpix_db,feat: HEALpix Database - 球面存储与可视化系统
35,f75ae3f0,2026-07-12,NEWDIR,1,首次出现 lib/photometric_calib,v1.0: 鲁棒流量校准 Python 开发原型
39,55d69dd0,2026-07-12,DELETE,28,删除 28 文件（批量移除/归档）,refactor: split ahpx_io/stack/drizzle into independent repos
45,e27ff13d,2026-07-12,NEWDIR,1,首次出现 lib/data_pipeline,feat: initial Astro-Data-Pipline - memory pipeline C++ implementation
75,8399f940,2026-07-15,NEWDIR,1,首次出现 lib/snr_estimator,feat: SNR 估算模块初始版本 (乘法模型)
76,127c4a96,2026-07-15,NEWDIR,1,首次出现 lib/orchestrator,feat: 管线编排引擎初始版本 (9节点管线 + SNR集成)
94,75835599,2026-07-16,NEWDIR,1,首次出现 lib/plate_solve,重构: 根目录调试文件整理 + 模块内部冗余清理（2026-07-16）
95,7604fdca,2026-07-16,DELETE,40,删除 40 文件（批量移除/归档）,"归档: 遗留浏览器+healpix_lod+healpix_io 源码归档, 依赖迁移至 astro_image_io, SingleFrameView 废弃（2026-07-16）"
100,c384de17,2026-07-24,SILENT,6,距上一提交（拓扑序）6 天,chore: initialize main repository
112,d411565e,2026-07-24,NEWDIR,1,首次出现 docs/ARCHITECTURE.md,"docs: integrate root documentation, specs, and gitignore into main repo"
112,d411565e,2026-07-24,NEWDIR,1,首次出现 docs/DESIGN_IMPL_GAP.md,"docs: integrate root documentation, specs, and gitignore into main repo"
112,d411565e,2026-07-24,NEWDIR,1,首次出现 docs/PIPELINE_OVERVIEW.md,"docs: integrate root documentation, specs, and gitignore into main repo"
112,d411565e,2026-07-24,NEWDIR,1,首次出现 docs/PROJECT_OVERVIEW.md,"docs: integrate root documentation, specs, and gitignore into main repo"
112,d411565e,2026-07-24,NEWDIR,1,首次出现 docs/superpowers,"docs: integrate root documentation, specs, and gitignore into main repo"
118,1ac74251,2026-07-24,NEWDIR_BATCH,25,"首次出现 25 个目录，例: engineering/00_START_HERE.md, engineering/01_PROJECT_CHARTER.md, engineering/02_BASELINE_AUDIT.md, engineering/03_TARGET_SYSTEM_ARCHITECTURE.md, engineering/04_ENGINEERING_CONTROL_MODEL.md, engineering/05_",P00-001: 冻结并复核主仓库基线
