类型,符号或键,位点,现行值,机判档,赋值形态,该行原文
具名,calibration.dark_light_exposure_tolerance,eng/packaging/config/defaults.json:20,5,③未见于条文面,字面量硬编码·条文面零提及,"""value"": 5,"
具名,noise.variance_floor,eng/packaging/config/defaults.json:205,1e-12,③未见于条文面,字面量硬编码·条文面零提及,"""value"": 1e-12,"
具名,photometry.irls_tolerance_dex,eng/packaging/config/defaults.json:583,1e-06,③未见于条文面,字面量硬编码·条文面零提及,"""value"": 1e-06,"
具名,sparse_snr.density,eng/packaging/config/defaults.json:681,null,③未见于条文面,字面量硬编码·条文面零提及,"""value"": null,"
具名,scalar_gate.rd,eng/packaging/config/defaults.json:722,null,③未见于条文面,字面量硬编码·条文面零提及,"""value"": null,"
具名,scalar_gate.trend,eng/packaging/config/defaults.json:733,null,③未见于条文面,字面量硬编码·条文面零提及,"""value"": null,"
具名,PTHREAD_MUTEX_RECURSIVE,eng/cmake/win32_pthread_shim/pthread.h:23,1,③未见于条文面,声明行未见值（须读初始化处）,#define PTHREAD_MUTEX_RECURSIVE  1   // cfitsio cfileio.c 用 attr settype(RECURSIVE); shim 近似非递归
具名,kMemoryBudgetPercentMin,eng/packaging/config/runtime_resources_generated.h.in:17,1,③未见于条文面,字面量硬编码·条文面零提及,inline constexpr std::uint32_t kMemoryBudgetPercentMin = 1;
具名,kMemoryBudgetPercentMax,eng/packaging/config/runtime_resources_generated.h.in:18,100,③未见于条文面,字面量硬编码·条文面零提及,inline constexpr std::uint32_t kMemoryBudgetPercentMax = 100;
具名,blk,eng/tools/quality/sparse_punch_probe.cpp:93,4096,③未见于条文面,字面量硬编码·条文面零提及,const std::size_t blk = 4096;
具名,AC_COLSTAT_OK,lib/algorithms/calibration/include/astro_calibration.h:33,0,③未见于条文面,声明行未见值（须读初始化处）,#define AC_COLSTAT_OK                 0
具名,AC_COLSTAT_SCALE_DEGENERATE,lib/algorithms/calibration/include/astro_calibration.h:34,1,③未见于条文面,声明行未见值（须读初始化处）,#define AC_COLSTAT_SCALE_DEGENERATE   1   /* MAD(dev)==0 => 检测不可用，不判任何列 */
具名,AC_COLSTAT_FRAME_TOO_SMALL,lib/algorithms/calibration/include/astro_calibration.h:35,2,③未见于条文面,声明行未见值（须读初始化处）,#define AC_COLSTAT_FRAME_TOO_SMALL    2   /* 列数不足 => 无列可判 */
具名,AC_COLSTAT_EDGE_ONE_SIDED,lib/algorithms/calibration/include/astro_calibration.h:36,4,③未见于条文面,声明行未见值（须读初始化处）,#define AC_COLSTAT_EDGE_ONE_SIDED     4   /* 坏列段贴边，仅单侧锚点 => 复制该锚列 */
具名,AC_COLSTAT_NO_ANCHOR,lib/algorithms/calibration/include/astro_calibration.h:37,8,③未见于条文面,声明行未见值（须读初始化处）,#define AC_COLSTAT_NO_ANCHOR          8   /* 坏列段无任何好列锚点 => 不修复，保留原值 */
具名,AC_COLSTAT_MASK_CLEAN,lib/algorithms/calibration/include/astro_calibration.h:49,0,③未见于条文面,声明行未见值（须读初始化处）,#define AC_COLSTAT_MASK_CLEAN  0   /* 未检出 */
具名,AC_COLSTAT_MASK_REPAIRED,lib/algorithms/calibration/include/astro_calibration.h:50,1,③未见于条文面,声明行未见值（须读初始化处）,#define AC_COLSTAT_MASK_REPAIRED 1 /* 单列缺陷，已按隔壁列插值修复 */
具名,AC_COLSTAT_MASK_WIDE,lib/algorithms/calibration/include/astro_calibration.h:51,2,③未见于条文面,声明行未见值（须读初始化处）,#define AC_COLSTAT_MASK_WIDE   2   /* 宽缺陷段（> max_seg_len），仅标记、未修复 */
具名,AC_COLSTAT_SRC_SCIENCE,lib/algorithms/calibration/include/astro_calibration.h:191,1u,③未见于条文面,声明行未见值（须读初始化处）,#define AC_COLSTAT_SRC_SCIENCE 1u   /* 该列在科学帧自身被判坏列 */
具名,AC_COLSTAT_SRC_DARK,lib/algorithms/calibration/include/astro_calibration.h:192,2u,③未见于条文面,声明行未见值（须读初始化处）,#define AC_COLSTAT_SRC_DARK    2u   /* 该列在 master_dark 被判坏列 */
