ID|原类别|原优先级|旧判据(文档+节号/路径)|最新权威条款|当前证据(命令+输出)|结论|归属|GAP关系|备注
M2a-H-1|H_NUMERIC|P0|宪章 §5.3|ASTROCS_DESIGN.md §3.3：precision（FP32/FP64）显式声明，科学模块按声明精度执行；§2：数据对象禁止互相冒充|命令：timeout 60 awk 'FNR==1006{print FILENAME":"FNR": "$0}' lib/healpix_db/healpix_drizzle/hp_drizzle_api.cpp; timeout 60 awk 'FNR==3051{print FILENAME":"FNR": "$0}' lib/core/src/module_adapters.cpp; timeout 60 awk 'FNR==3066{print FILENAME":"FNR": "$0}' lib/core/src/module_adapters.cpp；输出：lib/healpix_db/healpix_drizzle/hp_drizzle_api.cpp:1006:     if (config.precision_mode == 1 && !data_is_f64) {；lib/core/src/module_adapters.cpp:3051:     blk_type = AIO_BLOCK_FLOAT64;；lib/core/src/module_adapters.cpp:3066:           "drizzle precision consistency: data block dtype != precision_mode"));|RESOLVED|P1-001|无|何证据使其不再成立：p1_op_drizzle 现按 precision_mode 提交 FLOAT64 块并做块 dtype 自检；hp_drizzle_api.cpp:1006 对 pm=1 且 data 块为 FLOAT32 显式拒绝（return -14），元数据声称精度与实际累加域不再脱钩
M2a-H-2|H_NUMERIC|P0|宪章 §4.1/§7.3/§5.3|docs/design/UNIFIED_MODEL.md §2：variance/ivar 是同一估计量的方差及倒数，validity 是坏点/缺失/越界状态（门，不是权重）；ASTROCS_DESIGN.md §2：数据对象禁止互相冒充|命令：timeout 60 awk 'FNR==1912{print FILENAME":"FNR": "$0} FNR==1916{print FILENAME":"FNR": "$0}' lib/healpix_db/healpix_drizzle/drizzle_engine.cpp；输出：lib/healpix_db/healpix_drizzle/drizzle_engine.cpp:1912:                 if (varianceValue <= 0.0f) continue;  // 合法数据边界, 非掩膜；lib/healpix_db/healpix_drizzle/drizzle_engine.cpp:1916:             threadCounters[static_cast<size_t>(tid)].source_pixels++;|OPEN|DATA-001|无|variance≤0 仍以 continue 整颗丢弃（信号/覆盖/nContrib/source_pixels 全不计），方差值实际充当 validity 掩膜且零计数；负责人裁决 A-11 待定，语义厘清后须统一实现与头注释/DATA/ALG 三处文本
M3b-H-01|H_NUMERIC|P0|宪章 §4.1/§12.3|docs/science/NOISE_MODEL.md §9：FP64 全链路，MAD 常数 1.482602218505602（15 位截断）；docs/algorithms/NOISE_ESTIMATION.md §2 F1：σ_bg=1.482602218505602·median(abs(x−median(x)))|命令：timeout 60 awk 'FNR==450{print FILENAME":"FNR": "$0} FNR==227{print FILENAME":"FNR": "$0}' lib/star_detector/src/sdet_api.cpp；输出：lib/star_detector/src/sdet_api.cpp:227:         double rmse_ratio = fit.mad * 1.482602218505602 / fit.A;；lib/star_detector/src/sdet_api.cpp:450:         result->mad = sdet_median_of(deviations);|RESOLVED|P1-001|无|何证据使其不再成立：:450 写真实 MAD（残差绝对偏差的中位数），:227 排异门用 MAD 乘冻结 15 位常数，RMSE 冒充与二次换算消失；残余子项「0.2 门出处」不属本条，归 M3b-A-03 另案
M9-H-1|H_NUMERIC|P0|宪章 §14.4/§8.6/§11|ENGINEERING_SPEC.md §9：错误通过统一状态码+结构化诊断传播，失败不得留下可被误认成正式产品的半成品；docs/plugins/infrastructure/22_gaia_xpsd_client.md §7：缓存损坏 → 重新查询，不返回坏数据|命令：timeout 60 awk 'FNR==391{print FILENAME":"FNR": "$0} FNR==395{print FILENAME":"FNR": "$0} FNR==825{print FILENAME":"FNR": "$0}' lib/gaia_xpsd_client/src/module_entry.c；输出：lib/gaia_xpsd_client/src/module_entry.c:391: static int json_append_escaped(char** w, const char* end, const char* s) {；lib/gaia_xpsd_client/src/module_entry.c:395:         if ((size_t)(end - p) < need) return 0;；lib/gaia_xpsd_client/src/module_entry.c:825:     if (!head_ok) {|RESOLVED|NEXT-PACK:NP-01|无|何证据使其不再成立：json_append_escaped 增 end 容量参数并返回 0；json_append_fmt 按 min(应写,剩余) 夹紧；:825 起触边即 PARAM+BUFFER_TOO_SMALL 整次失败，不再把越界长度经 memcpy 回读进交付 JSON
M9-H-2|H_NUMERIC|P0|宪章 §14.4/§5.3/§7.3|ENGINEERING_SPEC.md §9：统一状态码传播错误，失败不得留下看似成功的产品；docs/plugins/infrastructure/22_gaia_xpsd_client.md §7：缓存损坏 → 重新查询，不返回坏数据|命令：timeout 60 awk 'FNR==1284{print FILENAME":"FNR": "$0} FNR==1285{print FILENAME":"FNR": "$0} FNR==1286{print FILENAME":"FNR": "$0}' lib/gaia_xpsd_client/src/gaia_client.c；输出：lib/gaia_xpsd_client/src/gaia_client.c:1284:                     if (!parse_bounded_int(p + 14, WL_COUNT, &xf->spectrum_count)) {；lib/gaia_xpsd_client/src/gaia_client.c:1285:                         close_xpsd_file(xf);；lib/gaia_xpsd_client/src/gaia_client.c:1286:                         return -1;|RESOLVED|NEXT-PACK:NP-01|无|何证据使其不再成立：spectrumCount 经 parse_bounded_int(limit=WL_COUNT=343) 严格解析（非数字/负数/尾随垃圾/越界即 0），失败整文件拒绝返回 -1，自报值不再作无界分配步长与 memcpy 长度
M1a-H-001|H_NUMERIC|P1|宪章 §14.4/§6.3/§4.3|docs/plugins/algorithms_phase3/15_resample.md §7：缺 tile/非有限 → validity 标记，不以零填充；ASTROCS_DESIGN.md §9：失败/取消不得留下可被误认为正式产品的半成品|命令：timeout 60 awk 'FNR==5589{print FILENAME":"FNR": "$0} FNR==5591{print FILENAME":"FNR": "$0} FNR==5690{print FILENAME":"FNR": "$0}' lib/core/src/module_adapters.cpp；输出：lib/core/src/module_adapters.cpp:5589:     if (p3_sampler_open_ex(g.hips_dir.c_str(), &w_samp, nullptr, nullptr, &wserr) !=；lib/core/src/module_adapters.cpp:5591:       return;；lib/core/src/module_adapters.cpp:5690:     band_executed.fetch_add(1);|OPEN|P3-002|无|signal sampler 打开失败仍是裸 return（不置 corrupt、不记失败带），随后 band_executed 无条件 +1，故 :5720 的「已执行数==提交数」门把它算成功；同函数 uncertainty open 失败却置 corrupt=-2，fail-open 不对称
M2b-H-01|H_NUMERIC|P1|宪章 §12.3/§13.1|docs/algorithms/HIPS_WRITER.md §9：sky fraction 绝对误差 <1e-9；MOC/properties 键值精确相等|命令：timeout 60 awk 'FNR==986{print FILENAME":"FNR": "$0} FNR==1501{print FILENAME":"FNR": "$0}' lib/astro_image_io/src/hips/aio_hips_writer.cpp; timeout 60 awk 'FNR==300{print FILENAME":"FNR": "$0}' docs/algorithms/HIPS_WRITER.md；输出：lib/astro_image_io/src/hips/aio_hips_writer.cpp:986:     kv.push_back({"moc_sky_fraction", std::to_string(moc_frac)});；lib/astro_image_io/src/hips/aio_hips_writer.cpp:1501:                     "  \"moc_sky_fraction\": %.8f,\n"；docs/algorithms/HIPS_WRITER.md:300:   绝对误差 <1e-9；MOC/properties 键值精确相等；checksum 字段由 CFITSIO|OPEN|AIO-001|无|properties 侧 std::to_string 固定 6 位小数、manifest 侧 %.8f，量化步长 1e-6 物理上无法满足 <1e-9 冻结容差；同一产品同名键可有不同字面值，深 order 稀疏覆盖被写成 0.000000
M3-H-001|H_NUMERIC|P1|宪章 §5.3/§14.4/§4.1|docs/science/NOISE_MODEL.md §7：Floor 夹逼不变量——任意 variance 经 max(...,1e-12) 后 ivar 有限、variance≥1e-12；§8：variance_floor<=0 → fill 回退 1e-12 clamp|命令：timeout 60 awk 'FNR==414{print FILENAME":"FNR": "$0} FNR==419{print FILENAME":"FNR": "$0} FNR==423{print FILENAME":"FNR": "$0}' lib/snr_estimator/cpp/src/noise_model.cpp；输出：lib/snr_estimator/cpp/src/noise_model.cpp:414:                 const double var = std::max(a + b * (double)x + c * (double)y, floor);；lib/snr_estimator/cpp/src/noise_model.cpp:419:     } else {；lib/snr_estimator/cpp/src/noise_model.cpp:423:             if (out_variance) out_variance[i] = (float)var;|OPEN|P1-002|无|:419 else 分支把 variance_bg_global/ivar_bg_global 原样写出、无 floor；无合格 patch 时模型 rc=1 而该对量为 0，调用方仍调 fill 即得整帧 variance=0/ivar=0 且 fill 返回 0
M3-H-002|H_NUMERIC|P1|宪章 §4.1/§5.3/§14.4|docs/science/NOISE_MODEL.md §7：量纲一致——variance [ADU²] → ivar [ADU⁻²] 倒数关系精确；snr_estimator.h:181-184 合同 x'=αx → var'=α²var, ivar'=ivar/α²|命令：timeout 60 awk 'FNR==458{print FILENAME":"FNR": "$0} FNR==461{print FILENAME":"FNR": "$0}' lib/snr_estimator/cpp/src/noise_model.cpp；输出：lib/snr_estimator/cpp/src/noise_model.cpp:458:     if (variance) *variance = (*variance) * alpha * alpha;；lib/snr_estimator/cpp/src/noise_model.cpp:461:         if (a2 > 0.0 && std::isfinite(*ivar)) *ivar = (*ivar) / a2;|OPEN|P1-002|无|variance 仍无条件乘 α²，ivar 仅在 α²>0 且有限时改：α=0 得 var=0 而 ivar 保留、α=NaN 得 var=NaN 而 ivar 保留，倒数不变量仍可破；调用面 module_entry.cpp:1413-1414 自述 alpha NaN/负直传、零新增校验（DISP-NOISE-005）
M3b-H-02|H_NUMERIC|P1|宪章 §14.4/§12.3|docs/plugins/algorithms_phase1/04_psf.md §7：残差超门 → validity 标记，不得当“拟合好”；候选星不足 → 明确失败或降级（记录），不静默给帧级 PSF 当空间模型|命令：timeout 60 awk 'FNR==195{print FILENAME":"FNR": "$0} FNR==207{print FILENAME":"FNR": "$0}' lib/dynamic_psf/src/dpsf_psf.cpp; timeout 60 awk 'FNR==2493{print FILENAME":"FNR": "$0}' lib/orchestrator/cpp/src/orchestrator.cpp；输出：lib/dynamic_psf/src/dpsf_psf.cpp:195:             if (x[4] < 0.3) x[4] = 0.3;；lib/dynamic_psf/src/dpsf_psf.cpp:207:     return DPSF_FIT_ITERATION_LIMIT;；lib/orchestrator/cpp/src/orchestrator.cpp:2493:             // status: 0=DPSF_FIT_OK, 3=DPSF_FIT_ITERATION_LIMIT (参数有效亦视为成功)|OPEN|P1-001|无|迭代耗尽仍返回码 3 且步后硬钳位（sx/sy≥0.3、A≥0）后的值被回填；编排层 :2494 的 psf_valid 仍把 status 属于 0 或 3 者判有效，与测光侧仅取 status=0 口径相反；fvec=1e10 与 λ 无界仍在
