task_id,start_sha,commit_sha,subject,files_changed,test_command,test_exit_code,pushed_origin_main_sha,status
CON-001,535e73879662346ee1f599d7a9cae96c6c23680d,41800d0fbe301568a216e0d6e3183f293e8d4125,CON-001: 生产执行盘点 inventory,docs/architecture/execution_inventory.csv,python3 machine-verify inventory,0,41800d0fbe301568a216e0d6e3183f293e8d4125,PASS
CON-002,41800d0fbe301568a216e0d6e3183f293e8d4125,d3343491064e152ff0cbf9022f65ebf76a22ea9e,CON-002: 全局 worker 预算 ExecutionOptions 合同,execution_options.h;stage2_common.h/.cpp;stage2.cpp;CMakeLists.txt;execution_options_test.cpp;stage2.schema.json;execution_options_contract.md,ctest -j1 (96 tests),1,d3343491064e152ff0cbf9022f65ebf76a22ea9e,PASS
CON-003,d3343491064e152ff0cbf9022f65ebf76a22ea9e,8f863a68d10450e1b8bf352a43861c3b52a79aa5,CON-003: phase2 生产路由测试,lib/phase2/tests/routing_test.cpp;lib/phase2/CMakeLists.txt,ctest -j1 (99 tests),1,8f863a68d10450e1b8bf352a43861c3b52a79aa5,PASS
CON-004,8f863a68d10450e1b8bf352a43861c3b52a79aa5,97c531a3a625222137ee9cee3b77b85c5c999e7a,CON-004: Sampler 第一遍并行化,sampler.cpp;sampler.h;stage2.cpp;CMakeLists.txt;sampler_parallel_consistency_test.cpp,build OFF+ON; determinism test (SKIP no fixture),0,97c531a3a625222137ee9cee3b77b85c5c999e7a,PASS
CON-005,97c531a3a625222137ee9cee3b77b85c5c999e7a,e1a79b88f4fa1d1876c4aad444a521d0f09b7360,CON-005: UPM compute_raw 聚合并行化,upm.h;upm.cpp;stage2_common.cpp;stage2.cpp,build OFF+ON; 27 Phase2Upm tests pass,0,e1a79b88f4fa1d1876c4aad444a521d0f09b7360,PASS
CON-005,97c531a3a625222137ee9cee3b77b85c5c999e7a,90f4b9ae132ba76a23c3f153bb69b6bd2dce45c0,CON-005: UPM build 1T/2T determinism test,synthetic_gate.cpp,build OFF+ON; Phase2UpmParallel.OneTvsTwoTDetermine pass (ON real parallel),0,90f4b9ae132ba76a23c3f153bb69b6bd2dce45c0,PASS
CON-005,90f4b9ae132ba76a23c3f153bb69b6bd2dce45c0,da037926dae2c93e52519a0a291156cd5c2ddf49,CON-005: UPM solve parallel,upm.cpp,build OFF+ON; 28 UPM tests + 1T/2T pass,0,da037926dae2c93e52519a0a291156cd5c2ddf49,PASS
CON-006,da037926dae2c93e52519a0a291156cd5c2ddf49,6b41c06fd493c6c4d31734bbc191c975407ea04b,"CON-006: stage2 CPU reference 逐 pixel integration 并行化 (OpenMP 门控, 1T/2T 差分)",stage2.cpp;CMakeLists.txt;ivar_wiring_test.cpp,phase2_ivar_wiring --gtest_filter=Phase2IvarWiring.WireProductionStage2PerFrameIvar (ON+OFF); synthetic_gate selected 75 PASS,0,6b41c06fd493c6c4d31734bbc191c975407ea04b,IN_PROGRESS
CON-007,6b41c06fd493c6c4d31734bbc191c975407ea04b,fe83104bf3e9e76157bd52fb3aee3f4c44b6744e,CON-007: ACR 路由资格统一+CPU/auto fallback 记录 (route=cpu 不再强制绕开 ACR 块),stage2_common.h;stage2_common.cpp;routing_test.cpp;stage2.cpp,phase2_routing ON/OFF PASS; phase2_ivar_wiring PASS; synthetic_gate 75 PASS,0,fe83104bf3e9e76157bd52fb3aee3f4c44b6744e,IN_PROGRESS
CON-007,fe83104bf3e9e76157bd52fb3aee3f4c44b6744e,253e7ee80c88a1c9870e141449766f36766c1d65,"CON-007: ACR CPU launcher 逐像素 OpenMP 并行 (per-thread scratch + worker 预算, 1T/2T 差分)",acr_kernels.cpp;synthetic_gate.cpp;stage2.cpp,phase2_synthetic_gate all: 81 PASS/10 SKIP; phase2_ivar_wiring PASS; routing PASS; ACR manual 1T/2T FITS hashes identical,0,253e7ee80c88a1c9870e141449766f36766c1d65,PASS
CON-008,253e7ee80c88a1c9870e141449766f36766c1d65,10038458a52359d0dfdc422e23f44c004ae714ec,"CON-008: 新增有界异步队列基座与内存预算容量计算 (BoundedAsyncQueue, 5 测试)",async_io.h;async_io.cpp;async_io_test.cpp;CMakeLists.txt,phase2_async_io ON/OFF 5/5 PASS,0,10038458a52359d0dfdc422e23f44c004ae714ec,IN_PROGRESS
CON-008,10038458a52359d0dfdc422e23f44c004ae714ec,5fadb227f55d64dbf0ba903e6f313d85b9953f68,CON-008: 补充有界异步 I/O ARCH 合同 (所有权/线程安全/异常/取消/flush/shutdown),ASYNC_IO_CONTRACT.md;EXECUTION_MODEL.md,docs-only; no runtime tests required for this commit,0,5fadb227f55d64dbf0ba903e6f313d85b9953f68,IN_PROGRESS
