block_name,schema_version,type,dimensions,producer,consumers,created_at_stage,destroyable_at,persistent,notes
data,1,FLOAT32,"[height,width]",READ_FITS,"CALIBRATE;STAR_DETECT/PLATESOLVE;PSF;PHOTOMETRIC;DRIZZLE",READ_FITS,DRIZZLE完成,no,"校准前Light像素;CALIBRATE/PHOTOMETRIC可替换(尺寸不变);禁止NaN/Inf静默进入Drizzle;row-major"
header,1,KV,"[N]",READ_FITS,"all stage handlers",READ_FITS,HISS writer元数据组装,no,"FITS关键字+WCS+观测元数据;各stage仅写自己命名空间键;WCS标准键由PLATESOLVE更新;禁止同键不同单位"
star_det,1,FLOAT64,"[N,6]","STAR_DETECT|PLATESOLVE_INTERNAL_EXPORT","PLATESOLVE(upstream path);PSF;diagnostics",STAR_DETECT或PLATESOLVE,PSF完成后(若不需调试),no,"列:x,y,flux,mag,saturated,has_saturated;单次运行唯一生产者由PlateSolve路径ADR决定;必需header键ASTROCS.STARDET.*;[实现现状:P01-002发现orchestrator.cpp:1465实际写FLOAT32[N,4],待P02对齐]"
psf,1,FLOAT64,"[N,9]",PSF,"PHOTOMETRIC;SNR",PSF,SNR完成后,no,"列:status,B,flux,cx,cy,mean_fwhm,A,mad,eccentricity;行与star_det必须一一对应;不得排序后丢失索引映射"
photo_stats,1,KV,"[N]",PHOTOMETRIC,"SNR;metadata/report",PHOTOMETRIC,HISS writer元数据组装,no,"必需键:schema_version,status,n_matched,scale_factor,sigma_residual,input_data_revision,output_data_revision;[实现现状:键名大写且缺schema_version/input_data_revision/output_data_revision,待对齐]"
snr_model,1,RAW,"[bytes]",SNR,"DRIZZLE;HISS writer",SNR,HISS writer消费后,no(persistent yes in HISS),"布局:uint32 n + n*(double ra,double dec,float snr_psf) + 3*double;必须含schema/version和字节序标识;持久化于HISS;[实现现状:SNR退化时未写入,G-002缺口]"
cal_stats,1,KV,"[N]",CALIBRATE,"metadata/report",CALIBRATE,HISS writer元数据组装,no,"实际使用Master;缩放;坏点;无效值统计;证明真实master使用;[实现现状:CALIBRATE骨架未写入,待实现]"
astrometry_stats,1,KV,"[N]",PLATESOLVE,"metadata/report",PLATESOLVE,HISS writer元数据组装,no,"RMS;匹配数;检测数;catalog数;模型阶数;WCS质量;[实现现状:orchestrator未写入,待实现]"
astrometry_matches,1,FLOAT64,"[M,7]",PLATESOLVE,"diagnostics",PLATESOLVE,PLATESOLVE报告完成(测光候选优化未启用时),no,"可选块;列:star_det_index,x_px,y_px,gaia_ra_deg,gaia_dec_deg,gaia_mag,residual_px;不作为PHOTOMETRIC强依赖;若需source_id须引入v2 RAW块"
gaia_cat,0,FLOAT64,"[N,3]",PLATESOLVE,"PHOTOMETRIC(internal)",PLATESOLVE,PHOTOMETRIC完成,no,"[观察项/未正式契约化]orchestrator.cpp:1529实际生产但04契约未定义;列:ra,dec,mag;待ADR决定纳入注册表或归档为内部临时数据"
