finding_id,severity,category,contract_id,file,symbol,evidence,impact,required_task,status,resolution_commit,resolution_evidence_sha256
F-001,P0,architecture,R-ARCH-01,cli/main.cpp,cmd_run_pipeline,production has direct p1/p2/p3 session calls; no Runtime/Registry reachability,canonical runtime is not production path,RT-008,CLOSED,84191084152a7a216061436e3867c62eeca4e9a8,bcf9e7edbc63b08aeb37623571253f6ef970d75cfa575c18bc2dc539d3476450
F-002,P0,dataflow,R-ARCH-02,cli/main.cpp,cmd_run_pipeline,Phase2 uses doc.inputs.lights after Phase1; Phase3 uses independent config path,no typed P1->P2->P3 artifact continuity,RT-007,CLOSED,d5f5143a04ced96500ff02928339aad336d48bfa,992cf9d4f249e6f2675f82fd679ef9a1ff990f3282f330e0f89d6f09dcde2c7f
F-003,P0,parallelism,R-CPU-03,lib/phase2/src/sampler.cpp,p2_sample_controls,P2_ENABLE_OPENMP absent from CMake and MSVC excluded; default comment says serial,Phase2 can run single-thread on Linux/Windows,P2-001,CLOSED,e8a07e02b83b806b45ea4a77b34491d351326151,f5c7a3a9d5e1e1505e8a97bc68e0caaf651b734e0588073ae680c6fc9fcdb4f7
F-004,P0,parallelism,R-CPU-03,lib/phase2/src/upm.cpp,p2_upm_build,OpenMP guarded and module selects hardware_concurrency outside Runtime,UPM bypasses lease and may be serial or oversubscribed,P2-002,CLOSED,eb116a2574b2d1e880bd08ecd8d439fd8323d88a,69278e4eeef79f125a6ac21cacf53c31e25727862c36799fdc50040d3408f19c
F-005,P0,parallelism,R-CPU-03,lib/phase3_session/p3_session.cpp,p3_session_run,nested y/x production loop explicitly serial,Phase3 heavy resample cannot release,P3-003,CLOSED,7d773cbbdc1e3d1d15ddd7f2d655d12f9c45c655,1d91f5056726e06018456688dcbb1e124ad3558bfd958d9abb2bfe710ee125d0
F-006,P0,resource,R-CPU-04,cli/resource_gate.h,evaluate_gate,no production caller; LNX-004 only one-line unit-test log,low utilization is detected only on paper,MON-002,CLOSED,16abea46f1a928e34cd45f790678876789ea7f14,90bd8d1b61cd49f1efc46e410de4248c0a405e02924b7c690e9a496a9d39a2cc
F-007,P0,concurrency,R-ARCH-01,include/astrocs/core/context.h,ThreadLease,lease has no atomic reservation/release; every node can receive full budget,global worker budget can be oversubscribed,RT-002,CLOSED,30c83b452cdfbd04072b1848feaa65ca5fd0dbc4,6022ca5a9410e153060ec3c695c15119c05b985b89be90336608fe6b7ff2c4a4
F-008,P0,concurrency,R-ARCH-01,lib/core/src/context.cpp,RunContext,shared vectors/maps are mutated without synchronization,parallel nodes can data-race logs metrics artifacts checkpoints,RT-003,CLOSED,a03077ec048d9a150af8e0c46a674a6a0f7dee38,fa17c1eef16b4cdcef26216f70a25c3ca23053bf0d04c8f525d0e07917d26394
F-009,P0,science,R-SCI-02,tests/unit/p2_upm_synthetic_test.cpp,main,toy median solver does not call production UPM,seam regression remains unproven,P2-003,CLOSED,65668e4e49aabc1e42c83efec11798ee6df5e8f0,bd6aa040e445690afda10f66b2ddea0b88f47fd1fb38595467d4df6d1b725e45
F-010,P0,science,R-SCI-03,lib/phase3_session/p3_session.cpp,parse_request,fabs(dec)<5 rejects equator while WCS layer rejects near poles,SCI/API/CODE input domain conflict,P3-001,CLOSED,f3fc3bbf1794f42c0efe28a1720cbf64ceb68253,67c3652f36ed8832811e1c465273d62d0fb32304a09841ee864e51fb09a4c56e
F-011,P0,science,R-SCI-03,lib/phase3_session/p3_session.cpp,p3_session_run,order_sel max=20 and does not control sampler order,reported resolution differs from executed sampling,P3-002,CLOSED,01803fd7bf377e41c81c252611554a52926f1f47,65f2bf00557df468da80d38dd30463be64bbcc945fd2aee1269a78e7e579c464
F-012,P0,science,R-SCI-03,lib/phase3_session/p3_session.cpp,p3_session_run,BUNIT Jy/beam; SWVER 0.1.0; run_id fixed; missing tiles empty,scientific unit and provenance are false,P3-005,CLOSED,9a96b2c43f6450defba8bc2544c4699d5ccd1ac3,8f74f3aab838aedb5902a11add56e513e76464bb8b89e977d814062c283fcf3e
F-013,P0,output,R-REAL-03,lib/phase3_session/p3_output.cpp,p3_output_write_atomic,bitpix request ignored; always -32,API request does not control product type,P3-005,CLOSED,9a96b2c43f6450defba8bc2544c4699d5ccd1ac3,8f74f3aab838aedb5902a11add56e513e76464bb8b89e977d814062c283fcf3e
F-014,P0,output,R-REAL-03,lib/phase3_session/p3_output.cpp,p3_output_verify,does not verify WCS/BUNIT/CHECKSUM and returns OK on mismatch,invalid FITS can be reported valid,P3-005,CLOSED,9a96b2c43f6450defba8bc2544c4699d5ccd1ac3,8f74f3aab838aedb5902a11add56e513e76464bb8b89e977d814062c283fcf3e
F-015,P1,architecture,R-ARCH-04,lib/core/src/pipeline.cpp,PipelineIRParser::validate,validator cannot inspect ports/data/unit; error enums unused,typed pipeline contract is nominal only,RT-004,CLOSED,90cf35a8db8e3df0d1da8b1500e2c6be460e7f95,cba866ed7150f9e43bb4f5c9a30720f7aaa878a0e64835be2dd757fcccbced84
F-016,P1,architecture,R-ARCH-04,lib/core/src/module.cpp,ModuleDescriptor::validate,does not require ALG/DATA/API/TEST or heavy parallel contract,invalid modules may register,RT-005,CLOSED,c764c2bec2599dcbc94f567b8cf0fa1dc7603a9c,0dac976b6040a944db78dc45d435c14b688ba3ef6cf172b37daf009c8f231942
F-017,P1,cli,R-ARCH-01,cli/main.cpp,cmd_drizzle,comment says wrapper but code re-reads FITS and calls hp_drizzle_run_hips,legacy direct science path remains reachable,P1-003,CLOSED,56da7faa4e63ccdab05e915d57fe25a22f8b56b9,1097e2d04a37b2f10dfcc2d001cba2e497466ba2c7fe1b042bf07ea909e3b0f3
F-018,P1,cli,R-ARCH-01,cli/main.cpp,whole_file,1604 lines and direct science/I/O includes,thin CLI requirement not met,RT-008,CLOSED,84191084152a7a216061436e3867c62eeca4e9a8,bcf9e7edbc63b08aeb37623571253f6ef970d75cfa575c18bc2dc539d3476450
F-019,P1,cpu,R-CPU-02,CMakeLists.txt,astrocs_cpu,only one static CPU target; no compiled AVX2/AVX512 provider targets,benchmark cannot route actual provider DLL/so,CPU-001,CLOSED,af6cb259ac95199becc43af8af28dd486dc95585,1bc4888a9a77be9897773d0e2314daefe61e9ece5dbb8c02e057938bc7d60282
F-020,P1,cpu,R-CPU-02,cli/main.cpp,cli_affinity_cpu_count,affinity only; no Linux cgroup quota or Windows Job Object quota,worker budget can exceed effective quota,CPU-002,CLOSED,5b628296a50ee40f556b8cf12d40563ea5c5a374,0e1ce372adc50f6d245e6cbcd1b2722fd94684385f81c35bd837fe77d2176f2f
F-021,P1,testing,R-SCI-03,tests/unit/p3_interp_test.cpp,main,tests regular array helper instead of production HEALPix resampler,interpolation/edge correctness unproven,P3-004,CLOSED,052f44c38efcd992bd1cee2c330906299e19edf4,be1318c157a32a153ddb604945728d82cd972e7d3b84aaa84f0e05cca9fc022a
F-022,P1,testing,R-SCI-03,tests/unit/p3_assembly_test.cpp,main,resource gate is CHECK(true); session bypassed,Phase3 assembly PASS is vacuous,P3-006,CLOSED,26304309ceba57777bfa2737b2c4a032941bd6a1,1917b0a7a028cee79fbe373bfc79d3113ac99303b01fb937961bfcdc536843c0
F-023,P1,testing,R-SCI-02,tests/unit/p2_seam_gate_test.cpp,main,known correction and resource values are inserted by test,does not verify estimator or measured resources,P2-003,CLOSED,65668e4e49aabc1e42c83efec11798ee6df5e8f0,bd6aa040e445690afda10f66b2ddea0b88f47fd1fb38595467d4df6d1b725e45
F-024,P1,documentation,R-DOC-01,docs/contracts/INDEX.yaml,contracts,15 referenced ALG/MOD paths absent from audit and Phase3 ALG remains DRAFT,contract graph is incomplete,DOC-001,CLOSED,635481e1d345c29d1ec7b11c384a09bd0fd107ad,f2b732672c12019e127118ad1367df3efb0f2cbf81d99bd2c31a11abec7f794a
F-025,P1,documentation,R-DOC-01,docs/contracts/API_CONTRACTS.csv,all_rows,422/422 rows share placeholder units/error/determinism fields,API detail is misleading,DOC-003,CLOSED,5ecc60df2d5021d18be04e0e6359d45b7b125b33,5d3b7fb2a741b75e163f8929bb0ccffefeb762f10efad8e1d7b006dd4f1e039b
F-026,P1,documentation,R-DOC-02,tools/check_ast_api.py,main,only 3 headers and only symbol-name presence,AST/API drift checker cannot verify advertised semantics,DOC-003,CLOSED,5ecc60df2d5021d18be04e0e6359d45b7b125b33,5d3b7fb2a741b75e163f8929bb0ccffefeb762f10efad8e1d7b006dd4f1e039b
F-027,P1,documentation,R-DOC-03,tools/check_pipeline_trace.py,main,passes with zero trace and invents P3 output node,pipeline documentation gate is vacuous,RT-009,CLOSED,90cad4951f7885bb9fd13a99f6dd9c11da90a7cd,4568d5d025453426454a8ce2971b6b2c1305fa0b98853c36ee777108e2c422d7
F-028,P1,traceability,R-DOC-03,tools/check_traceability.py,DEFAULT_TABLES,defaults to artifacts/prerelease_v5; final checker hardcodes 66,current V6 traceability not verified,DOC-002,CLOSED,0756ecdf6905c12ed4e6bb4273fda169166e2884,018ac0b7eee5c9fe9720122b28de08f877aa50ff93dcf6ef9c911788d0de8478
F-029,P1,documentation,R-DOC-01,docs/review/RELEASE_STATUS.md,current_status,contradicts REVIEW and SCIENCE_OVERVIEW,owner-facing status is unreliable,DOC-005,CLOSED,54caf70e413535579e2ed1b8bbf8f7eee5f4e295,70464a3b76e7350b676fafb462d19fa3d841e0412560165d2e0cc27e06c55647
F-030,P1,quality,R-QA-01,cli/monitor.h,read_proc_self,%llu used with uint64_t* on LP64; Clang warning,undefined behavior risk and zero-warning claim false,DOC-006,CLOSED,c0927374b5057d7e37b76f78e1df4cd3f0858044,7950c41b001546153d6ac06ae6a12d2ed3c9b99e8ed056b57004e0c70f81fcf9
F-031,P1,quality,R-QA-02,evidence/refactor/tasks/QA-003/TASK_RESULT.json,tests,LSan disabled and no TSan production trace,memory/thread safety not closed,LNX-003,CLOSED,db5c3bd1d0764c0b6ddc389c320c8d954382890e,6923d99f90872d1a973c74d0206b4351ce9a3a2b2dc04cf786d599181c0d9871
F-032,P1,audit,R-AUD-01,audit_package,root,missing SUMMARY SOURCE_IDENTITY ledgers summaries manifests and validators,audit result cannot be independently reproduced,REL-003,OPEN,,
F-033,P1,audit,R-AUD-01,audit_package,source_snapshot,42 explicit self-owned CMake paths and all algorithms omitted,source snapshot cannot configure/review,REL-003,OPEN,,
