ID|原类别|原优先级|旧判据(文档+节号/路径)|最新权威条款|当前证据(命令+输出)|结论|归属|GAP关系|备注
M7-A-120|A_SCI_DEF|P1|旧宪章 §4.1 不得混淆的量十表（ASTROCS_PROJECT_CONSTITUTION.md::§4.1）|docs/design/UNIFIED_MODEL.md §2：数据对象各处一义、禁止互相冒充（含 source_snr/coverage/validity/rejection/provenance）；ASTROCS_DESIGN.md §2 同款|命令：python3 -c "L=open('docs/GLOSSARY.md',encoding='utf-8').read().split(chr(10));print(sum(1 for l in L if l.startswith(chr(124)+' ')), [sum(1 for l in L if l.startswith(chr(124)+' '+t+' ')) for t in ['snr','quality','coverage','validity','rejection_mask','provenance']])"；输出：19 [0, 0, 0, 0, 0, 0]|OPEN|DOC-001|无|词典自称唯一术语权威，宪章 §4.1 十量中 snr/quality/coverage/validity/rejection_mask/provenance 六条无独立词条（coverage 仅作 support 的 legacy alias 反向登记），口径出口缺口仍在
M7-A-121|A_SCI_DEF|P1|无（原判据即现行权威：docs/science/PHASE2_UPM.md §3/§5 与 docs/science/CONTROL_WEIGHT_SNR.md §6 对同名 quality 的类型声明）|ENGINEERING_SPEC §3：数据对象按 UNIFIED_MODEL 区分，禁止一个字段承载多个含义；docs/design/UNIFIED_MODEL.md §2|命令：sed -n '29p' docs/science/PHASE2_UPM.md ； sed -n '38p' docs/science/CONTROL_WEIGHT_SNR.md ； grep -n '(void)mode' lib/phase2/src/upm.cpp；输出：quality, geom: 无量纲 [0,1] ； frame quality 为每星点 Phase1 SNR 目录质量位（uint32 位掩码） ； 178: (void)mode;|OPEN|DOC-001|无|子事实「flags→因子映射无定义」已闭（PHASE2_UPM_IMPL.md:163 给 16→0/2→0.1/1→1.0/未知→0.5，upm.cpp:181-185 实现）；仍开的是两份 FROZEN SCI 同名两类型互不指认、quality_mode 声明域（0=flags 映射）与实现 (void)mode 不符
M7-A-122|A_SCI_DEF|P1|无（原判据即现行权威：docs/science/NOISE_MODEL.md §2 符号表）|ENGINEERING_SPEC §3：weight/variance/ivar 定义与单位不可模糊；docs/design/UNIFIED_MODEL.md §2|命令：sed -n '16p;29p' docs/science/NOISE_MODEL.md；输出：:16 ivar 记 (pixel⁻²·ADU⁻²) ； :29 同篇量纲表记 ivar: ADU⁻²|OPEN|DOC-001|无|同篇 §2 与 §3 单位互斥（差像元面积因子平方），全部下游合同记 ADU⁻²，pixel⁻² 无依据
M7-A-123|A_SCI_DEF|P1|docs/contracts/DATA_SEMANTICS.md §9.4/§10.3/§28.2 + docs/interfaces/data/DATA-002 + docs/science/PHASE3_HIPS_TO_FITS.md §7（合同层非链上）|docs/design/UNIFIED_MODEL.md §2：validity/coverage/rejection 各是各，rejection 不是 coverage；ENGINEERING_SPEC §3 禁止一个字段承载多个含义|命令：sed -n '39,41p' docs/interfaces/data/DATA-002_PHASE_PRODUCT_EXCHANGE.md ； grep -n '不作为产品输出' docs/contracts/DATA_SEMANTICS.md；输出：三 phase 平面集均含 mask ； 177 与 218 两处判 mask 不作为产品输出|OPEN|DATA-001|无|交换校验器仍要求 mask 平面，而 P1 坏点掩膜/P2 rejection accepted/P3 coverage 派生三处语义互斥且均声明不外销，须先钉 mask 权威定义域
M7-A-124|A_SCI_DEF|P1|docs/GLOSSARY.md::variance/ivar 行（自称唯一术语权威）|docs/contracts/DATA_SEMANTICS.md §4a：DATA-UNC-001 无覆盖值双值消解（模型方差/经验方差），Phase2/3 输出以 §30 为唯一权威；docs/design/UNIFIED_MODEL.md §2|命令：sed -n '10,11p' docs/GLOSSARY.md ； grep -n 'DATA-UNC-001 登记' docs/contracts/DATA_SEMANTICS.md；输出：词典仍写 无覆盖像素=0 与 variance=0/缺失→ivar=0 单值口径 ； :45 DATA-UNC-001 双值消解已在合同生效|OPEN|DOC-001|无|词典权威锚仍指 §4a 却未同步 §30 的 NaN 同态双值口径，「不得混淆」在词典层失效
M7-A-125|A_SCI_DEF|P1|无（原判据即现行权威：docs/algorithms/PHASE2_INTEGRATION.md::weight_mode 块）|docs/science/PHASE2_UPM.md §5 SCI-UPM-WEIGHT-001：禁 production 乘 support^p，support 仅 eligibility/coverage；docs/contracts/DATA_SEMANTICS.md §27.2 红线禁 support 冒充 ivar|命令：sed -n '125,127p' docs/algorithms/PHASE2_INTEGRATION.md ； grep -n '禁 support 冒充 ivar' docs/contracts/DATA_SEMANTICS.md；输出：ALG 写 weight_mode=2 → ivar_valid?ivar:support（ivar 缺失样本 fallback support） ； :1062 红线: 禁 support 冒充 ivar|OPEN|P2-002|无|ALG 仍以「定义式」把退化回退写成枚举语义；合同层已改 fail-closed rc=7 + 显式降级标红，ALG 未跟随，属越权定义 SCI 语义
M7-A-126|A_SCI_DEF|P1|无（原判据即现行权威：docs/algorithms/REJECTION_ALGORITHMS.md §2 F4/§12）|ENGINEERING_SPEC §3：排异规则、精度与默认容差不可修改且须逐式明确；ASTROCS_DESIGN.md §11.1 每个模型有独立解析 Oracle|命令：sed -n '1436,1439p' lib/phase2/src/rejection.cpp ； sed -n '17p' docs/algorithms/REJECTION_ALGORITHMS.md；输出：sigma = Σ abs(residual)/N（平均绝对残差，未乘 √(π/2)=1.2533） ； 文档 F4 写 linear_fit 为「线性拟合残差MAD尺度」|OPEN|P2-001|无|σ 未逐法给闭式且文档与代码互斥：Gaussian 下 E abs(r)=0.7979σ，名义 5.0/3.5 阈实际等效 3.99σ/2.79σ，拒收率随法漂移
M7-A-127|A_SCI_DEF|P1|无（原判据即现行权威：docs/algorithms/REJECTION_ALGORITHMS.md §2 F5 + docs/science/REJECTION.md §11 文献定位）|ENGINEERING_SPEC §3：排异规则与适用范围不可模糊；ASTROCS_DESIGN.md §11.1|命令：sed -n '18p' docs/algorithms/REJECTION_ALGORITHMS.md ； grep -c -e 'n≥15' -e 'n>=15' docs/algorithms/REJECTION_ALGORITHMS.md；输出：F5: ESD: Rosner α=0.05 max10 双sqrt已修 ； 0|OPEN|P2-001|无|α=0.05 被当冻结统计判据引用，NIST 自述近似有效性域 n≥15/25 全文 0 命中，无 n<15 降级路径
M7-A-128|A_SCI_DEF|P1|无（原判据即现行权威：docs/algorithms/STAR_DETECTION_ALGORITHMS.md §11.4 F1）|ASTROCS_DESIGN.md §11.1：科学不变量与 Oracle 必须可证伪；ENGINEERING_SPEC §5.1 科学不变量/性质测试必备|命令：sed -n '257p' docs/algorithms/STAR_DETECTION_ALGORITHMS.md；输出：完整性: SNR≥10 星召回 ≥99%|OPEN|P1-001|无|判决域用未平滑原图 5·σ_raw，而平滑核 σ_k=2 把白噪声降为 0.14105σ_raw ⇒ 阈等效 35.45σ_smooth；SNR=10 源在判决图峰值上界 10σ_smooth，门数学不可达且无在册用例
M7-A-129|A_SCI_DEF|P1|无（原判据即现行权威：docs/algorithms/PHASE3_RSMP_IMPL.md §6.5/§6.6 + docs/algorithms/PHASE3_RESAMPLE.md §5c/§8/§9 + docs/science/PHASE3_HIPS_TO_FITS.md §9a-7）|docs/science/PHASE3_HIPS_TO_FITS.md §9a-7：bilinear 4 邻域权重和恒为 1，无增益/衰减伪影；ENGINEERING_SPEC §3 归约与精度口径不可模糊|命令：sed -n '191,193p' docs/algorithms/PHASE3_RSMP_IMPL.md；输出：den≤0（背面/退化）跳过该象限 ； w11=uv（FP64 计算，Σw=1 精确成立——SCI §9a-7 不变量|OPEN|P3-002|无|跳象限不重归一使 Σ(kept w)<1，常数场输出 (Σkept w)·C，而文档仍断言 Σw=1「精确成立」且未声明累加 dtype 与 ±ULP 口径
