ID	原类别	原优先级	producer	文件	行	标题	旧位置字段	旧证据字段	旧条款字段	fix_state	verified_state
M3-E-001	E_TRACE_BREAK	P0	M3	问题扫描/findings/E_TRACE_BREAK/p0/M3_L05_L07.md	9	校准 / 测光 / 噪声三域的追溯行与合同尾注存在行级失真：VERIFIED 行的测试锚不覆盖被验门，合同尾注用非法测试 ID	:第 20 行（requirement_id=SCI-CAL-001）` —— 逐列读取结果：`title=校准科学门（bias/dark/flat/cosmetic）`、`public_api` 列 4 个 ac_*（**无 `ac_correct_frame`**）、`test_ids=TEST-CAL-001`、`test_files=lib/calibration/tests/test_photometry_apply.cpp`、`status=VERIFIED`。 ；2. `lib/calibration/tests/test_photometry_apply.cpp::文件头两行`（复核时点 :2-3）—— 自述被测对象为 `apply_photometry()` 与 FITS Writer 的 `photscal/photappl` 元数据。 ；3. 真实验证载体与该行无映射	requirement_id,requirement_type,title,authority_doc,algorithm_id,module,public_api,implementation_files,implementation_symbols,test_ids,test / SCI-CAL-001,science,校准科学门（bias/dark/flat/cosmetic）,…,TEST-CAL-001,lib/calibration/tests/test_photometry_apply.cpp,-,-,PRE_RELEASE_ENGINEERIN	宪章 §17.2（追踪无断链属发布门禁）、§12.3-1（事实性陈述与证据指针必须可定位）、§12.3-4（核心合同至少一个独立测试）、§11	FIXED	FIXED-PARTIAL
M6b-E-001	E_TRACE_BREAK	P0	M6b	问题扫描/findings/E_TRACE_BREAK/p0/M6b_L16_L18.md	8	追溯矩阵双头：权威明文是 SPEC JSON，但全部活动路由面（README-DOCS / DEVELOPER_GUIDE / API_STANDARD / 9 份 SCI 尾注 / DOCUMENT_INDEX / CI changed_	:§1 事实源声明`（现 :15-16） ；`docs/README-DOCS.md::L0-L5 表 追溯行`（现 :13） ；`docs/DEVELOPER_GUIDE.md::规范标准行`（现 :38） ；`docs/standards/API_STANDARD.md::API 契约 ID`（现 :12-16） ；`docs/science/{PHOTOMETRY:122, CONTROL_WEIGHT_SNR:86, CALIBRATION:123, ACR_EQUIVALENCE:115, PSF:113, NOISE_MODEL:130, INTEGRATION:118, SCIENCE_SCOPE:62, ASTROMETRY:162}::测试映射尾注` ；`docs/TRACEABILITY.csv::requirement_id/test_ids/test_files 列	（SPEC:15-16）- `docs/traceability/TRACEABILITY_MATRIX.json`（权威，机器真相）／- `docs/traceability/TRACEABILITY_MATRIX.csv`（同构视图，供人工/diff） / （README-DOCS:13）追溯             docs/TRACEABILITY.csv（唯一矩阵） / （DEVELOPER_GUIDE:38）- 规范标准：`docs/standards/`；追溯：`docs/TRACEABILITY.csv` / （API_STANDARD:14-16）每个稳定公共 API 关联 	追溯矩阵单一职责面）、§16.1（唯一输入原则的同型要求）、§17.2（文档—模块—源码符号—测试追踪无断链，发布门禁）；`docs/traceability/TRACEABILITY_SPEC.md::§1`（权威=JSON）。	OPEN	STILL
L28c-E-001	E_TRACE_BREAK	P1	L28c	问题扫描/findings/E_TRACE_BREAK/p1/L28c.md	9	runtime/pipeline/typed_dag_contract.h 以「编译期合同 + ABI 冒烟测试锁定」自我背书，但该头全仓零消费者、不在任何构建/测试源列表，被指派的锁不存在	1、:61-62、:3-6、:43-44、:48、:52、:119-120	":1 ""// AstroCS Runtime — RT-001 typed DAG node 合同（冻结头，编译期合同）"" / :61-62 ""// RT-001 node 合同：id/module_id/operation/ports/config/resource class/phase。 / // 冻结字段顺序不得重排（ABI 冒烟测试锁定 layout 断言）。"" / :48 ""std::string data_schema_id;   // \""DATA-xxx\"""" / :52 ""std::string shape_hint;       // \""[H,W]\"" | \""[N,2"	宪章 §12.2（注释只解释非显然决定，禁审计流水）；§12.3-3「算法实现引用有效 SCI/ALG」；RQS-PROTOCOL-001 §1 E_TRACE 定义「悬空引用（指向不存在的文件/符号/章节）」「ID 未经定义即被引用」；L28b R-6b（锚必须有宿主）与 R-6c（注释被指派为权威必须回写 L1）；L28b R-3（占位形 DATA-xxx、空括号不計为溯源）	OPEN	
L28c-E-002	E_TRACE_BREAK	P1	L28c	问题扫描/findings/E_TRACE_BREAK/p1/L28c.md	30	spectrum_integrator.h 把合成流量 F_syn 的数值参考实现指向仓内不存在的 Python 路径，同头另一锚又指向模块内 docs/ 路径（该面亦不存在）	3、:7（并 :35-:36）	":3 ""// 契约锚: docs/algorithms/PHOTOMETRIC_FIT.md (ALG-PHOTOMETRIC-FIT-*) + docs/science/PHOTOMETRY.md (SCI-PHOT-001) + lib/photometric_calib/d / :7 ""// 参考: lib/photometric_calib/spectrum_integrator/p"	宪章 §12.3-3、§12.2；RQS-PROTOCOL-001 §1 E_TRACE「悬空引用」；L28b R-2①（通配形须同窗口另给存在的路径方可）与 R-6b（锚必须有宿主）	OPEN	STILL
L28e-E-001	E_TRACE_BREAK	P1	L28e	问题扫描/findings/E_TRACE_BREAK/p1/L28e.md	6	16 枚 TEST-UPMW/TEST-PR-UPM 被 TRACEABILITY.csv 记 VERIFIED，但 ID 在全仓真源零字面命中	58-64（TEST-UPMW-001..007）、:41,43,45,47,49,51,53,55,57（TEST-PR-UPM-002..010）；登记所指测试文件 lib/phase2/tests/synthetic_gate.cpp:3915-4000 与 lib/healpix_db/healpix_drizzle/tests/control_median_mc_test.cpp；ID 铸造处 tools/quality/v19r3_traceability.py:294/:311/:357；对照组 lib/snr_estimator/cpp/test/noise_model_science_test.cpp:5	docs/TRACEABILITY.csv:58 → TEST-UPMW-001,science,UPM 权重门 UPMW-001（V19R3）,docs/science/PHASE2_UPM.md,,phase2,p2_upm_raw_weight;  p2_upm_build / tools/quality/v19r3_traceability.py:3	宪章 §12.3-4（每条要求须有可定位 Oracle/测试）、§13.1/§13.2（验证层级）、§11（科学定义=算法=接口=代码=测试）；L28b R-2①（具体 ID 锚且登记面可解析）、R-6b（锚必须有宿主）	OPEN	
L28e-E-002	E_TRACE_BREAK	P1	L28e	问题扫描/findings/E_TRACE_BREAK/p1/L28e.md	22	DATA_ARTIFACTS.md schema 表 15 枚数据合同 ID 在册而全仓真源零承载；校验器只验表内自洽	12-16（DATA-IMG-VAR/IVAR/WEIGHT/SUPPORT/MASK-001）、:18-19（DATA-CAT-PSF-001、DATA-CAT-PHOT-001）、:25（DATA-REJ-MAP-001）、:27（DATA-P3-FITS-001）、:39（DATA-REG-001）、:48 附近的 ARTIFACTS 行与 docs/interfaces/data/DATA-004_PRODUCT_PROVENANCE.md:3、docs/interfaces/data/DATA-002_PHASE_PRODUCT_EXCHANGE.md:3（DATA-PRODUCT-PROVENANCE-001、DATA-PRODUCT-EXCHANGE-001）、docs/contracts/INDEX.yaml:637/:710（DATA-ARTIFACTS-001）；对照纪	docs/contracts/DATA_ARTIFACTS.md:13 → | DATA-IMG-IVAR-001 | inverse variance | f32/f64 | [H,W] | ADU⁻² | pixel | ivar=0 显式不可用 | unique | FIT / docs/contracts/DATA_ARTIFACTS.md:42-48 → 两 ID 早已在 DATA_SEMANTICS §29.5…、生产 descriptor（lib/core/src/module_adapters.cpp:498-499 与 :459/:498）、	宪章 §11、§12.3-2/-3（接口与实现引用有效 DATA/ALG 锚）、§12.1 权威分层；L28b R-2①、R-4（D 类“该有”正面标准）	OPEN	
L28e-E-003	E_TRACE_BREAK	P1	L28e	问题扫描/findings/E_TRACE_BREAK/p1/L28e.md	37	PHASE2_UPM.md 把 ALG-UPM-002/003/004 与具名符号逐条绑定，实现文件只挂另一套语义式 ID	113-115；实现 lib/phase2/src/upm.cpp:10-12、:23、:495-496、:943、:1308；L2 面 lib/phase2_upm/module.yaml:82、lib/phase2_upm/README.md:38/:178、lib/phase2_session/README.md:69、lib/hips_p2/README.md:170；同族另 5 枚 docs/algorithms/PHASE2_INTEGRATION.md:302（ALG-INT-002）、docs/science/CONTROL_WEIGHT_SNR.md:4（ALG-CW-001）、docs/modules/snr_estimator.md:34（ALG-NOISE-MAD-001）、docs/algorithms/PHASE2_SAMPLER.md:449（ALG-P2SA	docs/science/PHASE2_UPM.md:113 → - ALG-UPM-002 p2_upm_calibrate_block 双线性校正 / docs/science/PHASE2_UPM.md:114 → - ALG-UPM-003 p2_upm_raw_weight / p2_upm_normalized_weights 权重 / docs/science/PHASE2_UPM.md:115 → - ALG-UPM-004 aio_upm 持久化绑定 / lib/phase2/src/upm.cpp:10-12 → // SCI-UPM-WEIGHT-001；control_	宪章 §12.3-3（算法实现引用有效 SCI/ALG）、§11；L28b R-2①、R-4（ID 与具名符号同段绑定 ⇒ 代码侧锚既必需又零成本可放）、R-6b	OPEN	
M1a-E-001	E_TRACE_BREAK	P1	M1a	问题扫描/findings/E_TRACE_BREAK/p1/M1a_L01_L02.md	3	文档锚系统性失真 + 状态声明被现实反驳（本轮已按符号重锚，未因漂移剔除任何结论）	::27-33（构建/调用现状声明）；docs/algorithms/PLATESOLVE.md::符号表 与 §3；docs/science/ASTROMETRY.md::§2 符号表锚列；CMakeLists.txt::（对照侧）	（module.yaml:29-31）…**未编入根 CMake 主构建（根 CMakeLists.txt 无 ipv 目标）**——CMake 集成归 P1-WCS-IMPL。生产 / # 调用=orchestrator.cpp:1758 run_stage_platesolv / （module.yaml:3-8）ipv_entry.cpp 12 个 C ABI 导出（ipv_solve_create **:237** / ipv_solve_destroy **:249** / … ipv_solve_from_detections_v1 **:524* / （CMakeLists.tx	"宪章 §12.3-9（无断链）、§13.1、§17.1；10_PROTOCOL""锚须可定位""判据"	OPEN	
M1a-E-002	E_TRACE_BREAK	P1	M1a	问题扫描/findings/E_TRACE_BREAK/p1/M1a_L01_L02.md	20	C ABI 注释与 ALG/SCI 引用的规范文件在仓内不存在（悬空引用族）	::126；lib/plate_solve/cpp/ipv/src/ipv_solver.h:::108/:236；lib/plate_solve/cpp/ipv/REPORT.md:::10；docs/algorithms/PLATESOLVE.md（承接引用）	（ipv_api.h:126）详见 `docs/05_STAR_DETECT_PSF_DEDUP_SPEC.md`（glob `docs/0[45]_*` → **0 命中**） / （REPORT.md:10）V4.x 旧版 16 项资产已迁移至 `lib/plate_solve_old/v4_archive/`（glob `lib/plate_solve_old/**` → **0 命中**） / （残留物实测）lib/plate_solve/cpp/ipv/ 下存在 `make_clean_err.txt`、`make_clean_out.txt`、`siril_atpmatch_b64	宪章 §12.3-9（无断链）、§4.1；AGENTS.md 目录规范（运行产物不得散落源码树）	OPEN	
M1a-E-003	E_TRACE_BREAK	P1	M1a	问题扫描/findings/E_TRACE_BREAK/p1/M1a_L01_L02.md	34	Phase3 实现合同的行数与逐符号锚系统性漂移（与 M1a-E-001 同族，独立文件域）	::11-12；docs/algorithms/PHASE3_RSMP_IMPL.md:::13-14；对照 lib/phase3_session/p3_wcs.h / ::p3_wcs.cpp / ::p3_resample.h（实测行数）	（PHASE3_PROJ_IMPL.md:11-12）p3_wcs.h **50 行** / p3_wcs.cpp **165 行**（实测 2026-09-11） / （实测）lib/phase3_session/p3_wcs.h = **63 行**；p3_wcs.cpp = **230 行**；p3_resample.h = **116 行**（合同称 58 行）	宪章 §12.3-9、§13.1	OPEN	
