ID|原类别|原优先级|旧判据(文档+节号/路径)|最新权威条款|当前证据(命令+输出)|结论|归属|GAP关系|备注
V10-N-09|C_ALG_IMPL|P2|旧路径 cli/commands.cpp:204/1081/1286/1672 strtol 裸解析 + aio_log.cpp:22 等 atoi(getenv)；旧扫描轴判据=问题扫描/_verify/V10.md §2「同仓正对照」口径（非权威链文档）|ASTROCS_DESIGN.md §6.1：CLI 薄入口职责限定为命令解析、配置预检、运行控制、机器输出、取消与退出码；docs/plugins/infrastructure/21_observability.md §5：log_level 默认 info|命令：grep -c "strtol(sleep_ms, nullptr, 10)" cli/commands.cpp; grep -n "AIO_LOG_INFO  =" lib/astro_image_io/src/aio_log.h；输出：4 ／ 4:    AIO_LOG_INFO  = 0,|VOID|NEXT-PACK:NP-01|无|原判据为旧扫描轴自设「同仓正对照」口径（非权威链文档）；实测三处 *_log.cpp 越界值回退 INFO 且 0 即 AIO_LOG_INFO=默认值（非「日志静默」），strtol 站点全在 ASTROCS_TEST_* 测试钩子（V7-N-09 第 9 条已判非缺陷）；最新权威链无「环境变量严格解析」条款，故不构成偏差；如负责人要求严格解析可立 NP-01
V20-N-02|C_ALG_IMPL|P2|无（原判据即现行权威；站点=旧路径 lib/hips/src/module_entry.cpp:307/387/666/844 与 lib/snr_estimator/src/module_entry.cpp:473）|ASTROCS_DESIGN.md §9：plan 是预期，trace 是实际观测，禁止把计划值伪装成实际值；docs/plugins/infrastructure/19_runtime.md §4：一个进程只有一个资源调度器与线程预算源|命令：sed -n '307p;666p;844p' lib/hips/src/module_entry.cpp；输出：uint32_t max_workers;      /* 0 = 无 config 上限 (事务恒串行, 仅作回显) */ ／ "\"min_workers\":1,\"max_workers\":1," ／ ex->acquire(ex->user_data, 1) != 0) {|OPEN|RT-001|无|六模块解析、四模块 want 收缩（cal:942/cos:760/drz:912/gaia:662）复核不变；hips 仍 plan 硬写字面量 min/max_workers=1 且租约恒 acquire(1)，注释「仅作回显」不实；snr 站点现为 lib/snr_estimator/src/module_entry.cpp:473（untracked 件），plan 不输出该键 ⇒ 用户设 4 产物报 1
V20-N-03|C_ALG_IMPL|P2|无（原判据即现行权威；站点=旧路径 lib/snr_estimator/src/module_entry.cpp:447-472）|ENGINEERING_SPEC.md §8：检查器覆盖模块 manifest/注册表/构建 target/产品清单一致、API 文档与 AST 一致；ASTROCS_DESIGN.md §9：禁止把计划值伪装成实际值|命令：python3 -c "ls=open('lib/snr_estimator/src/module_entry.cpp',encoding='utf-8').read().splitlines(); print('cfg_present writes', len([1 for l in ls if 'cfg_present = 1' in l]), 'other refs', [i+1 for i,l in enumerate(ls) if 'cfg_present' in l and 'cfg_present = 1' not in l]); print('variance_floor_given refs', [i+1 for i,l in enumerate(ls) if 'variance_floor_given' in l])"；输出：cfg_present writes 13 other refs [360] ／ variance_floor_given refs [361, 472]|OPEN|P1-002|无|cfg_present 13 写 0 读、variance_floor_given 1 写 0 读复现；外层 variance_floor(362) 仅 472 写、唯一读点 1111 读内层 c->cfg.variance_floor ⇒ 死存储；同结构体 alpha_given/variance_given/ivar_given 仍 read=3 作正对照；该 TU 仍 untracked（git status ?? lib/snr_estimator/src/），接线前必修
V20-N-04|C_ALG_IMPL|P2|无（原判据即现行权威；站点=旧路径 cli/commands.cpp:657 curve_points 与 cli/resource_events.h:96 build_curve）|ASTROCS_DESIGN.md §9：plan 是预期，trace 是实际观测，禁止把计划值伪装成实际值；docs/plugins/infrastructure/21_observability.md §8：事件与 run 产物一致性（trace 反映实际）|命令：sed -n '658,661p' cli/commands.cpp; grep -rn "build_curve" cli/；输出：if (detail == "timeseries") { ／ payload["curve_points"] = nlohmann::json::array(); ／ cli/resource_events.h:96:inline std::vector<ResourcePoint> build_curve(const std::vector<ProcSample>& samples,|OPEN|OBS-001|无|curve_points 仍恒空数组、downsample_max 仍常量 121（kDownsampleMax）、build_curve 在 cli/ 零生产调用；两档唯一差别仍是多这两个字段；守卫 tests/cli/test_monitor_events.py:119-127 仍只断言 downsample_max/raw_dir 存在（注释自认 only a marker array (empty)）⇒ timeseries 档从未产出曲线点
V20-N-05|C_ALG_IMPL|P2|无（原判据即现行权威；站点=旧路径 cli/parser.cpp:336/346-362 kSessionKeys）|ASTROCS_DESIGN.md §3.5：存在 error 时强制阻断运行（-y 也不行）；§6.3：退出码 2=CLI 参数或配置错误；docs/plugins/infrastructure/18_cli.md §7：参数错误→2、输入缺失/格式错→3|命令：sed -n '350p;361,362p' cli/parser.cpp；输出："output_fits_path", "sampler_used", "mode", ／ const bool flat_session = session_mode && ／ std::any_of(kSessionKeys.begin(), kSessionKeys.end(),|OPEN|CLI-002|无|三键仍只在 kSessionKeys 与 runtime_client.cpp:43 contains() 出现，值零读（value("mode") 生产面 0 命中）；flat_session 判定仍使 schema_version(365) 与 inputs(374) 两项必填校验被跳过 ⇒ 不携带语义的键集仍是合同旁路开关；真实输出路径仍由生产者写死
V20-N-07|C_ALG_IMPL|P2|无（原判据即现行权威；站点=旧路径 lib/calibration/src/module_entry.cpp:790/1076 与 lib/cosmetic/src/module_entry.cpp:623/852）|docs/ci/01_CHECKS.md §2：CHK-WARN 编译警告（MSVC /W4 /WX、GCC -Wall -Werror）门禁 P0；ENGINEERING_SPEC.md §5.1：每模块必备测试含边界、NaN/Inf、空输入、极端参数、错误输入|命令：python3 -c "ls=open('lib/calibration/src/module_entry.cpp',encoding='utf-8').read().splitlines(); print('build_out_manifest(790-829) err refs', sum(1 for l in ls[789:829] if 'err' in l)); print('cal_describe(1076-1125) self refs', sum(1 for l in ls[1075:1125] if 'self' in l))"; grep -c "(void)self" lib/calibration/src/module_entry.cpp; grep -n "(void)what" lib/calibration/src/module_entry.cpp；输出：build_out_manifest(790-829) err refs 1 ／ cal_describe(1076-1125) self refs 1 ／ 778:    (void)what;|OPEN|MOD-001|无|build_out_manifest(cal/cos) 函数体仅签名 1 处 err、唯一出口 return ACS_OK ⇒ 出参错误对象永不填充；cal_describe/cos_describe 体内 self 仅签名 1 处且无 (void)self（同族其余 4 模块仍写 (void)self）；decode_plane 的 what 仍 (void) 丢弃（cal:778）⇒ 四平面失败共用同一句话；根 CMakeLists.txt:653/656 的 -Wall -Wextra 白名单仍不含 cal/cos/drizzle/hips（其 CMakeLists 只加 -fopenmp）；41 处 (void) 未逐处重算
V20-N-08|C_ALG_IMPL|P2|无（原判据即现行权威；站点=旧路径 lib/core/src/module_adapters.cpp:5305-5306 与 lib/phase3_session/p3_session.cpp:99-102/128-129）|ASTROCS_DESIGN.md §9：manifest 至少记录…坐标 frame…；plan 是预期、trace 是实际观测；§5.3：缺所选模式所需信息→拒绝或明确 unavailable|命令：grep -n "frame must be icrs" lib/phase3_session/p3_session.cpp; grep -n "coverage_output must be mask" lib/phase3_session/p3_session.cpp; python3 -c "ls=open('lib/core/src/module_adapters.cpp',encoding='utf-8').read().splitlines(); print('P3nGeom frame/coverage_output refs', [i+1 for i,l in enumerate(ls) if 'g->frame' in l or 'g->coverage_output' in l or 'g.frame' in l or 'g.coverage_output' in l])"；输出：102:            s->last_error = "frame must be icrs"; ／ 129:    if (covout != "mask") { s->last_error = "coverage_output must be mask"; return ACS_ERR_PARAM; } ／ P3nGeom frame/coverage_output refs [5305, 5306]|OPEN|P3-002|无|可配域仍为单点（frame∈{icrs,ICRS}、coverage_output=mask），两字段全仓仅 5305/5306 两次写入、零读者；同 struct 的 projection/sampler/bitpix 仍有真消费 ⇒ 非整块死码；与 V7-N-09 第 3 条不冲突（值域硬拒 + 合法域单点）
V20-N-09|C_ALG_IMPL|P2|无（原判据即现行权威；站点=旧路径 lib/gaia_xpsd_client/src/module_entry.c:443/650/666/730 与 lib/core/src/module_adapters.cpp:5305-5306）|ENGINEERING_SPEC.md §8：检查器覆盖模块 manifest/注册表/构建 target/产品清单一致；ASTROCS_DESIGN.md §9：禁止把计划值伪装成实际值|命令：python3 -c "ls=open('lib/gaia_xpsd_client/src/module_entry.c',encoding='utf-8').read().splitlines(); print('cancel_active refs', [i+1 for i,l in enumerate(ls) if 'cancel_active' in l]); p=open('lib/core/src/module_adapters.cpp',encoding='utf-8').read().splitlines(); print('P3nGeom frame/coverage_output assign', [i+1 for i,l in enumerate(p) if 'g->frame =' in l or 'g->coverage_output =' in l]); print('noise_cfg cfg_present writes 13 reads 0 (see V20-N-03)')"；输出：cancel_active refs [443, 650, 666, 730] ／ P3nGeom frame/coverage_output assign [5305, 5306] ／ noise_cfg cfg_present writes 13 reads 0 (see V20-N-03)|OPEN|RT-001|无|抽核 3/6 结构体 6/18 字段全部复现：cancel_active 1 声明 3 写 0 读（取消通道本地残留端，与 W3-R2-002 互证）、P3nGeom 2 字段 2 写 0 读、noise_cfg.cfg_present 13 写 0 读；未逐字段重算全 18 字段（drz_cfg×7/hips_cfg×1/drz_rows.n_bytes 未复算）⇒ 「只写不读已成簇」成立
V20-N-11|C_ALG_IMPL|P2|无（原判据即现行权威；站点=旧路径 lib/core/src/module_adapters.cpp:2662/2675-2676/2787）|ASTROCS_DESIGN.md §5.3：缺所选模式所需信息→拒绝或明确 unavailable；§3.5：存在 error 时强制阻断运行|命令：sed -n '2675,2676p;2787p' lib/core/src/module_adapters.cpp；输出：snr_max_sources = sc.value("max_sources", 0); ／ if (snr_max_sources < 0) snr_max_sources = 0;   // <0 非法 -> 视为不限 ／ frame["snr_max_sources"] = snr_max_sources;|OPEN|P2-001|无|写 -1/不写/写 0 三态仍折叠为同一 0，产物只留 frame[snr_max_sources]=0 且无判别位 ⇒ 事后无从区分；同函数 precision_mode(2973-2986)/nside/pixfrac/nested 四键仍 fail-closed、sigma_location_se_status(2799) 仍有判别位先例；axis 定 P3 但账本落三档内 P2，本文按分配表 P2 记
V20-N-12|C_ALG_IMPL|P2|无（原判据即现行权威；站点=旧路径 lib/core/src/module_adapters.cpp:5999 读 与 5896-5915 写）|ASTROCS_DESIGN.md §9：manifest 至少记录产品类型/schema 版本、软件来源、run ID、算法 ID、模块 build ID、实际 provider、生成时间；ENGINEERING_SPEC.md §8：删除/重命名无悬空引用|命令：python3 -c "ls=open('lib/core/src/module_adapters.cpp',encoding='utf-8').read().splitlines(); blk=' '.join(ls[5884:5916]); print('p3_writer.json block(5885-5916) has module_build_id:', 'module_build_id' in blk); print('p3_verify reader line', [i+1 for i,l in enumerate(ls) if 'wr.value(\"module_build_id\"' in l])"；输出：p3_writer.json block(5885-5916) has module_build_id: False ／ p3_verify reader line [5999]|OPEN|P3-002|无|p3_writer.json 的 18 个键不含 module_build_id，而 5999 用 wr.value 缺省空串透传 ⇒ p3_verify.json 该 provenance 字段恒空串；5990 注释仍自称「透传真实值、禁 CLI 再猜」，测试仍只做 fs::exists 不查该键；属「读键 ⊄ 上游产键集」全仓唯二实例之一
V21-N-03|C_ALG_IMPL|P2|无（原判据即现行权威；站点=旧路径 cli/monitor.h:144/157/179-180 与唯一调用点 :230）|docs/plugins/infrastructure/21_observability.md §7：事件写失败→降级为文件日志并标记，不静默吞；ASTROCS_DESIGN.md §8：每个 heavy 运行自动记录进程/线程 CPU、RSS/PSS、内存增长等|命令：grep -c "bool ok = false" cli/monitor.h; sed -n '222,223p' cli/monitor.h；输出：1 ／     (void)ok; ／     return true;|OPEN|OBS-001|无|Linux 分支 read_proc_self 自算 bool ok（162 置 false、175 仅在 /proc/self/status 可开时置 true）在 222 被 (void)ok 丢弃、223 无条件 return true；唯一调用者 sample()(monitor.h:327) 丢弃返回 bool ⇒ 「监控没跑」仍被记成「全 0 但成功」，而该信号源正是资源门禁分母
V21-N-04|C_ALG_IMPL|P2|无（原判据即现行权威；站点=旧路径 modules/conformance/echo/src/echo_module.c:350/362/371）|ENGINEERING_SPEC.md §9：错误通过统一状态码+结构化诊断传播；§8：检查器覆盖删除/重命名无悬空引用|命令：python3 -c "ls=open('modules/conformance/echo/src/echo_module.c',encoding='utf-8').read().splitlines(); print('aerr lines',[i+1 for i,l in enumerate(ls) if 'aerr' in l]); print('rerr lines',[i+1 for i,l in enumerate(ls) if 'rerr' in l]); print('member access exists:', any('aerr.' in l or 'rerr.' in l for l in ls))"；输出：aerr lines [350, 351, 353] ／ rerr lines [368, 369, 370] ／ member access exists: False|OPEN|MOD-001|无|aerr/rerr 仍只有声明、memset、传址三态（成员访问 0 处），353/370 的 artifact_open/read_all 出参填后从不读；真实 detail_code 仍被 efill(err, st, ACS_ERR_DOMAIN_IO, 0, "echo: artifact open failed") 的静态消息覆盖
V21-N-08|C_ALG_IMPL|P2|无（原判据即现行权威；站点=旧路径 cli/resource_recorder.h:43/229-231/235-243）|ASTROCS_DESIGN.md §8：每个 heavy 运行自动记录进程/线程 CPU、RSS/PSS、内存增长、读写字节、I/O wait、work units、队列深度、worker 均衡、进度、墙钟；21_observability.md §4：资源监控字段见 runtime 文档|命令：grep -rn "system_cpu_pct" cli/ lib/；输出：cli/resource_recorder.h:43:    double system_cpu_pct = 0.0;    // 系统级 CPU 占用(可得时) ／ cli/resource_recorder.h:259:        std::fprintf(f, "elapsed_seconds,stage,cpu_pct,system_cpu_pct,active_workers," ／ cli/resource_recorder.h:267:                         r.elapsed_seconds, r.stage, r.cpu_pct, r.system_cpu_pct,|OPEN|OBS-001|无|全仓该符号仍只有 43 声明（初值 0.0）、259 表头、267 fprintf 三处，赋值点 0 ⇒ resource-timeseries.csv 该列恒 0.00，读曲线者仍据「系统 CPU=0」判机器空转；为 M5a-C-003 未列新站点（该轴 L1 检索零命中）
V21-N-09|C_ALG_IMPL|P2|无（原判据即现行权威；站点=旧路径 cli/monitor.h:76-79 与填点 :124-126/:138-140/:166-167/:175-176、:245）|ASTROCS_DESIGN.md §8：每个 heavy 运行自动记录…读写字节、I/O wait…；21_observability.md §4：资源监控字段见 runtime 文档|命令：python3 -c "ls=open('cli/monitor.h',encoding='utf-8').read().splitlines(); r=open('cli/resource_recorder.h',encoding='utf-8').read().splitlines(); f=['read_ops','write_ops','sys_mem_avail','sys_swap_free','d_rss_bytes']; print('monitor.h prodW', sum(1 for l in ls if any(k in l for k in f))); print('recorder prodR', sum(1 for l in r if any(('r.'+k) in l for k in f))); print('recorder keeps d_read_bytes/d_write_bytes', sum(1 for l in r if 'd_read_bytes' in l or 'd_write_bytes' in l))"；输出：monitor.h prodW 14 ／ recorder prodR 0 ／ recorder keeps d_read_bytes/d_write_bytes 2|OPEN|OBS-001|无|五字段采样层 14 处生产写入、record() 映射层 0 处读取（只搬 d_read_bytes/d_write_bytes 2 处）⇒ GateConfig.io_ops/io_bytes 类判据原料在采样层存在却在映射层被丢；Linux 侧 read_ops/write_ops 仍装 rchar/wchar（字节数挂 ops 名）
V21-N-10|C_ALG_IMPL|P2|无（原判据即现行权威；站点=旧路径 include/astrocs/core/context.h:31-39/170-200、lib/core/src/context.cpp:28-52、lib/core/src/logging.cpp:52-112）|ASTROCS_DESIGN.md §8：每个 heavy 运行自动记录…work units…；21_observability.md §6：公共日志/事件 API（C ABI 版本化），所有模块调用|命令：grep -rn "add_metric" lib/ cli/ --include=*.cpp; grep -c "log_entries()" tests/unit/core_context_test.cpp；输出：lib/core/src/context.cpp:42:void RunContext::add_metric(const std::string& name, uint64_t value) { ／ 3|OPEN|OBS-001|无|add_metric/record_tick/mark_checkpoint/metrics()/ticks()/checkpoints()/store_artifact 全族仍只有 context.cpp 定义、零生产调用；log_entries() 读者仍仅 tests/unit/core_context_test.cpp(3) 与 rt003_context_test.cpp；ctx.log() 6 个生产写点（runtime.cpp:151/197、module_adapters.cpp:520/4995/5186/6158）仍随析构丢弃 ⇒ Metrics::completed_units 恒 0
V21-N-11|C_ALG_IMPL|P2|无（原判据即现行权威；站点=旧路径 lib/astro_image_io/include/hiss_format.h:352 与 lib/healpix_db/healpix_drizzle/drizzle_engine.cpp:1251/2363）|ASTROCS_DESIGN.md §9：plan 是预期、trace 是实际观测，禁止把计划值伪装成实际值；21_observability.md §4|命令：grep -rn --exclude-dir=tests "n_contrib" lib/；输出：lib/healpix_db/healpix_drizzle/drizzle_engine.cpp:1251:                acc.pixels[local_ipix].n_contrib = pacc->nContrib; ／ lib/healpix_db/healpix_drizzle/drizzle_engine.cpp:2363:            acc.pixels[local].n_contrib = tile.pixels[local].nContrib; ／ lib/astro_image_io/include/hiss_format.h:352:        uint32_t n_contrib = 0;    // 贡献源像素数 (诊断用)|OPEN|P1-001|无|生产面该符号仍恰 3 处 = 2 次写入 + 1 次声明，非测试读 0 ⇒ 自述「诊断用」字段仍只写不读；其余同名命中全在 lib/astro_image_io/tests 自建 fixture
